	municipality	res_com_non_electricity	res_com_non_electricity-adjusted (metric tonnes CO2/year)	NAME	LABEL	FIPSCODE	graced_emissions_2019(kgC/hr)	graced_emissions_2019(metric tonnes/year)	absolute_percent_error_graced (percent error)
104	city of alma-01540	681621836.09848	35532.94631581376	Alma	City of Alma	01540	214406.29215716504	5145.751011771961	85.5183666278699
105	city of charlevoix-14780	246887558.928672	12870.24844695167	Charlevoix	City of Charlevoix	14780	360908.19470459514	8661.796672910285	32.699071749762226
106	city of mcbain-49980	34068297.11303999	1775.9803285027747	McBain	City of McBain	49980	11031.631121390168	264.7591469133641	85.0922252536115
107	city of iron mountain-40960	693904740.30712	36173.25411221016	Iron Mountain	City of Iron Mountain	40960	274618.4089734168	6590.841815362002	81.77979289638395
108	city of birmingham-08640	1562180021.73192	81436.44453288498	Birmingham	City of Birmingham	08640	836027.051829895	20064.64924391748	75.36158490340877
109	city of dexter-22160	273395465.529248	14252.105618039697	Dexter	City of Dexter	22160	42555.237592118	1021.3257022108319	92.83386097758017
110	city of marysville-52080	991458377.8897599	51684.72523939318	Marysville	City of Marysville	52080	8783822.298149403	210811.7351555857	307.8801506231259
111	city of northville-58980	331987369.810976	17306.50158824618	Northville	City of Northville	58980	339694.4662840811	8152.667190817947	52.89245981201145
112	city of grandville-34160	1232472201.25492	64248.77585141898	Grandville	City of Grandville	34160	932853.0270935236	22388.472650244566	65.15346424339677
113	city of otsego-61620	274816798.51824	14326.19970675585	Otsego	City of Otsego	61620	46406.745312290135	1113.761887494963	92.22569899699398
114	city of beaverton-06660	52901349.30822801	2757.747339437926	Beaverton	City of Beaverton	06660	9286.160923567933	222.86786216563038	91.91848147295994
115	city of onaway-60680	47523703.190952	2477.4106473443276	Onaway	City of Onaway	60680	14891.489785682206	357.39575485637295	85.57381856578823
116	city of litchfield-47980	214854740.01505598	11200.377596984868	Litchfield	City of Litchfield	47980	216007.107578738	5184.170581889713	53.71432313777272
117	city of mt morris-55960	109179988.31744002	5691.5527909881475	Mt Morris	City of Mt Morris	55960	35581.80789810695	853.9633895545667	84.99595064976452
118	city of kentwood-42820	8183684281.50348	426615.46159477637	Kentwood	City of Kentwood	42820	2414957.0650699157	57958.96956167798	86.41423605581113
119	city of east grand rapids-23980	487908265.63415205	25434.657887508347	East Grand Rapids	City of East Grand Rapids	23980	756444.0006530139	18154.656015672335	28.622369933316143
120	city of leslie-47180	63134633.134023994	3291.208425276671	Leslie	City of Leslie	47180	25872.140627284007	620.9313750548162	81.13363558849609
121	city of utica-81540	272656890.170692	14213.603684598174	Utica	City of Utica	81540	316434.5871679355	7594.430092030452	46.56928488684571
122	city of coleman-17100	72180584.573096	3762.7738737954946	Coleman	City of Coleman	17100	24144.844196549155	579.4762607171798	84.59975857829947
123	city of midland-53780	2857212425.73012	148946.48375331116	Midland	City of Midland	53780	4872936.9984437805	116950.48796265073	21.481538190356332
124	city of the village of grosse pointe shores a michigan city-82453			The Village of Grosse Pointe Shores A Michigan City	City of The Village of Grosse Pointe Shores A Michigan City	82453	221683.93687757044	5320.41448506169	
125	city of allen park-01380	1352282288.2241998	70494.47568512753	Allen Park	City of Allen Park	01380	4899893.097833954	117597.4343480149	66.81794311554096
126	city of marlette-51820	145813239.435928	7601.244171794926	Marlette	City of Marlette	51820	18878.291265752392	453.0789903780574	94.03941012631527
127	city of omer-60660	13941201.7967932	726.7548496668295	Omer	City of Omer	60660	10458.535050357828	251.00484120858786	65.46224062713067
128	city of niles-57760	631106748.96516	32899.59482355379	Niles	City of Niles	57760	699776.0940561822	16794.626257348373	48.95187509931093
129	city of port huron-65820	2121237094.93312	110580.08975886354	Port Huron	City of Port Huron	65820	9610659.74361273	230655.83384670556	108.58712843305263
130	city of mason-52180	518980360.4666	27054.446191123858	Mason	City of Mason	52180	178879.03146187577	4293.096755085018	84.13164060074712
131	city of farmington-27380	646122928.0752801	33682.388240564345	Farmington	City of Farmington	27380	503286.4672715523	12078.875214517255	64.13889915332538
132	city of ishpeming-41220	742405299.6642001	38701.58827149475	Ishpeming	City of Ishpeming	41220	161478.27842099013	3875.4786821037633	89.98625416890653
133	city of troy-80700	9610773466.2016	501009.6207930893	Troy	City of Troy	80700	7114746.520102453	170753.91648245888	65.91803642170414
134	city of petersburg-63800	46799299.192344	2439.6474668968926	Petersburg	City of Petersburg	63800	7169.499415828267	172.06798597987842	92.94701434061126
135	city of rose city-69680	32368488.716923997	1687.369316813248	Rose City	City of Rose City	69680	11646.184107796327	279.50841858711186	83.43525535269367
136	city of muskegon heights-56360	769043247.3622401	40090.224484993574	Muskegon Heights	City of Muskegon Heights	56360	1115144.5581833322	26763.469396399974	33.24190687328783
137	city of lincoln park-47800	1529346597.97784	79724.8381525848	Lincoln Park	City of Lincoln Park	47800	15843789.420696195	380250.94609670865	376.9541775286506
138	city of roosevelt park-69520	242774701.683456	12655.845198758561	Roosevelt Park	City of Roosevelt Park	69520	260651.1619696808	6255.62788727234	50.571235748948894
139	city of grand ledge-33420	342329969.61272	17845.661315911093	Grand Ledge	City of Grand Ledge	33420	110791.03198383347	2658.9847676120035	85.10010517099039
140	city of reading-67500	35401249.5291568	1845.4671379549436	Reading	City of Reading	67500	8538.824417088303	204.93178601011925	88.89539771284063
141	city of farmington hills-27440	6267101641.1876	326704.00855510955	Farmington Hills	City of Farmington Hills	27440	5681916.327148374	136365.99185156098	58.260079986573444
142	city of belleville-07020	229441660.75157198	11960.793774979447	Belleville	City of Belleville	07020	99705.12416607713	2392.9229799858513	79.99361058300696
143	city of marshall-51940	535194451.45212	27899.686754199014	Marshall	City of Marshall	51940	296417.55973875016	7114.021433730004	74.50142900740879
144	city of romulus-69420	2083691036.2084801	108622.81371754807	Romulus	City of Romulus	69420	7883010.825963741	189192.25982312977	74.17359516674505
145	city of whittemore-87140	16165911.279349599	842.7289549924946	Whittemore	City of Whittemore	87140	7394.217299654361	177.4612151917047	78.94207691092267
146	city of bridgman-10580	188956339.66432798	9850.293986701417	Bridgman	City of Bridgman	10580	89117.56298049861	2138.8215115319667	78.286724087428
147	city of zilwaukee-89320	155822055.05882	8123.003730216286	Zilwaukee	City of Zilwaukee	89320	349247.0169236578	8381.928406167786	3.1875484063652606
148	city of bad axe-04740			Bad Axe	City of Bad Axe	04740	5464.460467956714	131.14705123096113	
149	city of highland park-38180	689600934.6723999	35948.8967244722	Highland Park	City of Highland Park	38180	1112578.3365583124	26701.8800773995	25.722671596699648
150	city of evart-26640	210582585.31678	10977.670172563741	Evart	City of Evart	26640	23459.553445754318	563.0292826981037	94.87114047108766
151	city of hastings-37120	456775714.113	23811.717976710686	Hastings	City of Hastings	37120	101181.88358959541	2428.36520615029	89.80180594896437
152	city of gibraltar-32020	182390418.3481	9508.012508486452	Gibraltar	City of Gibraltar	32020	1829420.518403221	43906.092441677305	361.7799188052032
153	city of hamtramck-36280	950329805.4375999	49540.69275746208	Hamtramck	City of Hamtramck	36280	955924.4727679499	22942.187346430797	53.69021693186734
154	city of rockford-69080	267661199.18548	13953.178313539072	Rockford	City of Rockford	69080	121272.83949815051	2910.5481479556124	79.14060809262759
155	city of saginaw-70520	3363653988.1503997	175347.28240228034	Saginaw	City of Saginaw	70520	2333028.5313899308	55992.684753358335	68.06754915944441
156	city of ypsilanti-89140			Ypsilanti	City of Ypsilanti	89140	648590.18787704	15566.164509048962	
157	city of norway-59220	167231253.24751997	8717.765231793215	Norway	City of Norway	59220	124783.58345306818	2994.8060028736363	65.64709047277688
158	city of three rivers-79760	667517596.8828399	34797.692325502445	Three Rivers	City of Three Rivers	79760	150131.23696477618	3603.1496871546283	89.64543495169086
159	city of south haven-74980	338963843.45735997	17670.185159432174	South Haven	City of South Haven	74980	634041.2727763298	15216.990546631914	13.883242256184102
160	city of allegan-01260	388511172.96808	20253.087446826008	Allegan	City of Allegan	01260	86713.0038209687	2081.112091703249	89.72446992505631
161	city of vassar-81840	101330213.330424	5282.344020915003	Vassar	City of Vassar	81840	28106.664581668334	674.5599499600401	87.22991256742884
162	city of greenville-35100	592920955.6463199	30908.969417842654	Greenville	City of Greenville	35100	193155.45161129563	4635.730838671096	85.00198833547957
163	city of clawson-16160	618882207.2665999	32262.32946480785	Clawson	City of Clawson	16160	505615.2560913415	12134.766146192196	62.38719786359832
164	city of swartz creek-77700	227620175.54346	11865.83975108057	Swartz Creek	City of Swartz Creek	77700	158344.69712828554	3800.2727310788528	67.97299802795013
165	city of southfield-74900	7566117462.138	394421.7033012539	Southfield	City of Southfield	74900	6778846.810863894	162692.32346073346	58.751680726739494
166	city of ionia-40860	611949878.8463199	31900.947184258657	Ionia	City of Ionia	40860	140932.45211894403	3382.378850854657	89.39724632212904
167	city of lowell-49540	185099376.256792	9649.230484266567	Lowell	City of Lowell	49540	71061.35776400745	1705.4725863361787	82.32529952396706
168	city of dowagiac-22880	269308197.6678	14039.036344422413	Dowagiac	City of Dowagiac	22880	80887.88002536686	1941.3091206088047	86.1720628611374
169	city of bessemer-07960	129886392.822308	6770.977657826916	Bessemer	City of Bessemer	07960	54379.45930763025	1305.1070233831258	80.72498405197828
170	city of jackson-41420	2208146718.5215197	115110.68843652682	Jackson	City of Jackson	41420	1570075.9235202372	37681.82216448569	67.26470610479946
171	city of corunna-18300	164982904.24665198	8600.558798377968	Corunna	City of Corunna	18300	109515.40665307661	2628.3697596738384	69.4395466470209
172	city of ithaca-41340	207652600.875344	10824.930083631683	Ithaca	City of Ithaca	41340	66976.621809513	1607.438923428312	85.15058378197831
173	city of bloomfield hills-09180	222692483.74477598	11608.959177615172	Bloomfield Hills	City of Bloomfield Hills	09180	809081.7801275211	19417.962723060507	67.26704285861344
174	city of caspian-13860	63097880.204632	3289.292495067466	Caspian	City of Caspian	13860	18424.862058520255	442.1966894044861	86.55648015287201
175	city of riverview-68880	459062447.18952	23930.925371989677	Riverview	City of Riverview	68880	8010461.681987433	192251.08036769836	703.3583214158599
176	city of lake angelus-44440	67290064.5395288	3507.8310644456365	Lake Angelus	City of Lake Angelus	44440	181565.55569941798	4357.573336786032	24.22415038606443
177	city of sault ste marie-71740	743442641.6955599	38755.664911589534	Sault Ste Marie	City of Sault Ste Marie	71740	798892.1230099956	19173.410952239894	50.52746225363751
178	city of keego harbor-42460	175179001.28722003	9132.08133710278	Keego Harbor	City of Keego Harbor	42460	92528.43496868569	2220.682439248457	75.68262527156833
179	city of cheboygan-15000	227444566.6278	11856.685258307212	Cheboygan	City of Cheboygan	15000	218745.99776865545	5249.903946447731	55.721992849818946
180	city of fremont-30700	237189332.681712	12364.679912697646	Fremont	City of Fremont	30700	57571.688252690314	1381.7205180645676	88.82526253958552
181	city of st clair-70680	546923914.3985244	28511.143657595076	St Clair	City of St Clair	70680	549218.1679942502	13181.236031862005	53.768125929418275
182	city of menominee-53020	660289868.35936	34420.910837573436	Menominee	City of Menominee	53020	169864.13462695276	4076.7392310468663	88.1562133835321
183	city of whitehall-86780	321944809.073016	16782.982896976322	Whitehall	City of Whitehall	86780	62434.62634850275	1498.431032364066	91.0717240101935
184	city of stephenson-76380	43335708.940692	2259.0905070782737	Stephenson	City of Stephenson	76380	9344.578671743044	224.26988812183305	90.07255851772466
185	city of madison heights-50560	3027914557.24892	157845.1858693862	Madison Heights	City of Madison Heights	50560	1896228.3185249404	45509.47964459857	71.1682815070098
186	city of coopersville-18020	291562505.412436	15199.153407150288	Coopersville	City of Coopersville	18020	102635.73241040735	2463.2575778497767	83.7934553861996
