	municipality	res_com_non_electricity	res_com_non_electricity-adjusted (metric tonnes CO2/year)	state	city	graced_emissions_2019(kgC/hr)	graced_emissions_2019(metric tonnes/year)	absolute_percent_error_graced (percent error)
184	sanmigueldeallende, guanajuato	451600000.0	26386.988	Guanajuato	SanMigueldeAllende	5684955.159485809	136438.9238276594	417.06895772893586
185	santacatarina, guanajuato			Guanajuato	SantaCatarina	98028.36927135986	2352.6808625126364	
186	santacruzdejuventinorosas, guanajuato	208910000.0	12206.6113	Guanajuato	SantaCruzdeJuventinoRosas	1795325.0166384336	43087.800399322405	252.98740445124523
187	santiagomaravatío, guanajuato			Guanajuato	SantiagoMaravatío	74162.33925597838	1779.8961421434813	
188	silaodelavictoria, guanajuato	373500000.0	21823.605	Guanajuato	SilaodelaVictoria	4518646.447006339	108447.51472815213	396.9275916062087
189	tarandacuao, guanajuato			Guanajuato	Tarandacuao	485547.30312749185	11653.135275059803	
190	tarimoro, guanajuato	108370000.0	6332.0591	Guanajuato	Tarimoro	940134.7796494454	22563.23471158669	256.3332930923953
191	tierrablanca, guanajuato			Guanajuato	TierraBlanca	168501.40772234774	4044.0337853363453	
192	uriangato, guanajuato	203200000.0	11872.976	Guanajuato	Uriangato	1452856.2460916112	34868.54990619866	193.67994937578126
193	valledesantiago, guanajuato	384600000.0	22472.178	Guanajuato	ValledeSantiago	4605832.66728239	110539.98401477736	391.8970649608479
194	victoria, guanajuato			Guanajuato	Victoria	533551.0682505157	12805.225638012378	
195	villagrán, guanajuato	163020000.0	9525.258600000001	Guanajuato	Villagrán	1573060.9848158227	37753.46363557974	296.3510621704248
196	xichú, guanajuato			Guanajuato	Xichú	330089.4176343245	7922.146023223789	
197	yuriria, guanajuato	215110000.0	12568.8773	Guanajuato	Yuriria	2003413.8597501088	48081.93263400261	282.54755366259013
198	acapulcodejuárez, guerrero	2719000000.0	158871.17	Guerrero	AcapulcodeJuárez	15280833.77391047	366740.0105738513	130.8411340923915
199	buenavistadecuéllar, guerrero			Guerrero	BuenavistadeCuéllar	882737.0663153761	21185.689591569026	
200	coyucadebenítez, guerrero	203590000.0	11895.7637	Guerrero	CoyucadeBenítez	157775775.70174807	3786618.6168419537	31731.6563134316
201	huitzucodelosfigueroa, guerrero	116420000.0	6802.4206	Guerrero	HuitzucodelosFigueroa	3322704.0863024304	79744.89807125834	1072.3017843274545
202	igualadelaindependencia, guerrero	473100000.0	27643.233	Guerrero	IgualadelaIndependencia	2332216.8980943942	55973.20555426546	102.48429535816402
203	launióndeisidoromontesdeoc, guerrero			Guerrero	LaUnióndeIsidoroMontesdeOc	10380775.247273298	249138.60593455916	
204	pilcaya, guerrero			Guerrero	Pilcaya	404138.765138042	9699.330363313009	
205	sanmarcos, guerrero	133120000.0	7778.2016	Guerrero	SanMarcos	1669108.896676324	40058.613520231775	415.0112529897885
206	taxcodealarcón, guerrero	346500000.0	20245.995	Guerrero	TaxcodeAlarcón	2240500.548435919	53772.013162462055	165.59333419998404
207	tepecoacuilcodetrujano, guerrero			Guerrero	TepecoacuilcodeTrujano	681666.3054705146	16359.991331292349	
208	tetipac, guerrero			Guerrero	Tetipac	278753.7432792957	6690.089838703096	
209	zihuatanejodeazueta, guerrero	489000000.0	28572.27	Guerrero	ZihuatanejodeAzueta	3333899.4887175756	80013.58772922182	180.03930989459997
210	acatlán, hidalgo			Hidalgo	Acatlán	660354.990513551	15848.519772325226	
211	acaxochitlán, hidalgo	88340000.0	5161.7062000000005	Hidalgo	Acaxochitlán	1468884.7373666265	35253.23369679904	582.9763712006514
212	actopan, hidalgo			Hidalgo	Actopan	492010.8990586804	11808.261577408328	
213	aguablancadeiturbide, hidalgo			Hidalgo	AguaBlancadeIturbide	159446.23263159912	3826.709583158379	
214	ajacuba, hidalgo			Hidalgo	Ajacuba	940950.8936073751	22582.821446577	
215	alfajayucan, hidalgo			Hidalgo	Alfajayucan	4836484.66550887	116075.63197221288	
216	almoloya, hidalgo			Hidalgo	Almoloya	522624.48751624627	12542.987700389911	
217	apan, hidalgo	131860000.0	7704.5798	Hidalgo	Apan	1764794.3649058908	42355.06475774138	449.73880285776744
218	atitalaquia, hidalgo			Hidalgo	Atitalaquia	18172687.162375327	436144.4918970078	
219	atlapexco, hidalgo			Hidalgo	Atlapexco	424222.1396689803	10181.331352055528	
220	atotonilcodetula, hidalgo			Hidalgo	AtotonilcodeTula	9269280.60170881	222462.73444101145	
221	atotonilcoelgrande, hidalgo			Hidalgo	AtotonilcoelGrande	577995.4975073261	13871.891940175825	
222	calnali, hidalgo			Hidalgo	Calnali	251726.78606704535	6041.442865609089	
223	cardonal, hidalgo			Hidalgo	Cardonal	330112.492500264	7922.699820006337	
224	chapantongo, hidalgo			Hidalgo	Chapantongo	2242166.1701936894	53811.98808464855	
225	chapulhuacán, hidalgo			Hidalgo	Chapulhuacán	557925.7982271322	13390.21915745117	
226	chilcuautla, hidalgo			Hidalgo	Chilcuautla	2082152.9449495745	49971.670678789786	
227	cuautepecdehinojosa, hidalgo	153650000.0	8977.7695	Hidalgo	CuautepecdeHinojosa	1350385.7486654138	32409.25796796993	260.9945428869602
228	elarenal, hidalgo			Hidalgo	ElArenal	384594.5699758672	9230.269679420813	
229	eloxochitlán, hidalgo			Hidalgo	Eloxochitlán	130131.29200655183	3123.151008157244	
230	emilianozapata, hidalgo			Hidalgo	EmilianoZapata	865444.1822506359	20770.660374015264	
231	epazoyucan, hidalgo			Hidalgo	Epazoyucan	467231.8567309895	11213.564561543748	
232	franciscoi.madero, hidalgo	97640000.0	5705.1052	Hidalgo	FranciscoI.Madero	612523.7488484469	14700.569972362726	157.67395090913882
233	huascadeocampo, hidalgo			Hidalgo	HuascadeOcampo	438505.5390644737	10524.132937547369	
234	huautla, hidalgo			Hidalgo	Huautla	443834.02254348435	10652.016541043624	
235	huazalingo, hidalgo			Hidalgo	Huazalingo	260672.47587613086	6256.139421027141	
236	huehuetla, hidalgo			Hidalgo	Huehuetla	369414.5665928019	8865.949598227246	
237	huejutladereyes, hidalgo	323700000.0	18913.791	Hidalgo	HuejutladeReyes	1504501.364237966	36108.032741711184	90.9084896925803
238	huichapan, hidalgo	130070000.0	7599.9901	Hidalgo	Huichapan	13622880.489460735	326949.1317470576	4201.967863708896
239	ixmiquilpan, hidalgo	265200000.0	15495.636	Hidalgo	Ixmiquilpan	1510108.2315712634	36242.597557710316	133.88906113766689
240	jacaladeledezma, hidalgo			Hidalgo	JacaladeLedezma	430459.96788381395	10331.039229211536	
241	jaltocán, hidalgo			Hidalgo	Jaltocán	115238.65201022729	2765.727648245455	
242	juárezhidalgo, hidalgo			Hidalgo	JuárezHidalgo	60367.397089158694	1448.8175301398085	
243	lamisión, hidalgo			Hidalgo	LaMisión	421859.37075193215	10124.62489804637	
