	NAME	LABEL	FIPSCODE	municipality	graced_emissions_2019(kgC/hr)	graced_emissions_2019(metric tonnes/year)
156	Norway	City of Norway	59220	City of Norway-59220	124783.58345306818	2994.8060028736363
157	Three Rivers	City of Three Rivers	79760	City of Three Rivers-79760	150131.23696477618	3603.1496871546283
158	South Haven	City of South Haven	74980	City of South Haven-74980	634041.2727763298	15216.990546631914
159	Allegan	City of Allegan	01260	City of Allegan-01260	86713.0038209687	2081.112091703249
160	Vassar	City of Vassar	81840	City of Vassar-81840	28106.664581668334	674.5599499600401
161	Greenville	City of Greenville	35100	City of Greenville-35100	193155.45161129563	4635.730838671096
162	Clawson	City of Clawson	16160	City of Clawson-16160	505615.2560913415	12134.766146192196
163	Swartz Creek	City of Swartz Creek	77700	City of Swartz Creek-77700	158344.69712828554	3800.2727310788528
164	Southfield	City of Southfield	74900	City of Southfield-74900	6778846.810863894	162692.32346073346
165	Ionia	City of Ionia	40860	City of Ionia-40860	140932.45211894403	3382.378850854657
166	Lowell	City of Lowell	49540	City of Lowell-49540	71061.35776400745	1705.4725863361787
167	Dowagiac	City of Dowagiac	22880	City of Dowagiac-22880	80887.88002536686	1941.3091206088047
168	Bessemer	City of Bessemer	07960	City of Bessemer-07960	54379.45930763025	1305.1070233831258
169	Jackson	City of Jackson	41420	City of Jackson-41420	1570075.9235202372	37681.82216448569
170	Corunna	City of Corunna	18300	City of Corunna-18300	109515.40665307661	2628.3697596738384
171	Ithaca	City of Ithaca	41340	City of Ithaca-41340	66976.621809513	1607.438923428312
172	Bloomfield Hills	City of Bloomfield Hills	09180	City of Bloomfield Hills-09180	809081.7801275211	19417.962723060507
173	Caspian	City of Caspian	13860	City of Caspian-13860	18424.862058520255	442.1966894044861
174	Riverview	City of Riverview	68880	City of Riverview-68880	8010461.681987433	192251.08036769836
175	Lake Angelus	City of Lake Angelus	44440	City of Lake Angelus-44440	181565.55569941798	4357.573336786032
176	Sault Ste Marie	City of Sault Ste Marie	71740	City of Sault Ste Marie-71740	798892.1230099956	19173.410952239894
177	Keego Harbor	City of Keego Harbor	42460	City of Keego Harbor-42460	92528.43496868569	2220.682439248457
178	Cheboygan	City of Cheboygan	15000	City of Cheboygan-15000	218745.99776865545	5249.903946447731
179	Fremont	City of Fremont	30700	City of Fremont-30700	57571.688252690314	1381.7205180645676
180	St Clair	City of St Clair	70680	City of St Clair-70680	549218.1679942502	13181.236031862005
181	Menominee	City of Menominee	53020	City of Menominee-53020	169864.13462695276	4076.7392310468663
182	Whitehall	City of Whitehall	86780	City of Whitehall-86780	62434.62634850275	1498.431032364066
183	Stephenson	City of Stephenson	76380	City of Stephenson-76380	9344.578671743044	224.26988812183305
184	Madison Heights	City of Madison Heights	50560	City of Madison Heights-50560	1896228.3185249404	45509.47964459857
185	Coopersville	City of Coopersville	18020	City of Coopersville-18020	102635.73241040735	2463.2575778497767
186	Marine City	City of Marine City	51600	City of Marine City-51600	3910954.31387814	93862.90353307537
187	Monroe	City of Monroe	55020	City of Monroe-55020	547806.7292809857	13147.361502743655
188	South Lyon	City of South Lyon	75100	City of South Lyon-75100	161292.53259625792	3871.02078231019
189	Saline	City of Saline	71140	City of Saline-71140	176686.94659073465	4240.486718177632
190	Trenton	City of Trenton	80420	City of Trenton-80420	14755673.09684379	354136.15432425094
191	Owosso	City of Owosso	61940	City of Owosso-61940	154100.1693095061	3698.404063428147
192	Gaylord	City of Gaylord	31720	City of Gaylord-31720	142855.18517331925	3428.524444159662
193	Sturgis	City of Sturgis	76960	City of Sturgis-76960	169554.5709760515	4069.309703425236
194	Woodhaven	City of Woodhaven	88380	City of Woodhaven-88380	946453.4480323027	22714.882752775262
195	Rochester Hills	City of Rochester Hills	69035	City of Rochester Hills-69035	5147778.329560732	123546.67990945757
196	Frankenmuth	City of Frankenmuth	30200	City of Frankenmuth-30200	51363.55703213954	1232.7253687713492
197	East Tawas	City of East Tawas	24420	City of East Tawas-24420	96750.99491693174	2322.023878006362
198	Detroit	City of Detroit	22000	City of Detroit-22000	65349457.12914495	1568386.9710994787
199	Manistee	City of Manistee	50720	City of Manistee-50720	197204.408836652	4732.905812079647
200	Jonesville	City of Jonesville	41920	City of Jonesville-41920	82123.7050516177	1970.9689212388248
201	Olivet	City of Olivet	60580	City of Olivet-60580	19118.532449523664	458.8447787885679
202	Lake City	City of Lake City	44480	City of Lake City-44480	17308.50783550395	415.4041880520948
203	Clare	City of Clare	15920	City of Clare-15920	121177.45829165145	2908.258998999635
204	Escanaba	City of Escanaba	26360	City of Escanaba-26360	1263262.016596449	30318.288398314777
205	Grosse Pointe	City of Grosse Pointe	35480	City of Grosse Pointe-35480	538285.4183729085	12918.850040949803
206	Flint	City of Flint	29000	City of Flint-29000	4387424.271097509	105298.18250634022
207	Lathrup Village	City of Lathrup Village	46320	City of Lathrup Village-46320	424299.407223281	10183.185773358744
208	Lapeer	City of Lapeer	46040	City of Lapeer-46040	283588.90499999153	6806.133719999797
209	Kalamazoo	City of Kalamazoo	42160	City of Kalamazoo-42160	2893118.189579335	69434.83654990405
210	Dearborn	City of Dearborn	21000	City of Dearborn-21000	10524634.885106806	252591.23724256334
211	Pleasant Ridge	City of Pleasant Ridge	64900	City of Pleasant Ridge-64900	210566.5694382795	5053.597666518708
212	Rochester	City of Rochester	69020	City of Rochester-69020	648859.8253640716	15572.63580873772
213	Milan	City of Milan	53920	City of Milan-53920	93622.42968257234	2246.938312381736
214	Laingsburg	City of Laingsburg	44200	City of Laingsburg-44200	21309.99926709758	511.43998241034194
215	Montague	City of Montague	55100	City of Montague-55100	71636.13918912063	1719.2673405388953
216	Hancock	City of Hancock	36300	City of Hancock-36300	82620.34110606188	1982.8881865454853
217	Bangor	City of Bangor	05140	City of Bangor-05140	20198.471810323364	484.7633234477608
218	Ironwood	City of Ironwood	41060	City of Ironwood-41060	173177.01762547393	4156.248423011375
219	Fennville	City of Fennville	27740	City of Fennville-27740	13522.410155186306	324.5378437244713
220	St Louis	City of St Louis	71000	City of St Louis-71000	86609.97689644562	2078.6394455146947
221	North Muskegon	City of North Muskegon	58640	City of North Muskegon-58640	1016406.989591243	24393.767750189832
222	Howell	City of Howell	39540	City of Howell-39540	193337.07702224152	4640.089848533796
223	Pinconning	City of Pinconning	64160	City of Pinconning-64160	13833.895710462097	332.0134970510903
224	Tawas City	City of Tawas City	78140	City of Tawas City-78140	30708.162816114742	736.9959075867538
225	Sterling Heights	City of Sterling Heights	76460	City of Sterling Heights-76460	7937223.616074356	190493.36678578454
226	Brown City	City of Brown City	11180	City of Brown City-11180	10437.448430756513	250.4987623381563
227	Oak Park	City of Oak Park	59920	City of Oak Park-59920	1891822.193753482	45403.73265008357
228	Munising	City of Munising	56200	City of Munising-56200	186440.27881933842	4474.566691664122
229	Gladwin	City of Gladwin	32320	City of Gladwin-32320	32344.385953860932	776.2652628926623
230	Perry	City of Perry	63700	City of Perry-63700	50117.288648698435	1202.8149275687626
231	Hillsdale	City of Hillsdale	38460	City of Hillsdale-38460	175775.83313623603	4218.619995269664
232	Inkster	City of Inkster	40680	City of Inkster-40680	1766911.8109102284	42405.88346184548
233	St Joseph	City of St Joseph	70960	City of St Joseph-70960	269258.1381749824	6462.195316199577
234	Carson City	City of Carson City	13600	City of Carson City-13600	27625.31831026921	663.007639446461
235	Caseville	City of Caseville	13760	City of Caseville-13760	16421.86376764703	394.1247304235288
236	Eaton Rapids	City of Eaton Rapids	24540	City of Eaton Rapids-24540	68907.78271639811	1653.7867851935546
237	Grand Haven	City of Grand Haven	33340	City of Grand Haven-33340	1301767.5914406127	31242.422194574705
238	Cadillac	City of Cadillac	12320	City of Cadillac-12320	238323.53458887353	5719.764830132965
239	Cedar Springs	City of Cedar Springs	14200	City of Cedar Springs-14200	49518.592410018704	1188.446217840449
240	Hudsonville	City of Hudsonville	39800	City of Hudsonville-39800	282446.5596850467	6778.717432441121
241	St Ignace	City of St Ignace	70840	City of St Ignace-70840	147770.99241338353	3546.5038179212047
242	Linden	City of Linden	47820	City of Linden-47820	119630.2136831884	2871.125128396521
243	Albion	City of Albion	00980	City of Albion-00980	167662.5390703072	4023.900937687373
244	Harbor Springs	City of Harbor Springs	36560	City of Harbor Springs-36560	21529.488178194184	516.7077162766604
245	Ferndale	City of Ferndale	27880	City of Ferndale-27880	1448351.7620607489	34760.44228945798
246	Village of Douglas	City of Village of Douglas	22740	City of Village of Douglas-22740	75075.30444654246	1801.8073067170192
247	Burton	City of Burton	12060	City of Burton-12060	2352151.3601804962	56451.63264433191
248	Alpena	City of Alpena	01740	City of Alpena-01740	1419974.9234990862	34079.39816397807
249	Dewitt	City of Dewitt	22120	City of Dewitt-22120	141484.4101398468	3395.625843356323
250	Rockwood	City of Rockwood	69180	City of Rockwood-69180	154186.13240421563	3700.4671777011754
251	Ludington	City of Ludington	49640	City of Ludington-49640	2502097.777513216	60050.346660317184
252	Morenci	City of Morenci	55500	City of Morenci-55500	27598.247984800553	662.3579516352133
253	Marquette	City of Marquette	51900	City of Marquette-51900	3812700.10354349	91504.80248504377
254	Newaygo	City of Newaygo	57080	City of Newaygo-57080	47769.1176424511	1146.4588234188263
255	St Clair Shores	City of St Clair Shores	70760	City of St Clair Shores-70760	3068252.878935801	73638.06909445922
256	Davison	City of Davison	19880	City of Davison-19880	119067.85895674098	2857.6286149617836
257	Norton Shores	City of Norton Shores	59140	City of Norton Shores-59140	2427186.9566701395	58252.48696008335
258	Grosse Pointe Park	City of Grosse Pointe Park	35540	City of Grosse Pointe Park-35540	1137745.6957430833	27305.896697834
259	Flat Rock	City of Flat Rock	28360	City of Flat Rock-28360	651164.2618731206	15627.942284954894
260	Croswell	City of Croswell	18920	City of Croswell-18920	26871.999082355065	644.9279779765216
261	Gaastra	City of Gaastra	31160	City of Gaastra-31160	21944.064627818567	526.6575510676456
262	Negaunee	City of Negaunee	56860	City of Negaunee-56860	203324.23360124955	4879.78160642999
263	Portland	City of Portland	65860	City of Portland-65860	47390.610643183056	1137.3746554363934
264	Coloma	City of Coloma	17320	City of Coloma-17320	28620.03290578915	686.8807897389396
265	Charlotte	City of Charlotte	14820	City of Charlotte-14820	217420.98499943016	5218.103639986324
266	Tecumseh	City of Tecumseh	79120	City of Tecumseh-79120	140971.93455963634	3383.326429431272
267	Manton	City of Manton	50880	City of Manton-50880	17478.741852417937	419.4898044580305
268	Ferrysburg	City of Ferrysburg	27960	City of Ferrysburg-27960	706893.5621166318	16965.445490799164
269	Plainwell	City of Plainwell	64740	City of Plainwell-64740	63458.26919859054	1522.998460766173
270	West Branch	City of West Branch	85580	City of West Branch-85580	42728.154258247836	1025.475702197948
271	Melvindale	City of Melvindale	52940	City of Melvindale-52940	7620722.1671854295	182897.3320124503
272	Eastpointe	City of Eastpointe	24290	City of Eastpointe-24290	1885564.2422081868	45253.54181299648
273	Warren	City of Warren	84000	City of Warren-84000	9728751.76308044	233490.04231393058
274	Orchard Lake Village	City of Orchard Lake Village	61020	City of Orchard Lake Village-61020	343468.7057382285	8243.248937717484
275	Grosse Pointe Woods	City of Grosse Pointe Woods	35580	City of Grosse Pointe Woods-35580	904648.9244355685	21711.574186453643
276	Novi	City of Novi	59440	City of Novi-59440	3930250.0506662303	94326.00121598953
277	Sylvan Lake	City of Sylvan Lake	77860	City of Sylvan Lake-77860	101032.68288579406	2424.784389259057
278	Rogers City	City of Rogers City	69260	City of Rogers City-69260	1501023.400986657	36024.56162367977
279	Imlay City	City of Imlay City	40320	City of Imlay City-40320	48493.80102460621	1163.851224590549
280	Mayfield	Mayfield Township	52500	Mayfield Township-52500	520092.83402159694	12482.228016518326
281	Stronach	Stronach Township	76840	Stronach Township-76840	1768126.8235394335	42435.0437649464
282	Newark	Newark Township	57040	Newark Township-57040	337072.7709239097	8089.746502173832
283	Everett	Everett Township	26700	Everett Township-26700	405081.5871709091	9721.958092101819
284	Winsor	Winsor Township	87960	Winsor Township-87960	310239.20999055094	7445.741039773222
285	Franklin	Franklin Township	30300	Franklin Township-30300	683543.1111983914	16405.034668761396
286	Chandler	Chandler Township	14600	Chandler Township-14600	342095.4877389597	8210.291705735033
287	Metamora	Metamora Township	53360	Metamora Township-53360	411061.51085100445	9865.476260424108
288	Elbridge	Elbridge Township	25200	Elbridge Township-25200	210543.365597459	5053.040774339016
289	Perry	Perry Township	63720	Perry Township-63720	466549.76502063137	11197.194360495154
290	Webber	Webber Township	85060	Webber Township-85060	460396.1814914876	11049.508355795702
291	Moltke	Moltke Township	54860	Moltke Township-54860	1217522.2466712834	29220.5339201108
292	Sherman	Sherman Township	73180	Sherman Township-73180	176807.60917285288	4243.382620148469
293	Groveland	Groveland Township	35640	Groveland Township-35640	765823.6113450329	18379.766672280788
294	Mastodon	Mastodon Township	52300	Mastodon Township-52300	1017448.8951308592	24418.77348314062
295	Florence	Florence Township	29060	Florence Township-29060	384414.3565276938	9225.944556664652
296	Tompkins	Tompkins Township	79980	Tompkins Township-79980	337336.9223084436	8096.086135402646
297	Fawn River	Fawn River Township	27540	Fawn River Township-27540	282082.3328936849	6769.975989448438
298	Ransom	Ransom Township	67120	Ransom Township-67120	308859.64995837864	7412.631599001087
299	Marathon	Marathon Township	51420	Marathon Township-51420	280794.6463821809	6739.071513172342
300	Sumpter	Sumpter Township	77360	Sumpter Township-77360	996759.8828835709	23922.237189205698
301	Watson	Watson Township	84580	Watson Township-84580	371583.1755546596	8917.99621331183
302	Woodland	Woodland Township	88440	Woodland Township-88440	462945.0995991061	11110.682390378546
303	West Traverse	West Traverse Township	86300	West Traverse Township-86300	217260.46862000297	5214.251246880071
304	Hudson	Hudson Township	39740	Hudson Township-39740	416058.51035525464	9985.40424852611
305	Brown	Brown Township	11160	Brown Township-11160	382368.86260448507	9176.852702507642
306	Brady	Brady Township	09920	Brady Township-09920	488750.48205711704	11730.01156937081
307	Bearinger	Bearinger Township	06400	Bearinger Township-06400	525703.8057665335	12616.891338396803
308	Eden	Eden Township	24820	Eden Township-24820	185533.3919219001	4452.801406125603
309	Union	Union Township	81320	Union Township-81320	343822.9622372101	8251.751093693043
310	Mitchell	Mitchell Township	54740	Mitchell Township-54740	767384.6947802299	18417.232674725517
311	Pinconning	Pinconning Township	64180	Pinconning Township-64180	554819.8665918787	13315.67679820509
312	Peacock	Peacock Township	63120	Peacock Township-63120	296337.53763534664	7112.10090324832
313	Hillman	Hillman Township	38400	Hillman Township-38400	597705.9443642762	14344.94266474263
314	Johnstown	Johnstown Township	41860	Johnstown Township-41860	330223.74884660007	7925.369972318402
315	Osceola	Osceola Township	61280	Osceola Township-61280	335879.6032669572	8061.110478406973
316	Lee	Lee Township	46620	Lee Township-46620	403462.90661588166	9683.10975878116
317	Polkton	Polkton Township	65320	Polkton Township-65320	726337.8177347874	17432.107625634897
318	Wales	Wales Township	82900	Wales Township-82900	632546.5051337697	15181.116123210473
319	Pickford	Pickford Township	63980	Pickford Township-63980	716040.4360718931	17184.970465725433
320	Nester	Nester Township	56980	Nester Township-56980	485247.23944093013	11645.933746582323
321	Decatur	Decatur Township	21060	Decatur Township-21060	500772.6770293783	12018.54424870508
322	South Arm	South Arm Township	74680	South Arm Township-74680	342124.25668743683	8210.982160498485
323	Brownstown	Brownstown Township	11220	Brownstown Township-11220	2639717.1562207853	63353.21174929885
324	Lodi	Lodi Township	49120	Lodi Township-49120	1771079.336781291	42505.90408275098
325	Tobacco	Tobacco Township	79860	Tobacco Township-79860	315681.6977438191	7576.360745851658
326	Norwood	Norwood Township	59340	Norwood Township-59340	166225.3850758181	3989.4092418196346
327	Medina	Medina Township	52820	Medina Township-52820	516694.2941421961	12400.663059412707
328	Lebanon	Lebanon Township	46580	Lebanon Township-46580	320400.09265868156	7689.602223808358
329	Forest Home	Forest Home Township	29600	Forest Home Township-29600	271507.63377869385	6516.183210688652
330	Weldon	Weldon Township	85160	Weldon Township-85160	263189.2126251824	6316.541103004377
331	Onondaga	Onondaga Township	60800	Onondaga Township-60800	356259.97396694403	8550.239375206656
332	Hagar	Hagar Township	35860	Hagar Township-35860	720483.689514447	17291.60854834673
333	Adams	Adams Township	00300	Adams Township-00300	259744.8001215061	6233.875202916146
334	Bingham	Bingham Township	08440	Bingham Township-08440	285352.3750363295	6848.457000871908
335	Moore	Moore Township	55320	Moore Township-55320	319497.92378870054	7667.950170928813
336	Bark River	Bark River Township	05420	Bark River Township-05420	285448.3944254284	6850.7614662102815
337	Greenwood	Greenwood Township	35120	Greenwood Township-35120	349328.1955660718	8383.876693585722
338	Columbia	Columbia Township	17400	Columbia Township-17400	668784.3079098605	16050.823389836652
339	Stanton	Stanton Township	76200	Stanton Township-76200	986893.0186499198	23685.432447598072
340	Bergland	Bergland Township	07640	Bergland Township-07640	422452.81652682193	10138.867596643728
341	Carlton	Carlton Township	13340	Carlton Township-13340	393946.6715977355	9454.720118345651
342	Charlton	Charlton Township	14840	Charlton Township-14840	615399.5156068197	14769.588374563671
343	Reading	Reading Township	67520	Reading Township-67520	285052.3168415489	6841.255604197173
344	Clyde	Clyde Township	16720	Clyde Township-16720	387289.55031120783	9294.949207468988
345	Brookfield	Brookfield Township	10940	Brookfield Township-10940	220424.82921694353	5290.1959012066445
346	Royalton	Royalton Township	70100	Royalton Township-70100	1004076.9855830286	24097.847653992685
347	Clement	Clement Township	16360	Clement Township-16360	138007.50386646262	3312.180092795103
348	Eagle Harbor	Eagle Harbor Township	23620	Eagle Harbor Township-23620	506519.79918189696	12156.475180365527
349	Aetna	Aetna Township	00500	Aetna Township-00500	463053.00914227846	11113.272219414683
350	Ridgeway	Ridgeway Township	68540	Ridgeway Township-68540	300569.8717363764	7213.676921673034
351	Tyrone	Tyrone Township	81160	Tyrone Township-81160	1315651.547877735	31575.63714906564
352	Leroy	Leroy Township	47120	Leroy Township-47120	398997.6200190443	9575.942880457063
353	Armada	Armada Township	03540	Armada Township-03540	259852.22003694257	6236.453280886622
354	Shelby	Shelby Township	72860	Shelby Township-72860	655850.1344157683	15740.40322597844
355	Flynn	Flynn Township	29240	Flynn Township-29240	286537.2743129119	6876.894583509886
356	Newkirk	Newkirk Township	57480	Newkirk Township-57480	316040.7090878327	7584.977018107985
357	Pokagon	Pokagon Township	65300	Pokagon Township-65300	621776.9111096525	14922.645866631661
358	Marquette	Marquette Township	51880	Marquette Township-51880	627992.568664398	15071.821647945553
359	Quincy	Quincy Township	66660	Quincy Township-66660	582219.4447887077	13973.266674928984
360	Kalamazoo	Kalamazoo Township	42180	Kalamazoo Township-42180	809290.5078816315	19422.972189159154
361	Deerfield	Deerfield Township	21240	Deerfield Township-21240	426314.62255188613	10231.550941245267
362	Lanse	Lanse Township	45560	Lanse Township-45560	1480590.6013897604	35534.17443335425
363	Bloomfield	Bloomfield Township	09080	Bloomfield Township-09080	330920.4628541506	7942.091108499614
364	Platte	Platte Township	64760	Platte Township-64760	238690.36911454535	5728.568858749088
365	Richland	Richland Township	68280	Richland Township-68280	437290.6596245407	10494.975830988977
366	Chesaning	Chesaning Township	15160	Chesaning Township-15160	353034.4445738808	8472.82666977314
367	Monterey	Monterey Township	55200	Monterey Township-55200	319516.4019077994	7668.393645787186
368	Vergennes	Vergennes Township	81920	Vergennes Township-81920	713120.7327826922	17114.897586784613
369	Green Oak	Green Oak Township	35060	Green Oak Township-35060	1759963.988071978	42239.135713727475
370	Avery	Avery Township	04580	Avery Township-04580	303195.12014568114	7276.682883496348
371	Dorr	Dorr Township	22680	Dorr Township-22680	570040.5535733739	13680.973285760974
372	Mansfield	Mansfield Township	50860	Mansfield Township-50860	414436.0839825849	9946.466015582037
373	Albion	Albion Township	01000	Albion Township-01000	670341.5938216054	16088.19825171853
374	Bingham	Bingham Township	08420	Bingham Township-08420	237872.0036075571	5708.92808658137
375	Home	Home Township	38860	Home Township-38860	175763.96043201175	4218.335050368282
376	Heath	Heath Township	37460	Heath Township-37460	371576.56108563696	8917.837466055287
377	Klacking	Klacking Township	43640	Klacking Township-43640	297555.71066185593	7141.337055884542
378	Wayne	Wayne Township	84920	Wayne Township-84920	326408.4953106179	7833.80388745483
379	Ontwa	Ontwa Township	60900	Ontwa Township-60900	815446.6641246945	19570.719938992668
380	Carp Lake	Carp Lake Township	13520	Carp Lake Township-13520	937239.2379574259	22493.74171097822
381	Benona	Benona Township	07300	Benona Township-07300	342874.51686666807	8228.988404800033
382	Churchill	Churchill Township	15740	Churchill Township-15740	342140.3820774901	8211.369169859763
383	Bloomfield	Bloomfield Township	09110	Bloomfield Township-09110	3998162.9704602	95955.9112910448
384	Almira	Almira Township	01640	Almira Township-01640	283275.153232689	6798.603677584536
385	East China	East China Township	23820	East China Township-23820	26894639.627316687	645471.3510556006
386	Butler	Butler Township	12140	Butler Township-12140	408066.76316623227	9793.602315989574
387	Haight	Haight Township	35960	Haight Township-35960	419734.78320311045	10073.63479687465
388	Galien	Galien Township	31320	Galien Township-31320	801653.1835302225	19239.67640472534
389	Branch	Branch Township	10020	Branch Township-10020	288311.52234537806	6919.476536289074
390	White Oak	White Oak Township	86900	White Oak Township-86900	303744.6280552295	7289.8710733255075
391	Vevay	Vevay Township	82220	Vevay Township-82220	818280.3473298844	19638.728335917225
392	Denton	Denton Township	21640	Denton Township-21640	334986.0778143969	8039.665867545525
393	Laird	Laird Township	44220	Laird Township-44220	634565.3581403093	15229.568595367424
394	Evergreen	Evergreen Township	26740	Evergreen Township-26740	265010.7521919542	6360.2580526069005
395	Lakefield	Lakefield Township	44540	Lakefield Township-44540	291144.9073668088	6987.477776803412
396	Lee	Lee Township	46640	Lee Township-46640	387038.5343950383	9288.924825480919
397	Bismark	Bismark Township	08700	Bismark Township-08700	389936.12749638915	9358.467059913339
398	Greenbush	Greenbush Township	34840	Greenbush Township-34840	655566.7414344818	15733.601794427563
399	Posen	Posen Township	66020	Posen Township-66020	159044.40360936098	3817.0656866246636
400	California	California Township	12560	California Township-12560	309526.71598860016	7428.641183726404
401	Lake	Lake Township	44360	Lake Township-44360	453753.8762980303	10890.093031152726
402	Trout Lake	Trout Lake Township	80600	Trout Lake Township-80600	538742.0651294949	12929.809563107878
403	Tilden	Tilden Township	79780	Tilden Township-79780	621552.1329196726	14917.251190072144
404	Hiawatha	Hiawatha Township	37940	Hiawatha Township-37940	1254140.778179858	30099.378676316595
405	Greenwood	Greenwood Township	35240	Greenwood Township-35240	265267.4229079163	6366.418149789991
406	Springfield	Springfield Township	75720	Springfield Township-75720	312120.75670986867	7490.898161036848
407	Albert	Albert Township	00940	Albert Township-00940	537592.6159419838	12902.22278260761
408	Whitefish	Whitefish Township	86700	Whitefish Township-86700	907805.0055138612	21787.32013233267
409	Chikaming	Chikaming Township	15480	Chikaming Township-15480	592844.0193475969	14228.256464342327
410	Morton	Morton Township	55600	Morton Township-55600	310379.0557292295	7449.097337501509
411	Mellen	Mellen Township	52860	Mellen Township-52860	329201.2319261442	7900.829566227461
412	Penn	Penn Township	63380	Penn Township-63380	344021.10754216707	8256.50658101201
413	Newton	Newton Township	57640	Newton Township-57640	439779.72061649454	10554.713294795869
414	Adams	Adams Township	00280	Adams Township-00280	422199.7042242489	10132.792901381974
415	Sullivan	Sullivan Township	77100	Sullivan Township-77100	384891.9138609656	9237.405932663174
416	Norvell	Norvell Township	59180	Norvell Township-59180	406448.25553450704	9754.758132828169
417	Holland	Holland Township	38620	Holland Township-38620	224359.84105012647	5384.636185203035
418	Sand Beach	Sand Beach Township	71260	Sand Beach Township-71260	836726.3567180444	20081.432561233065
419	Denmark	Denmark Township	21600	Denmark Township-21600	404835.20185955585	9716.04484462934
420	Montrose	Montrose Township	55300	Montrose Township-55300	424793.6995921127	10195.048790210705
421	Austin	Austin Township	04380	Austin Township-04380	493871.57418838295	11852.917780521191
422	Lilley	Lilley Township	47440	Lilley Township-47440	318707.15449266165	7648.97170782388
423	Home	Home Township	38840	Home Township-38840	361004.3757812127	8664.105018749106
424	Lansing	Lansing Township	46020	Lansing Township-46020	1592423.4465965866	38218.162718318075
425	Ada	Ada Township	00240	Ada Township-00240	1622331.3125850563	38935.95150204135
426	Hamlin	Hamlin Township	36220	Hamlin Township-36220	3798411.8497419995	91161.884393808
427	Cedar Creek	Cedar Creek Township	14120	Cedar Creek Township-14120	409991.1706869804	9839.78809648753
428	Southfield	Southfield Township	74920	Southfield Township-74920	1257502.2750662598	30180.054601590236
429	Verona	Verona Township	82140	Verona Township-82140	325826.71418522345	7819.841140445363
430	Sanilac	Sanilac Township	71580	Sanilac Township-71580	428493.44896726793	10283.84277521443
431	St Joseph	St Joseph Township	70980	St Joseph Township-70980	542006.6824730182	13008.160379352435
432	Isabella	Isabella Township	41160	Isabella Township-41160	859240.0440112511	20621.761056270025
433	Kenockee	Kenockee Township	42740	Kenockee Township-42740	359807.61929234205	8635.382863016208
434	Deerfield	Deerfield Township	21220	Deerfield Township-21220	593451.2662030777	14242.830388873866
435	Rose	Rose Township	69580	Rose Township-69580	680229.4779965717	16325.507471917721
436	Scio	Scio Township	71940	Scio Township-71940	1227270.8218091328	29454.49972341919
437	Lima	Lima Township	47460	Lima Township-47460	558805.5266628425	13411.33263990822
438	Burt	Burt Township	11960	Burt Township-11960	1040367.1307382738	24968.811137718574
439	Waverly	Waverly Township	84760	Waverly Township-84760	336164.1910638645	8067.940585532748
440	Inverness	Inverness Township	40820	Inverness Township-40820	384191.47201273474	9220.595328305633
441	Sylvan	Sylvan Township	77760	Sylvan Township-77760	325641.95397284353	7815.406895348246
442	Hudson	Hudson Township	39760	Hudson Township-39760	304437.92125507054	7306.510110121693
443	Deerfield	Deerfield Township	21140	Deerfield Township-21140	315554.90437871835	7573.31770508924
444	Marion	Marion Township	51700	Marion Township-51700	137829.36100616402	3307.9046641479367
445	Grant	Grant Township	34300	Grant Township-34300	722035.8565365963	17328.860556878313
446	Iron River	Iron River Township	41000	Iron River Township-41000	1118170.6835977682	26836.096406346438
447	Hampton	Hampton Township	36260	Hampton Township-36260	7628361.633024792	183080.679192595
448	Roxand	Roxand Township	70020	Roxand Township-70020	290160.5910862883	6963.854186070919
449	Robinson	Robinson Township	69000	Robinson Township-69000	711558.6870330675	17077.40848879362
450	Berlin	Berlin Township	07720	Berlin Township-07720	1857087.7144094915	44570.1051458278
451	Walker	Walker Township	82940	Walker Township-82940	194924.06552766808	4678.1775726640335
452	Walton	Walton Township	83180	Walton Township-83180	523417.6828360226	12562.024388064541
453	Hinton	Hinton Township	38540	Hinton Township-38540	341103.9163864204	8186.493993274089
454	Grant	Grant Township	34320	Grant Township-34320	329580.75486867863	7909.938116848287
455	Sherman	Sherman Township	73300	Sherman Township-73300	697052.8834832723	16729.269203598535
456	Franklin	Franklin Township	30320	Franklin Township-30320	622303.3528962294	14935.280469509506
457	Hawes	Hawes Township	37220	Hawes Township-37220	404941.5619995277	9718.597487988663
458	Grant	Grant Township	34340	Grant Township-34340	353345.3268391039	8480.287844138495
459	Wheeler	Wheeler Township	86620	Wheeler Township-86620	326411.9008368162	7833.885620083588
460	White Lake	White Lake Township	86860	White Lake Township-86860	2515432.6704785037	60370.384091484084
461	Montmorency	Montmorency Township	55240	Montmorency Township-55240	1078750.5960022581	25890.01430405419
462	Oliver	Oliver Township	60540	Oliver Township-60540	180256.19341813208	4326.148642035169
463	Green	Green Township	34740	Green Township-34740	399521.29001094477	9588.510960262674
464	Bridgehampton	Bridgehampton Township	10420	Bridgehampton Township-10420	273959.46461674926	6575.027150801982
465	South Branch	South Branch Township	74820	South Branch Township-74820	234415.48863016517	5625.971727123964
466	Kingston	Kingston Township	43400	Kingston Township-43400	319599.4355303855	7670.3864527292535
467	Plainfield	Plainfield Township	64640	Plainfield Township-64640	740189.3196547815	17764.543671714757
468	Custer	Custer Township	19460	Custer Township-19460	353447.5422973353	8482.741015136045
