	NAME	LABEL	FIPSCODE	municipality	graced_emissions_2019(kgC/hr)	graced_emissions_2019(metric tonnes/year)
704	Bates	Bates Township	05860	Bates Township-05860	813725.1050464952	19529.402521115884
705	Parma	Parma Township	62760	Parma Township-62760	525971.2601738153	12623.310244171567
706	Calumet	Calumet Township	12600	Calumet Township-12600	439567.66391297505	10549.623933911402
707	Plainfield	Plainfield Township	64660	Plainfield Township-64660	2660483.450109855	63851.60280263652
708	Mundy	Mundy Township	56160	Mundy Township-56160	2634579.1438768436	63229.89945304425
709	Butterfield	Butterfield Township	12200	Butterfield Township-12200	269065.0950521997	6457.562281252792
710	Novi	Novi Township	59460	Novi Township-59460	19767.30616296683	474.4153479112039
711	Mt Morris	Mt Morris Township	55980	Mt Morris Township-55980	2923440.6050120657	70162.57452028956
712	Sherman	Sherman Township	73280	Sherman Township-73280	403186.06523564097	9676.465565655384
713	Springport	Springport Township	75880	Springport Township-75880	283623.07640454685	6806.953833709124
714	Blumfield	Blumfield Township	09400	Blumfield Township-09400	615599.1550930148	14774.379722232357
715	Champion	Champion Township	14540	Champion Township-14540	322810.55017595633	7747.453204222952
716	Warner	Warner Township	83300	Warner Township-83300	264291.08279569005	6342.985987096561
717	Caseville	Caseville Township	13780	Caseville Township-13780	253455.8538474047	6082.940492337713
718	Ravenna	Ravenna Township	67300	Ravenna Township-67300	320932.87755385105	7702.389061292425
719	Sherman	Sherman Township	73160	Sherman Township-73160	305192.5102487495	7324.620245969988
720	Girard	Girard Township	32280	Girard Township-32280	489249.2055313868	11741.980932753284
721	Niles	Niles Township	57780	Niles Township-57780	3501639.9943446675	84039.35986427203
722	Huron	Huron Township	40020	Huron Township-40020	321269.70876745414	7710.473010418899
723	New Field	New Field Township	57300	New Field Township-57300	224090.2820287291	5378.166768689498
724	Sage	Sage Township	70500	Sage Township-70500	282620.04923864186	6782.8811817274045
725	Erwin	Erwin Township	26340	Erwin Township-26340	350796.5268544142	8419.11664450594
726	Beaugrand	Beaugrand Township	06500	Beaugrand Township-06500	233446.70100717983	5602.7208241723165
727	Arlington	Arlington Township	03500	Arlington Township-03500	306690.84413595445	7360.580259262906
728	Custer	Custer Township	19400	Custer Township-19400	366648.02894314245	8799.552694635418
729	Sims	Sims Township	74020	Sims Township-74020	180997.46134517156	4343.939072284117
