	state	city	municipality	graced_emissions_2019(kgC/hr)	graced_emissions_2019(metric tonnes/year)
117	Chiapas	SanJuanCancuc	SanJuanCancuc, Chiapas	282522.2678554733	6780.5344285313595
118	Chiapas	SanLucas	SanLucas, Chiapas	142199.94908571985	3412.798778057276
119	Chiapas	SantiagoelPinar	SantiagoelPinar, Chiapas	24650.483971242527	591.6116153098206
120	Chiapas	Siltepec	Siltepec, Chiapas	653144.1809672483	15675.46034321396
121	Chiapas	Simojovel	Simojovel, Chiapas	436417.5240275441	10474.020576661058
122	Chiapas	Sitalá	Sitalá, Chiapas	174644.15573799843	4191.459737711963
123	Chiapas	Socoltenango	Socoltenango, Chiapas	168111.46604134864	4034.6751849923676
124	Chiapas	Solosuchiapa	Solosuchiapa, Chiapas	276792.3430241064	6643.016232578553
125	Chiapas	Soyaló	Soyaló, Chiapas	276329.73823524226	6631.913717645814
126	Chiapas	Suchiapa	Suchiapa, Chiapas	415163.3391360048	9963.920139264113
127	Chiapas	Suchiate	Suchiate, Chiapas	540066.6583749187	12961.59980099805
128	Chiapas	Sunuapa	Sunuapa, Chiapas	35577.3705720756	853.8568937298144
129	Chiapas	Tapachula	Tapachula, Chiapas	4872809.794500742	116947.43506801782
130	Chiapas	Tapalapa	Tapalapa, Chiapas	138092.15483436786	3314.2117160248285
131	Chiapas	Tapilula	Tapilula, Chiapas	154261.80074996373	3702.2832179991296
132	Chiapas	Tecpatán	Tecpatán, Chiapas	1261846.7496910382	30284.321992584915
133	Chiapas	Tenejapa	Tenejapa, Chiapas	600352.0915125376	14408.4501963009
134	Chiapas	Teopisca	Teopisca, Chiapas	657076.547590422	15769.837142170127
135	Chiapas	Tila	Tila, Chiapas	1108735.7126296132	26609.657103110716
136	Chiapas	Tonalá	Tonalá, Chiapas	1431000.9438333635	34344.02265200073
137	Chiapas	Totolapa	Totolapa, Chiapas	88931.17122237248	2134.3481093369396
138	Chiapas	Tumbalá	Tumbalá, Chiapas	426929.48754079785	10246.307700979149
139	Chiapas	TuxtlaChico	TuxtlaChico, Chiapas	1645707.3108664285	39496.97546079428
