	municipality	res_com_non_electricity	res_com_non_electricity-adjusted (metric tonnes CO2/year)	state	city	edgar_emission_2015(tons_CO2)	absolute_percent_error_edgar (percent error)
114	sabinas, coahuila	219100000.0	12802.013	Coahuila	Sabinas	16235.13713941466	26.817064936699094
115	sacramento, coahuila			Coahuila	Sacramento	1450.04477896936	
116	saltillo, coahuila	2488000000.0	145373.84	Coahuila	Saltillo	170156.75364371302	17.047712053085355
117	sanbuenaventura, coahuila			Coahuila	SanBuenaventura	6366.283921080346	
118	sanjuandesabinas, coahuila	138020000.0	8064.5086	Coahuila	SanJuandeSabinas	5295.942628911198	34.33025009222263
119	sierramojada, coahuila			Coahuila	SierraMojada	5652.8779575666185	
120	torreón, coahuila	2480000000.0	144906.4	Coahuila	Torreón	78240.27368997048	46.00633671806733
121	villaunión, coahuila			Coahuila	VillaUnión	2943.521510095477	
122	zaragoza, coahuila			Coahuila	Zaragoza	5553.059144987661	
123	armería, colima			Colima	Armería	12985.8271051063	
124	colima, colima	645300000.0	37704.879	Colima	Colima	24536.49920799171	34.92486951624561
125	comala, colima			Colima	Comala	4823.672594103505	
126	coquimatlán, colima			Colima	Coquimatlán	39937.650062220135	
127	cuauhtémoc, colima			Colima	Cuauhtémoc	8498.828790174815	
128	manzanillo, colima	617900000.0	36103.897	Colima	Manzanillo	40749.24371406558	12.866607485794637
129	tecomán, colima	364800000.0	21315.264	Colima	Tecomán	29699.69613369526	39.335342661931186
130	villadeálvarez, colima	425200000.0	24844.436	Colima	VilladeÁlvarez	7569.8912025760355	69.53083900726892
131	álvaroobregón, distritofederal	3234000000.0	188962.62	DistritoFederal	ÁlvaroObregón	210615.67727174997	11.45891037695708
132	azcapotzalco, distritofederal	3032000000.0	177159.76	DistritoFederal	Azcapotzalco	54662.81859977206	69.14490141566456
133	benitojuárez, distritofederal	2905200000.0	169750.836	DistritoFederal	BenitoJuárez	65312.33010488097	61.52459001446039
134	coyoacán, distritofederal	2387000000.0	139472.41	DistritoFederal	Coyoacán	141268.00153379713	1.2874170122944915
135	cuajimalpademorelos, distritofederal	916200000.0	53533.566	DistritoFederal	CuajimalpadeMorelos	116954.90127902116	118.47022348375067
136	cuauhtémoc, distritofederal	39530000000.0	2309737.9	DistritoFederal	Cuauhtémoc	72535.0218934081	96.85959944228269
137	cuauhtémoc, distritofederal	4354000000.0	254404.22	DistritoFederal	Cuauhtémoc	72535.0218934081	71.48827881337499
138	gustavoa.madero, distritofederal	4061000000.0	237284.23	DistritoFederal	GustavoA.Madero	155517.26255977136	34.45950345719505
139	iztacalco, distritofederal	1338500000.0	78208.55500000001	DistritoFederal	Iztacalco	47412.00495929709	39.37746969075559
140	iztapalapa, distritofederal	5830000000.0	340646.9	DistritoFederal	Iztapalapa	227046.42527518942	33.3484539929207
141	lamagdalenacontreras, distritofederal	762300000.0	44541.189	DistritoFederal	LaMagdalenaContreras	92094.07805113569	106.76160677061335
142	miguelhidalgo, distritofederal	3535900000.0	206602.63700000002	DistritoFederal	MiguelHidalgo	111984.40887956908	45.79720254027103
143	milpaalta, distritofederal	384600000.0	22472.178	DistritoFederal	MilpaAlta	124676.00003598366	454.8015863704162
144	tláhuac, distritofederal	1101500000.0	64360.645000000004	DistritoFederal	Tláhuac	130218.26267956465	102.32591310973444
145	tlalpan, distritofederal	2469000000.0	144263.67	DistritoFederal	Tlalpan	332798.19124675286	130.68745668729545
146	venustianocarranza, distritofederal	1727300000.0	100926.139	DistritoFederal	VenustianoCarranza	68289.52822004823	32.337124062530286
147	xochimilco, distritofederal	1276000000.0	74556.68000000001	DistritoFederal	Xochimilco	186138.0212007473	149.65975040834337
148	durango, durango	1835900000.0	107271.637	Durango	Durango	143479.63212830623	33.75355885387134
149	gómezpalacio, durango	1107000000.0	64682.01	Durango	GómezPalacio	47201.571941590046	27.02519303034948
150	lerdo, durango	399400000.0	23336.942	Durango	Lerdo	154822.20867692534	563.4211486531754
151	nuevoideal, durango			Durango	NuevoIdeal	12353.988472291881	
152	abasolo, guanajuato	222070000.0	12975.5501	Guanajuato	Abasolo	40526.38896530409	212.32886970475406
153	acámbaro, guanajuato	339300000.0	19825.299	Guanajuato	Acámbaro	39645.8978262545	99.97629204106582
154	apaseoelalto, guanajuato	178120000.0	10407.5516	Guanajuato	ApaseoelAlto	45065.500108887936	333.00770287689886
155	apaseoelgrande, guanajuato	235630000.0	13767.8609	Guanajuato	ApaseoelGrande	63900.80517660621	364.1302351958409
156	atarjea, guanajuato			Guanajuato	Atarjea	1599.4807288736695	
157	celaya, guanajuato	1631000000.0	95299.33	Guanajuato	Celaya	70364.81307631341	26.16441996358903
158	comonfort, guanajuato	200430000.0	11711.1249	Guanajuato	Comonfort	23920.947806774573	104.25832711232181
159	coroneo, guanajuato			Guanajuato	Coroneo	3772.2820358330773	
160	cortazar, guanajuato	264500000.0	15454.735	Guanajuato	Cortazar	60158.79585069937	289.25802254583704
161	cuerámaro, guanajuato			Guanajuato	Cuerámaro	12417.907297991074	
162	doctormora, guanajuato			Guanajuato	DoctorMora	7659.999298418519	
163	doloreshidalgocunadelaindep, guanajuato	377400000.0	22051.482	Guanajuato	DoloresHidalgoCunadelaIndep	62455.909888999704	183.22772088061794
164	guanajuato, guanajuato	507200000.0	29635.696	Guanajuato	Guanajuato	34764.77606009872	17.307101746821523
165	huanímaro, guanajuato			Guanajuato	Huanímaro	7436.105651553327	
166	irapuato, guanajuato	1703500000.0	99535.505	Guanajuato	Irapuato	119280.69953659274	19.837337979641273
167	jaraldelprogreso, guanajuato	106690000.0	6233.8967	Guanajuato	JaraldelProgreso	12389.281955155737	98.74057193080752
168	jerécuaro, guanajuato	138010000.0	8063.924300000001	Guanajuato	Jerécuaro	28621.016682690562	254.92665379671982
169	león, guanajuato	4767000000.0	278535.81	Guanajuato	León	258839.27132218765	7.071456513190297
170	manueldoblado, guanajuato	104520000.0	6107.1036	Guanajuato	ManuelDoblado	23060.53848549851	277.6018878326954
171	moroleón, guanajuato	177700000.0	10383.011	Guanajuato	Moroleón	16004.3412827132	54.13969303040515
172	ocampo, guanajuato			Guanajuato	Ocampo	12045.698076451734	
173	pénjamo, guanajuato	416300000.0	24324.409	Guanajuato	Pénjamo	62264.36479121142	155.9748308425969
174	pueblonuevo, guanajuato			Guanajuato	PuebloNuevo	15990.999913024989	
175	purísimadelrincón, guanajuato	179670000.0	10498.1181	Guanajuato	PurísimadelRincón	39139.64670079446	272.8253609644043
176	romita, guanajuato	144160000.0	8423.2688	Guanajuato	Romita	38159.049496245934	353.01949162830863
177	salamanca, guanajuato	804000000.0	46977.72	Guanajuato	Salamanca	55051.62863781515	17.18667623251011
178	salvatierra, guanajuato	308000000.0	17996.44	Guanajuato	Salvatierra	30893.632793867055	71.66524486991348
179	sandiegodelaunión, guanajuato	90950000.0	5314.2085	Guanajuato	SanDiegodelaUnión	18200.043232011933	242.4789078563992
180	sanfelipe, guanajuato	263740000.0	15410.3282	Guanajuato	SanFelipe	50421.98090181762	227.19602235218855
181	sanfranciscodelrincón, guanajuato	338800000.0	19796.084	Guanajuato	SanFranciscodelRincón	49690.463631220795	151.01158204431138
182	sanjoséiturbide, guanajuato	205290000.0	11995.0947	Guanajuato	SanJoséIturbide	28044.58855283152	133.8004763966684
183	sanluisdelapaz, guanajuato	292000000.0	17061.56	Guanajuato	SanLuisdelaPaz	34384.31696736236	101.53090905733333
184	sanmigueldeallende, guanajuato	451600000.0	26386.988	Guanajuato	SanMigueldeAllende	69020.26808493213	161.5693313876223
185	santacatarina, guanajuato			Guanajuato	SantaCatarina	3155.0798652994895	
186	santacruzdejuventinorosas, guanajuato	208910000.0	12206.6113	Guanajuato	SantaCruzdeJuventinoRosas	23046.48900536772	88.80333320163736
187	santiagomaravatío, guanajuato			Guanajuato	SantiagoMaravatío	5191.45918707569	
188	silaodelavictoria, guanajuato	373500000.0	21823.605	Guanajuato	SilaodelaVictoria	42354.12467465333	94.07483170013997
189	tarandacuao, guanajuato			Guanajuato	Tarandacuao	4834.956110708704	
190	tarimoro, guanajuato	108370000.0	6332.0591	Guanajuato	Tarimoro	15139.317827063587	139.08996406972238
191	tierrablanca, guanajuato			Guanajuato	TierraBlanca	5337.801232336982	
192	uriangato, guanajuato	203200000.0	11872.976	Guanajuato	Uriangato	9593.484146244771	19.198993190546577
193	valledesantiago, guanajuato	384600000.0	22472.178	Guanajuato	ValledeSantiago	76576.86891224282	240.76300442370479
194	victoria, guanajuato			Guanajuato	Victoria	6094.062061117891	
195	villagrán, guanajuato	163020000.0	9525.258600000001	Guanajuato	Villagrán	20843.16199940709	118.81990688848161
196	xichú, guanajuato			Guanajuato	Xichú	6068.723963564735	
197	yuriria, guanajuato	215110000.0	12568.8773	Guanajuato	Yuriria	35760.520477843005	184.5164259646564
198	acapulcodejuárez, guerrero	2719000000.0	158871.17	Guerrero	AcapulcodeJuárez	146653.67175923666	7.690192147992206
199	buenavistadecuéllar, guerrero			Guerrero	BuenavistadeCuéllar	5797.454230381472	
200	coyucadebenítez, guerrero	203590000.0	11895.7637	Guerrero	CoyucadeBenítez	34405.291984753196	189.22306169172808
201	huitzucodelosfigueroa, guerrero	116420000.0	6802.4206	Guerrero	HuitzucodelosFigueroa	10866.999349741864	59.751946972256654
202	igualadelaindependencia, guerrero	473100000.0	27643.233	Guerrero	IgualadelaIndependencia	33079.31308663415	19.66513861325176
203	launióndeisidoromontesdeoc, guerrero			Guerrero	LaUnióndeIsidoroMontesdeOc	9746.990127238601	
204	pilcaya, guerrero			Guerrero	Pilcaya	5890.716822660804	
205	sanmarcos, guerrero	133120000.0	7778.2016	Guerrero	SanMarcos	29299.28735433134	276.68459704530335
206	taxcodealarcón, guerrero	346500000.0	20245.995	Guerrero	TaxcodeAlarcón	31518.280885603403	55.676620909979505
207	tepecoacuilcodetrujano, guerrero			Guerrero	TepecoacuilcodeTrujano	13958.34436877584	
208	tetipac, guerrero			Guerrero	Tetipac	8088.047978492006	
209	zihuatanejodeazueta, guerrero	489000000.0	28572.27	Guerrero	ZihuatanejodeAzueta	30419.6180578189	6.4655277925726615
210	acatlán, hidalgo			Hidalgo	Acatlán	13347.900206521399	
211	acaxochitlán, hidalgo	88340000.0	5161.7062000000005	Hidalgo	Acaxochitlán	27646.57272971195	435.609189258233
212	actopan, hidalgo			Hidalgo	Actopan	7361.0414643881595	
213	aguablancadeiturbide, hidalgo			Hidalgo	AguaBlancadeIturbide	3596.42814468657	
214	ajacuba, hidalgo			Hidalgo	Ajacuba	15551.580525176869	
215	alfajayucan, hidalgo			Hidalgo	Alfajayucan	18641.033807188443	
216	almoloya, hidalgo			Hidalgo	Almoloya	4543.838935269499	
217	apan, hidalgo	131860000.0	7704.5798	Hidalgo	Apan	11269.790749906251	46.273918142897955
218	atitalaquia, hidalgo			Hidalgo	Atitalaquia	4531.625775314166	
219	atlapexco, hidalgo			Hidalgo	Atlapexco	7744.775504243557	
220	atotonilcodetula, hidalgo			Hidalgo	AtotonilcodeTula	8239.547992312595	
221	atotonilcoelgrande, hidalgo			Hidalgo	AtotonilcoelGrande	7111.006139498169	
222	calnali, hidalgo			Hidalgo	Calnali	12690.131218503508	
223	cardonal, hidalgo			Hidalgo	Cardonal	5457.838311819036	
224	chapantongo, hidalgo			Hidalgo	Chapantongo	5860.4766729786925	
225	chapulhuacán, hidalgo			Hidalgo	Chapulhuacán	18477.057549365993	
226	chilcuautla, hidalgo			Hidalgo	Chilcuautla	10647.197850951647	
227	cuautepecdehinojosa, hidalgo	153650000.0	8977.7695	Hidalgo	CuautepecdeHinojosa	24227.058686971606	169.8561005266576
228	elarenal, hidalgo			Hidalgo	ElArenal	1771.8686951149182	
229	eloxochitlán, hidalgo			Hidalgo	Eloxochitlán	4614.480307798687	
