	municipality	res_com_non_electricity	res_com_non_electricity-adjusted (metric tonnes CO2/year)	NAME	LABEL	FIPSCODE	edgar_emission_2015(tons_CO2)	absolute_percent_error_edgar (percent error)
125	city of allen park-01380	1352282288.2241998	70494.47568512753	Allen Park	City of Allen Park	01380	62493.64668404609	11.3495829613914
126	city of marlette-51820	145813239.435928	7601.244171794926	Marlette	City of Marlette	51820	253.45148282974657	96.66565792255167
127	city of omer-60660	13941201.7967932	726.7548496668295	Omer	City of Omer	60660	30.804539229412796	95.76135759623278
128	city of niles-57760	631106748.96516	32899.59482355379	Niles	City of Niles	57760	3293.532459214146	89.98913975421907
129	city of port huron-65820	2121237094.93312	110580.08975886354	Port Huron	City of Port Huron	65820	12250.302627173727	88.921782706193
130	city of mason-52180	518980360.4666	27054.446191123858	Mason	City of Mason	52180	1436.7103964614917	94.6895590236371
131	city of farmington-27380	646122928.0752801	33682.388240564345	Farmington	City of Farmington	27380	9773.58248998336	70.98310719483707
132	city of ishpeming-41220	742405299.6642001	38701.58827149475	Ishpeming	City of Ishpeming	41220	2928.9855385682786	92.43187251639078
133	city of troy-80700	9610773466.2016	501009.6207930893	Troy	City of Troy	80700	166775.0409446467	66.71220790518059
134	city of petersburg-63800	46799299.192344	2439.6474668968926	Petersburg	City of Petersburg	63800	197.06030695312958	91.92259088138746
135	city of rose city-69680	32368488.716923997	1687.369316813248	Rose City	City of Rose City	69680	16.776177779211416	99.00577913726116
136	city of muskegon heights-56360	769043247.3622401	40090.224484993574	Muskegon Heights	City of Muskegon Heights	56360	7431.857840863284	81.46216955296633
137	city of lincoln park-47800	1529346597.97784	79724.8381525848	Lincoln Park	City of Lincoln Park	47800	41508.80596508205	47.93491347622601
138	city of roosevelt park-69520	242774701.683456	12655.845198758561	Roosevelt Park	City of Roosevelt Park	69520	5800.462729128419	54.167717461514165
139	city of grand ledge-33420	342329969.61272	17845.661315911093	Grand Ledge	City of Grand Ledge	33420	2902.9264735148026	83.73315271355862
140	city of reading-67500	35401249.5291568	1845.4671379549436	Reading	City of Reading	67500	51.74860961470275	97.19590728274642
141	city of farmington hills-27440	6267101641.1876	326704.00855510955	Farmington Hills	City of Farmington Hills	27440	133478.98663928764	59.14375607767545
142	city of belleville-07020	229441660.75157198	11960.793774979447	Belleville	City of Belleville	07020	3116.5140231330197	73.9439197618105
143	city of marshall-51940	535194451.45212	27899.686754199014	Marshall	City of Marshall	51940	724.9756622035519	97.40149174938517
144	city of romulus-69420	2083691036.2084801	108622.81371754807	Romulus	City of Romulus	69420	186105.16448336624	71.33156296917106
145	city of whittemore-87140	16165911.279349599	842.7289549924946	Whittemore	City of Whittemore	87140	20.148065452049593	97.60918794439323
146	city of bridgman-10580	188956339.66432798	9850.293986701417	Bridgman	City of Bridgman	10580	1165.6712439517466	88.16612737116797
147	city of zilwaukee-89320	155822055.05882	8123.003730216286	Zilwaukee	City of Zilwaukee	89320	2324.0906027688916	71.3887783391796
148	city of bad axe-04740			Bad Axe	City of Bad Axe	04740	36.46349003687582	
149	city of highland park-38180	689600934.6723999	35948.8967244722	Highland Park	City of Highland Park	38180	25666.297662939924	28.603378680415524
150	city of evart-26640	210582585.31678	10977.670172563741	Evart	City of Evart	26640	396.78171365515857	96.3855562481115
151	city of hastings-37120	456775714.113	23811.717976710686	Hastings	City of Hastings	37120	1151.7182573021396	95.1632290520634
