	state	city	municipality	edgar_emission_2015(tons_CO2)
167	Chihuahua	Cuauhtémoc	Cuauhtémoc, Chihuahua	36981.35211870668
168	Chihuahua	Cusihuiriachi	Cusihuiriachi, Chihuahua	14122.520235612852
169	Chihuahua	Delicias	Delicias, Chihuahua	37304.24483804245
170	Chihuahua	Dr.BelisarioDomínguez	Dr.BelisarioDomínguez, Chihuahua	1749.5465281463548
171	Chihuahua	ElTule	ElTule, Chihuahua	1103.1602783126586
172	Chihuahua	Galeana	Galeana, Chihuahua	1980.075268262105
173	Chihuahua	GómezFarías	GómezFarías, Chihuahua	2183.02736568974
174	Chihuahua	GranMorelos	GranMorelos, Chihuahua	1336.8564556855824
175	Chihuahua	Guachochi	Guachochi, Chihuahua	22367.043507811162
176	Chihuahua	Guadalupe	Guadalupe, Chihuahua	15579.939272391912
177	Chihuahua	GuadalupeyCalvo	GuadalupeyCalvo, Chihuahua	27030.205719434765
178	Chihuahua	Guazapares	Guazapares, Chihuahua	6351.850276201948
179	Chihuahua	Guerrero	Guerrero, Chihuahua	17301.39744789417
180	Chihuahua	HidalgodelParral	HidalgodelParral, Chihuahua	11413.870638433771
181	Chihuahua	Huejotitán	Huejotitán, Chihuahua	331.2043334673506
182	Chihuahua	IgnacioZaragoza	IgnacioZaragoza, Chihuahua	6277.835143548711
183	Chihuahua	Janos	Janos, Chihuahua	9615.601300663917
184	Chihuahua	Jiménez	Jiménez, Chihuahua	8371.540355985007
185	Chihuahua	Juárez	Juárez, Chihuahua	1076040.5632383144
186	Chihuahua	Julimes	Julimes, Chihuahua	470.2862397827777
187	Chihuahua	LaCruz	LaCruz, Chihuahua	1656.028843813888
188	Chihuahua	López	López, Chihuahua	3584.698407844585
189	Chihuahua	Madera	Madera, Chihuahua	10459.801363369494
190	Chihuahua	Maguarichi	Maguarichi, Chihuahua	995.115947778166
191	Chihuahua	ManuelBenavides	ManuelBenavides, Chihuahua	936.787528952618
192	Chihuahua	Matachí	Matachí, Chihuahua	2011.2098132732447
193	Chihuahua	Matamoros	Matamoros, Chihuahua	4772.743928757557
194	Chihuahua	Meoqui	Meoqui, Chihuahua	6379.886769519074
195	Chihuahua	Morelos	Morelos, Chihuahua	5199.6424826241055
196	Chihuahua	Moris	Moris, Chihuahua	2894.637505580688
197	Chihuahua	Namiquipa	Namiquipa, Chihuahua	11677.669103883569
198	Chihuahua	Nonoava	Nonoava, Chihuahua	1540.1924467636395
199	Chihuahua	NuevoCasasGrandes	NuevoCasasGrandes, Chihuahua	4774.01020311985
200	Chihuahua	Ocampo	Ocampo, Chihuahua	4415.551811498028
201	Chihuahua	Ojinaga	Ojinaga, Chihuahua	19016.28200717688
202	Chihuahua	PraxedisG.Guerrero	PraxedisG.Guerrero, Chihuahua	1826.6610671848275
203	Chihuahua	RivaPalacio	RivaPalacio, Chihuahua	2636.7057901280587
204	Chihuahua	Rosales	Rosales, Chihuahua	16064.899662354741
205	Chihuahua	Rosario	Rosario, Chihuahua	944.6937753944433
206	Chihuahua	SanFranciscodeBorja	SanFranciscodeBorja, Chihuahua	1358.2108565835542
207	Chihuahua	SanFranciscodeConchos	SanFranciscodeConchos, Chihuahua	2177.3898616102474
208	Chihuahua	SanFranciscodelOro	SanFranciscodelOro, Chihuahua	4499.510905338361
209	Chihuahua	SantaBárbara	SantaBárbara, Chihuahua	8147.39036970349
210	Chihuahua	SantaIsabel	SantaIsabel, Chihuahua	2112.37064346539
211	Chihuahua	Satevó	Satevó, Chihuahua	2495.823904079819
212	Chihuahua	Saucillo	Saucillo, Chihuahua	9729.858980341147
213	Chihuahua	Temósachic	Temósachic, Chihuahua	4215.517434870282
214	Chihuahua	Urique	Urique, Chihuahua	11442.050885638664
215	Chihuahua	Uruachi	Uruachi, Chihuahua	4748.436854009145
216	Chihuahua	ValledeZaragoza	ValledeZaragoza, Chihuahua	4098.398846124894
217	Coahuila	Abasolo	Abasolo, Coahuila	1115.8049520718587
218	Coahuila	Acuña	Acuña, Coahuila	92416.29138241014
219	Coahuila	Allende	Allende, Coahuila	5325.294379762897
220	Coahuila	Arteaga	Arteaga, Coahuila	6541.420105353901
221	Coahuila	Candela	Candela, Coahuila	2308.1089671389186
222	Coahuila	Castaños	Castaños, Coahuila	21462.913338023525
223	Coahuila	CuatroCiénegas	CuatroCiénegas, Coahuila	4631.773517583235
224	Coahuila	Escobedo	Escobedo, Coahuila	1173.9853756620632
225	Coahuila	FranciscoI.Madero	FranciscoI.Madero, Coahuila	11962.4596926733
226	Coahuila	Frontera	Frontera, Coahuila	31636.37301126707
227	Coahuila	GeneralCepeda	GeneralCepeda, Coahuila	6259.159783191808
228	Coahuila	Guerrero	Guerrero, Coahuila	1082.3835729639293
229	Coahuila	Hidalgo	Hidalgo, Coahuila	554.1511794550227
230	Coahuila	Jiménez	Jiménez, Coahuila	7936.428834846239
231	Coahuila	Juárez	Juárez, Coahuila	856.2143345868501
232	Coahuila	Lamadrid	Lamadrid, Coahuila	286.8988404344257
233	Coahuila	Matamoros	Matamoros, Coahuila	30355.73398490242
234	Coahuila	Monclova	Monclova, Coahuila	15216.023054408077
235	Coahuila	Morelos	Morelos, Coahuila	4477.967269688182
236	Coahuila	Múzquiz	Múzquiz, Coahuila	12073.520597369179
237	Coahuila	Nadadores	Nadadores, Coahuila	4845.649898836898
238	Coahuila	Nava	Nava, Coahuila	57045.928686422776
239	Coahuila	Ocampo	Ocampo, Coahuila	4301.460592866604
240	Coahuila	Parras	Parras, Coahuila	14550.176239024942
241	Coahuila	PiedrasNegras	PiedrasNegras, Coahuila	58187.6536043008
242	Coahuila	Progreso	Progreso, Coahuila	3588.501177596304
243	Coahuila	RamosArizpe	RamosArizpe, Coahuila	14949.012753841083
244	Coahuila	Sabinas	Sabinas, Coahuila	16235.13713941466
245	Coahuila	Sacramento	Sacramento, Coahuila	1450.04477896936
246	Coahuila	Saltillo	Saltillo, Coahuila	170156.75364371302
247	Coahuila	SanBuenaventura	SanBuenaventura, Coahuila	6366.283921080346
248	Coahuila	SanJuandeSabinas	SanJuandeSabinas, Coahuila	5295.942628911198
249	Coahuila	SanPedro	SanPedro, Coahuila	24755.32153186283
250	Coahuila	SierraMojada	SierraMojada, Coahuila	5652.8779575666185
251	Coahuila	Torreón	Torreón, Coahuila	78240.27368997048
252	Coahuila	Viesca	Viesca, Coahuila	18881.801838145457
253	Coahuila	VillaUnión	VillaUnión, Coahuila	2943.521510095477
254	Coahuila	Zaragoza	Zaragoza, Coahuila	5553.059144987661
255	Colima	Armería	Armería, Colima	12985.8271051063
256	Colima	Colima	Colima, Colima	24536.49920799171
257	Colima	Comala	Comala, Colima	4823.672594103505
258	Colima	Coquimatlán	Coquimatlán, Colima	39937.650062220135
259	Colima	Cuauhtémoc	Cuauhtémoc, Colima	8498.828790174815
260	Colima	Ixtlahuacán	Ixtlahuacán, Colima	2614.5342587170876
261	Colima	Manzanillo	Manzanillo, Colima	40749.24371406558
262	Colima	Minatitlán	Minatitlán, Colima	2304.072093914042
263	Colima	Tecomán	Tecomán, Colima	29699.69613369526
264	Colima	VilladeÁlvarez	VilladeÁlvarez, Colima	7569.8912025760355
