	municipality	res_com_non_electricity	res_com_non_electricity-adjusted (metric tonnes CO2/year)	edgar_emission_2015(tons_CO2)	absolute_percent_error_edgar (percent error)	region	state	city	NAME	LABEL	FIPSCODE
245	manchester			5388.557320862824		massachusetts					
246	sutton			50269.08023469799		massachusetts					
247	framingham			52745.56063439665		massachusetts					
248	holyoke			36946.17494362342		massachusetts					
249	new ashford			8813.72235612438		massachusetts					
250	new marlborough			1279.2124072395106		massachusetts					
251	montgomery			2712.602894946196		massachusetts					
252	andover			115656.86851098092		massachusetts					
253	east brookfield			5330.850918710468		massachusetts					
254	spencer			21318.92101142857		massachusetts					
255	wilmington			54809.36789930148		massachusetts					
256	richmond			16316.24363209835		massachusetts					
257	douglas			29245.488048788196		massachusetts					
258	abington			26039.517689303928		massachusetts					
259	southwick			56848.60512367285		massachusetts					
260	yarmouth			33825.882071028274		massachusetts					
261	alford			1283.3978708640552		massachusetts					
262	springfield	6491995741.15948	378158.7519225397	108886.25119693988	71.20620621805848	massachusetts					
263	bedford			48948.40456178941		massachusetts					
264	ashland			29807.217568376305		massachusetts					
265	monroe			200.63989028885197		massachusetts					
266	oakham			4438.550520639456		massachusetts					
267	hanson			17785.219810181432		massachusetts					
268	raynham			40609.92745618706		massachusetts					
269	weston			84294.6931418555		massachusetts					
270	gardner			4938.746753743109		massachusetts					
271	orange			3205.651199593731		massachusetts					
272	dartmouth			211218.567055826		massachusetts					
273	cummington			636.7072736619024		massachusetts					
274	granby			9674.14816354346		massachusetts					
275	lee			4610.593235667017		massachusetts					
276	sterling			46421.78387778463		massachusetts					
277	warren			8697.197400978688		massachusetts					
278	lakeville			16281.044110135635		massachusetts					
279	royalston			4587.520734116984		massachusetts					
280	watertown			40941.82427353221		massachusetts					
281	easton			126109.82751138238		massachusetts					
282	east bridgewater			32936.32394265442		massachusetts					
283	natick			77087.3282154319		massachusetts					
284	brockton	3958427610.37752	230578.40830449056	76026.8312726693	67.0277751365722	massachusetts					
285	wendell			3933.536205295741		massachusetts					
286	westford			140305.36052942136		massachusetts					
287	north reading			7965.779046056623		massachusetts					
288	tisbury			11123.194642124608		massachusetts					
289	acton			24614.999261619643		massachusetts					
290	middleton			8470.893613085598		massachusetts					
291	tyringham			295.57808542269447		massachusetts					
292	hingham			20421.342500109404		massachusetts					
293	oak bluffs			5898.960220454712		massachusetts					
294	rutland			6094.83143673168		massachusetts					
295	mattapoisett			10647.115470437957		massachusetts					
296	westport			50936.1597552926		massachusetts					
297	charlemont			1642.323290183493		massachusetts					
298	west springfield			82193.55238990979		massachusetts					
299	new braintree			1309.88555773668		massachusetts					
300	dedham			159188.02898022186		massachusetts					
301	princeton			38531.2838236917		massachusetts					
302	lincoln			46261.40537366699		massachusetts					
303	buckland			2667.3422325733595		massachusetts					
304	hatfield			7286.08857152751		massachusetts					
305	boxborough			11819.013110712756		massachusetts					
306	holden			30257.359824663552		massachusetts					
307	methuen			100594.59230514824		massachusetts					
308	ashfield			3527.039535056396		massachusetts					
309	swansea			36942.63864286908		massachusetts					
310	rehoboth			46851.5859745441		massachusetts					
311	shirley			8546.151009935731		massachusetts					
312	phillipston			10063.977478675815		massachusetts					
313	chelmsford			132974.27068195416		massachusetts					
314	south hadley			26877.291752683235		massachusetts					
315	williamsburg			3173.9990930082504		massachusetts					
316	west newbury			20466.354690387958		massachusetts					
317	littleton			18966.908190936432		massachusetts					
318	haverhill	2739081544.1128	159551.49994457062	36159.1558779113	77.33700034755346	massachusetts					
319	heath			637.7706933444772		massachusetts					
320	sudbury			26826.51183317083		massachusetts					
321	rowley			4767.17129824868		massachusetts					
322	whately			7280.190897410265		massachusetts					
323	bourne			22323.64183003984		massachusetts					
324	washington			7886.882085759861		massachusetts					
325	williamstown			16081.955524775396		massachusetts					
326	shelburne			4665.318710204327		massachusetts					
327	east longmeadow			17206.8615785473		massachusetts					
328	southampton			41072.18807674732		massachusetts					
329	monson			9651.079384465324		massachusetts					
330	sandisfield			1091.2600967442722		massachusetts					
331	erving			490.5735915384014		massachusetts					
332	monterey			883.8821862437226		massachusetts					
333	west tisbury			9915.218057655517		massachusetts					
334	townsend			7371.585585593865		massachusetts					
335	winthrop			23367.334810230117		massachusetts					
336	stockbridge			9800.52157994479		massachusetts					
337	orleans			2615.3915944245364		massachusetts					
338	ayer			6080.269408220377		massachusetts					
339	oxford			60917.08230317824		massachusetts					
340	hopkinton			70197.98814117599		massachusetts					
341	russell			4862.638554622567		massachusetts					
342	merrimac			11629.287311032036		massachusetts					
343	northbridge			27729.994902139013		massachusetts					
344	blandford			2817.7352560531504		massachusetts					
345	easthampton			23060.26044224025		massachusetts					
346	north andover			48873.9942494771		massachusetts					
347	norton			55500.43570163006		massachusetts					
348	hampden			11850.524625737798		massachusetts					
349	sunderland			3799.679535883373		massachusetts					
0	aguascalientes, aguascalientes	2873000000.0	167869.39	178541.07849673377	6.35713783003188	mexico	Aguascalientes	Aguascalientes			
1	asientos, aguascalientes	108450000.0	6336.7335	23620.91441793403	272.7616826229796	mexico	Aguascalientes	Asientos			
2	calvillo, aguascalientes	150210000.0	8776.7703	15284.48864073316	74.14707367621503	mexico	Aguascalientes	Calvillo			
3	cosío, aguascalientes			5480.281913050588		mexico	Aguascalientes	Cosío			
4	elllano, aguascalientes			9198.91676223404		mexico	Aguascalientes	ElLlano			
5	jesúsmaría, aguascalientes	289800000.0	16933.014	32155.299517506188	89.89708221765002	mexico	Aguascalientes	JesúsMaría			
6	pabellóndearteaga, aguascalientes	115740000.0	6762.6882000000005	12606.50412079709	86.4126180000002	mexico	Aguascalientes	PabellóndeArteaga			
7	rincónderomos, aguascalientes	133080000.0	7775.8644	14048.134898049711	80.66332147008262	mexico	Aguascalientes	RincóndeRomos			
8	sanfranciscodelosromo, aguascalientes	100320000.0	5861.6976	7935.950871049574	35.38656226567494	mexico	Aguascalientes	SanFranciscodelosRomo			
9	sanjosédegracia, aguascalientes			11516.522758099976		mexico	Aguascalientes	SanJosédeGracia			
10	tepezalá, aguascalientes			6848.6213902425325		mexico	Aguascalientes	Tepezalá			
11	ensenada, bajacalifornia	1613600000.0	94282.648	103546.69879968245	9.825827971741344	mexico	BajaCalifornia	Ensenada			
12	mexicali, bajacalifornia	3426000000.0	200181.18	423784.62787131954	111.70053442152732	mexico	BajaCalifornia	Mexicali			
13	playasderosarito, bajacalifornia	306400000.0	17902.952	80070.69238201721	347.2485452791093	mexico	BajaCalifornia	PlayasdeRosarito			
14	tecate, bajacalifornia	309400000.0	18078.242	33798.04515774211	86.95426888157658	mexico	BajaCalifornia	Tecate			
15	tijuana, bajacalifornia	5518000000.0	322416.74	570831.3506336882	77.04767768376051	mexico	BajaCalifornia	Tijuana			
16	lapaz, bajacaliforniasur	963000000.0	56268.09	61523.564546352725	9.340062096212472	mexico	BajaCaliforniaSur	LaPaz			
17	loreto, bajacaliforniasur			5416.149631709357		mexico	BajaCaliforniaSur	Loreto			
18	loscabos, bajacaliforniasur	1027200000.0	60019.296	64586.89377326878	7.610215510139898	mexico	BajaCaliforniaSur	LosCabos			
19	mulegé, bajacaliforniasur	195240000.0	11407.8732	22493.31224130463	97.1735822002705	mexico	BajaCaliforniaSur	Mulegé			
20	calkiní, campeche	150210000.0	8776.7703	17651.079374724064	101.11132878485	mexico	Campeche	Calkiní			
21	campeche, campeche	983900000.0	57489.277	57888.17100076557	0.6938580924675208	mexico	Campeche	Campeche			
22	carmen, campeche			55310.38831267928		mexico	Campeche	Carmen			
23	champotón, campeche	247670000.0	14471.3581	31390.07749051588	116.91175958471982	mexico	Campeche	Champotón			
24	escárcega, campeche	169940000.0	9929.5942	19361.848550263538	94.9913376144167	mexico	Campeche	Escárcega			
25	hecelchakán, campeche			10198.51728625454		mexico	Campeche	Hecelchakán			
26	hopelchén, campeche	94290000.0	5509.3647	19185.74722873696	248.23883103503675	mexico	Campeche	Hopelchén			
27	tenabo, campeche			3433.913436191285		mexico	Campeche	Tenabo			
28	berriozábal, chiapas	107710000.0	6293.4953000000005	12187.077722187769	93.64561569129584	mexico	Chiapas	Berriozábal			
29	cacahoatán, chiapas	111220000.0	6498.5846	5522.118221780311	15.025831597540323	mexico	Chiapas	Cacahoatán			
30	catazajá, chiapas			7615.747210042984		mexico	Chiapas	Catazajá			
31	chamula, chiapas	168990000.0	9874.0857	24409.089021178777	147.20353623403105	mexico	Chiapas	Chamula			
32	chiapadecorzo, chiapas	245270000.0	14331.1261	31039.430276423085	116.58751768587877	mexico	Chiapas	ChiapadeCorzo			
33	comitándedomínguez, chiapas	462100000.0	27000.503	30216.296177265245	11.91012321979796	mexico	Chiapas	ComitándeDomínguez			
34	fronterahidalgo, chiapas			4868.222504142384		mexico	Chiapas	FronteraHidalgo			
35	huehuetán, chiapas	91060000.0	5320.6358	16658.470797035236	213.09173232708835	mexico	Chiapas	Huehuetán			
36	laindependencia, chiapas	100190000.0	5854.1017	16782.026764114315	186.67125417575704	mexico	Chiapas	LaIndependencia			
37	latrinitaria, chiapas	183110000.0	10699.1173	46136.89297545135	331.2214894162469	mexico	Chiapas	LaTrinitaria			
38	lasmargaritas, chiapas	225690000.0	13187.0667	49099.56588872613	272.3312166816152	mexico	Chiapas	LasMargaritas			
39	mazatán, chiapas			20256.52307660079		mexico	Chiapas	Mazatán			
40	metapa, chiapas			1298.837783075133		mexico	Chiapas	Metapa			
41	palenque, chiapas	305500000.0	17850.365	46199.587432402695	158.81592579424955	mexico	Chiapas	Palenque			
42	saltodeagua, chiapas	119790000.0	6999.3297	24280.35783632031	246.8954725238948	mexico	Chiapas	SaltodeAgua			
43	sancristóbaldelascasas, chiapas	570600000.0	33340.158	42558.37070243565	27.6489772557036	mexico	Chiapas	SanCristóbaldelasCasas			
44	suchiate, chiapas	103340000.0	6038.1562	10935.816569628472	81.11185281408375	mexico	Chiapas	Suchiate			
45	tapachula, chiapas	1099100000.0	64220.413	94579.26036342992	47.27289337648752	mexico	Chiapas	Tapachula			
46	tuxtlachico, chiapas	96880000.0	5660.6984	14859.502116407815	162.50298225405925	mexico	Chiapas	TuxtlaChico			
