	NAME	LABEL	FIPSCODE	municipality	edgar_emission_2015(tons_CO2)
798	Ford River	Ford River Township	29380	Ford River Township-29380	12748.381014276463
799	Speaker	Speaker Township	75500	Speaker Township-75500	942.8622471482129
800	Standish	Standish Township	76140	Standish Township-76140	1292.9485556681389
801	Orangeville	Orangeville Township	60980	Orangeville Township-60980	2713.11080261588
802	Venice	Venice Township	81880	Venice Township-81880	8571.592719186796
803	Victory	Victory Township	82360	Victory Township-82360	871.7094591292262
804	Bliss	Bliss Township	08980	Bliss Township-08980	419.1622773190451
805	Allen	Allen Township	01320	Allen Township-01320	6792.102358688816
806	Wisner	Wisner Township	88080	Wisner Township-88080	311.68297229197503
807	Maple River	Maple River Township	51280	Maple River Township-51280	1284.1778676848237
808	Riverside	Riverside Township	68820	Riverside Township-68820	673.7617834605173
809	York	York Township	89100	York Township-89100	52590.85228779727
810	Athens	Athens Township	03900	Athens Township-03900	3368.75187677657
811	Greendale	Greendale Township	34860	Greendale Township-34860	1617.5957106085361
812	Grattan	Grattan Township	34560	Grattan Township-34560	9335.629446095754
813	West Branch	West Branch Township	85600	West Branch Township-85600	769.4182077805496
814	Fairfield	Fairfield Township	27020	Fairfield Township-27020	11916.97477089025
815	Koehler	Koehler Township	43820	Koehler Township-43820	841.142825936702
816	Concord	Concord Township	17760	Concord Township-17760	7728.029343594513
817	Charleston	Charleston Township	14720	Charleston Township-14720	23046.678685390365
818	Green Lake	Green Lake Township	34960	Green Lake Township-34960	19133.72416703973
819	Hanover	Hanover Township	36420	Hanover Township-36420	2645.517198059292
820	Detour	Detour Township	21770	Detour Township-21770	612.3098313573652
821	Three Oaks	Three Oaks Township	79740	Three Oaks Township-79740	1606.937104850542
822	St Ignace	St Ignace Township	70860	St Ignace Township-70860	541.7918508428202
823	Casnovia	Casnovia Township	13840	Casnovia Township-13840	3755.8174919637527
824	Sherman	Sherman Township	73140	Sherman Township-73140	868.8290403671805
825	Flowerfield	Flowerfield Township	29140	Flowerfield Township-29140	5562.1872512761975
826	Lawrence	Lawrence Township	46460	Lawrence Township-46460	3268.870708640898
827	Almena	Almena Township	01600	Almena Township-01600	3443.81805462157
828	Sidney	Sidney Township	73840	Sidney Township-73840	2709.121108313033
829	Arcada	Arcada Township	03260	Arcada Township-03260	11791.35285238903
830	Crystal Falls	Crystal Falls Township	19150	Crystal Falls Township-19150	992.9813850709825
831	Mullett	Mullett Township	56100	Mullett Township-56100	1331.8923303233933
832	Beaver Creek	Beaver Creek Township	06600	Beaver Creek Township-06600	5407.010381666132
833	McMillan	McMillan Township	50460	McMillan Township-50460	392.2389404082251
834	Fife Lake	Fife Lake Township	28020	Fife Lake Township-28020	971.2719450542977
835	Overisel	Overisel Township	61820	Overisel Township-61820	8189.827270473136
836	Arcadia	Arcadia Township	03280	Arcadia Township-03280	1745.4544051634882
837	Norwich	Norwich Township	59280	Norwich Township-59280	204.0358956850459
838	Barton	Barton Township	05620	Barton Township-05620	4380.385064715162
839	Montague	Montague Township	55120	Montague Township-55120	3101.8314730728985
840	Ionia	Ionia Township	40880	Ionia Township-40880	1434.8991160727767
841	Elmer	Elmer Township	25540	Elmer Township-25540	4936.2547359970595
842	Frankenlust	Frankenlust Township	30180	Frankenlust Township-30180	21937.798245911425
843	Woodhull	Woodhull Township	88400	Woodhull Township-88400	5677.131813893056
844	Rock River	Rock River Township	69160	Rock River Township-69160	656.624709757865
845	Nadeau	Nadeau Township	56440	Nadeau Township-56440	1402.9226146871963
846	Howard	Howard Township	39480	Howard Township-39480	8438.935776226803
847	Marshall	Marshall Township	51960	Marshall Township-51960	1677.4546269172524
848	Spaulding	Spaulding Township	75480	Spaulding Township-75480	35009.928734754474
849	Inland	Inland Township	40700	Inland Township-40700	4349.798377551787
850	Ellis	Ellis Township	25400	Ellis Township-25400	515.1347733445402
851	Cherry Grove	Cherry Grove Township	15060	Cherry Grove Township-15060	14922.259085221896
852	Rolland	Rolland Township	69300	Rolland Township-69300	1431.4327739607675
853	Gaines	Gaines Township	31240	Gaines Township-31240	46672.181642142656
854	Volinia	Volinia Township	82580	Volinia Township-82580	4075.6103255891317
855	Freeman	Freeman Township	30560	Freeman Township-30560	938.669556268477
856	Sheridan	Sheridan Township	73000	Sheridan Township-73000	1602.0972311018281
857	Hanover	Hanover Township	36400	Hanover Township-36400	13390.479761735316
858	Cornell	Cornell Township	18280	Cornell Township-18280	459.9370024038599
