	NAME	LABEL	FIPSCODE	municipality	edgar_emission_2015(tons_CO2)
424	Lansing	Lansing Township	46020	Lansing Township-46020	17186.981559246433
425	Ada	Ada Township	00240	Ada Township-00240	7952.753861469735
426	Hamlin	Hamlin Township	36220	Hamlin Township-36220	1765.9718851191014
427	Cedar Creek	Cedar Creek Township	14120	Cedar Creek Township-14120	1080.9409053399584
428	Southfield	Southfield Township	74920	Southfield Township-74920	39880.34994797642
429	Verona	Verona Township	82140	Verona Township-82140	1474.6138980794055
430	Sanilac	Sanilac Township	71580	Sanilac Township-71580	1027.3944120926262
431	St Joseph	St Joseph Township	70980	St Joseph Township-70980	13856.408393117654
432	Isabella	Isabella Township	41160	Isabella Township-41160	3847.1690133160523
433	Kenockee	Kenockee Township	42740	Kenockee Township-42740	2913.0786482094663
434	Deerfield	Deerfield Township	21220	Deerfield Township-21220	19941.526816824116
435	Rose	Rose Township	69580	Rose Township-69580	10769.769443845307
436	Scio	Scio Township	71940	Scio Township-71940	23822.424600924525
437	Lima	Lima Township	47460	Lima Township-47460	11960.578796805903
438	Burt	Burt Township	11960	Burt Township-11960	374.4793997264264
439	Waverly	Waverly Township	84760	Waverly Township-84760	531.5394461639188
440	Inverness	Inverness Township	40820	Inverness Township-40820	7316.834023093272
441	Sylvan	Sylvan Township	77760	Sylvan Township-77760	611.1678678335595
442	Hudson	Hudson Township	39760	Hudson Township-39760	77.30075176862027
443	Deerfield	Deerfield Township	21140	Deerfield Township-21140	5369.123905832435
444	Marion	Marion Township	51700	Marion Township-51700	857.9446240352718
445	Grant	Grant Township	34300	Grant Township-34300	169.5688604511892
446	Iron River	Iron River Township	41000	Iron River Township-41000	762.4000010500793
447	Hampton	Hampton Township	36260	Hampton Township-36260	2288.389164549085
448	Roxand	Roxand Township	70020	Roxand Township-70020	3921.594059392038
449	Robinson	Robinson Township	69000	Robinson Township-69000	5298.792998667322
450	Berlin	Berlin Township	07720	Berlin Township-07720	51942.99526760212
451	Walker	Walker Township	82940	Walker Township-82940	436.6094717653707
452	Walton	Walton Township	83180	Walton Township-83180	12924.410821953432
453	Hinton	Hinton Township	38540	Hinton Township-38540	1212.6623032234577
454	Grant	Grant Township	34320	Grant Township-34320	10367.879759320576
455	Sherman	Sherman Township	73300	Sherman Township-73300	7211.293783019425
456	Franklin	Franklin Township	30320	Franklin Township-30320	8892.85855684825
457	Hawes	Hawes Township	37220	Hawes Township-37220	991.6665342404476
458	Grant	Grant Township	34340	Grant Township-34340	919.0016794975545
459	Wheeler	Wheeler Township	86620	Wheeler Township-86620	2401.7696364336143
460	White Lake	White Lake Township	86860	White Lake Township-86860	65679.97897447449
461	Montmorency	Montmorency Township	55240	Montmorency Township-55240	771.9389527458653
462	Oliver	Oliver Township	60540	Oliver Township-60540	329.1095366766895
463	Green	Green Township	34740	Green Township-34740	1198.7225957838343
464	Bridgehampton	Bridgehampton Township	10420	Bridgehampton Township-10420	650.2482735615049
465	South Branch	South Branch Township	74820	South Branch Township-74820	263.38499880547545
466	Kingston	Kingston Township	43400	Kingston Township-43400	1035.7772240371276
467	Plainfield	Plainfield Township	64640	Plainfield Township-64640	1371.9236118290514
468	Custer	Custer Township	19460	Custer Township-19460	1820.4044072415134
469	Alpena	Alpena Township	01760	Alpena Township-01760	21371.122131302516
470	Arvon	Arvon Township	03660	Arvon Township-03660	170.06402368031388
471	Unadilla	Unadilla Township	81240	Unadilla Township-81240	6272.69708136237
472	Watertown	Watertown Township	84440	Watertown Township-84440	1418.9436298893484
473	Jamestown	Jamestown Township	41520	Jamestown Township-41520	83404.74182794712
474	Cold Springs	Cold Springs Township	17000	Cold Springs Township-17000	884.2550780261406
475	Harris	Harris Township	36760	Harris Township-36760	1655.884646461259
476	Redding	Redding Township	67600	Redding Township-67600	433.08633186181186
477	Seney	Seney Township	72500	Seney Township-72500	35.535842931048315
478	Sparta	Sparta Township	75440	Sparta Township-75440	6746.185829755999
479	Dickson	Dickson Township	22320	Dickson Township-22320	889.9385503719169
480	Wakeshma	Wakeshma Township	82840	Wakeshma Township-82840	2599.4849500013875
481	Eveline	Eveline Township	26680	Eveline Township-26680	4362.609859659755
482	Ocqueoc	Ocqueoc Township	60160	Ocqueoc Township-60160	220.59717289969308
483	Flushing	Flushing Township	29220	Flushing Township-29220	17440.56749194697
484	Benzonia	Benzonia Township	07600	Benzonia Township-07600	1344.5800204610625
485	Big Rapids	Big Rapids Township	08320	Big Rapids Township-08320	8979.821513124769
486	Allendale	Allendale Township	01360	Allendale Township-01360	10096.049341283386
487	Sodus	Sodus Township	74440	Sodus Township-74440	2258.316474796798
488	Enterprise	Enterprise Township	26200	Enterprise Township-26200	210.60779008472466
489	Washington	Washington Township	84080	Washington Township-84080	686.1228281991748
490	Burtchville	Burtchville Township	12020	Burtchville Township-12020	97.26146529520145
491	Pavilion	Pavilion Township	62960	Pavilion Township-62960	8296.802933398223
492	Lincoln	Lincoln Township	47720	Lincoln Township-47720	1014.6615325873959
493	Litchfield	Litchfield Township	48000	Litchfield Township-48000	2291.5466669281755
494	Eckford	Eckford Township	24700	Eckford Township-24700	4375.4424560366515
495	Wayland	Wayland Township	84900	Wayland Township-84900	5279.287129926639
496	Liberty	Liberty Township	47380	Liberty Township-47380	1507.0467155063843
497	Wheatland	Wheatland Township	86560	Wheatland Township-86560	1565.2222264021689
498	Colfax	Colfax Township	17200	Colfax Township-17200	1431.5752665837015
499	Amber	Amber Township	01980	Amber Township-01980	1356.604213724532
500	Carrollton	Carrollton Township	13540	Carrollton Township-13540	3417.959940302753
501	Rust	Rust Township	70380	Rust Township-70380	935.9646875233581
502	Bay Mills	Bay Mills Township	06070	Bay Mills Township-06070	1852.4141903439638
503	Grand Blanc	Grand Blanc Township	33300	Grand Blanc Township-33300	57816.7888829264
504	Kawkawlin	Kawkawlin Township	42360	Kawkawlin Township-42360	2357.3933300231647
505	Wheatland	Wheatland Township	86540	Wheatland Township-86540	3928.5613856566297
506	Freedom	Freedom Township	30520	Freedom Township-30520	10077.118622225376
507	Hancock	Hancock Township	36320	Hancock Township-36320	315.2502330598745
508	Chester	Chester Township	15280	Chester Township-15280	1097.9944354467254
509	Elmwood	Elmwood Township	25700	Elmwood Township-25700	1767.5929727857488
510	Pipestone	Pipestone Township	64480	Pipestone Township-64480	3483.0846022327314
511	Orion	Orion Township	61100	Orion Township-61100	35080.07136136161
512	Wilson	Wilson Township	87680	Wilson Township-87680	9600.523365118032
513	Atlas	Atlas Township	04000	Atlas Township-04000	8189.727088322287
514	Clinton	Clinton Township	16500	Clinton Township-16500	3275.0967441141815
515	Chester	Chester Township	15260	Chester Township-15260	2885.5127715232475
516	Ira	Ira Township	40920	Ira Township-40920	3489.1181575529276
517	Deerfield	Deerfield Township	21200	Deerfield Township-21200	2300.6660626047983
518	Pulawski	Pulawski Township	66460	Pulawski Township-66460	51.23903354071185
519	Stephenson	Stephenson Township	76400	Stephenson Township-76400	277.85146594935594
520	Dwight	Dwight Township	23540	Dwight Township-23540	414.89840997202816
521	Cambria	Cambria Township	12700	Cambria Township-12700	7752.077785959991
522	Porter	Porter Township	65720	Porter Township-65720	2521.369283076631
523	Reeder	Reeder Township	67840	Reeder Township-67840	595.9610702015623
524	Wheatland	Wheatland Township	86580	Wheatland Township-86580	1108.404383364208
525	Bruce	Bruce Township	11280	Bruce Township-11280	4682.472201216586
526	Millington	Millington Township	54240	Millington Township-54240	3136.8718941584098
527	Sciota	Sciota Township	71960	Sciota Township-71960	3047.069819230782
528	Central Lake	Central Lake Township	14420	Central Lake Township-14420	1876.2297574197385
529	Cambridge	Cambridge Township	12720	Cambridge Township-12720	3668.300613153411
530	Waterford	Waterford Township	84240	Waterford Township-84240	98113.99762759867
531	West Bloomfield	West Bloomfield Township	85480	West Bloomfield Township-85480	127059.2910713693
532	Paw Paw	Paw Paw Township	63000	Paw Paw Township-63000	10960.8032668253
533	Arenac	Arenac Township	03360	Arenac Township-03360	934.0256224966348
534	Comins	Comins Township	17600	Comins Township-17600	711.9817331863508
535	Maple Ridge	Maple Ridge Township	51260	Maple Ridge Township-51260	462.56072199920936
536	Bourret	Bourret Township	09720	Bourret Township-09720	744.3518109355664
537	Blaine	Blaine Township	08840	Blaine Township-08840	856.2738926220119
538	Gerrish	Gerrish Township	31960	Gerrish Township-31960	1216.9211019421914
539	Gore	Gore Township	33080	Gore Township-33080	5.106010207592066
540	Crystal Lake	Crystal Lake Township	19180	Crystal Lake Township-19180	3167.786946107505
541	Emerson	Emerson Township	25880	Emerson Township-25880	2153.5251711302626
542	Forester	Forester Township	29500	Forester Township-29500	164.00773710889754
543	Porter	Porter Township	65740	Porter Township-65740	2603.8084984751486
544	Hayes	Hayes Township	37360	Hayes Township-37360	7708.137009246806
545	Fruitland	Fruitland Township	30980	Fruitland Township-30980	12082.590267565443
546	Duncan	Duncan Township	23340	Duncan Township-23340	171.02789823985918
547	Chassell	Chassell Township	14920	Chassell Township-14920	1724.1405839807326
548	Logan	Logan Township	49140	Logan Township-49140	476.8164297073666
549	Spencer	Spencer Township	75560	Spencer Township-75560	2392.100742339438
550	Ellington	Ellington Township	25380	Ellington Township-25380	1131.330299168224
551	Blendon	Blendon Township	08940	Blendon Township-08940	43080.33373290683
552	Erie	Erie Township	26320	Erie Township-26320	11515.617919478029
553	Keeler	Keeler Township	42500	Keeler Township-42500	2483.4577338794847
554	Comstock	Comstock Township	17680	Comstock Township-17680	5978.063445636029
555	Pinora	Pinora Township	64440	Pinora Township-64440	858.3487802112722
556	Lake	Lake Township	44300	Lake Township-44300	366.2009123942516
557	Trowbridge	Trowbridge Township	80620	Trowbridge Township-80620	6133.686694546993
558	Fairplain	Fairplain Township	27180	Fairplain Township-27180	3330.7190414720735
559	Goodland	Goodland Township	32960	Goodland Township-32960	1119.295361508708
560	Summerfield	Summerfield Township	77120	Summerfield Township-77120	319.4110349735501
561	Barry	Barry Township	05560	Barry Township-05560	2027.0412025111286
562	Beaverton	Beaverton Township	06680	Beaverton Township-06680	3731.018883165713
563	Winterfield	Winterfield Township	87980	Winterfield Township-87980	335.0844847898539
564	Ovid	Ovid Township	61840	Ovid Township-61840	7225.979890401008
565	Convis	Convis Township	17880	Convis Township-17880	4328.434246729604
566	Thomas	Thomas Township	79520	Thomas Township-79520	44187.99262533503
567	Hume	Hume Township	39960	Hume Township-39960	751.7575117241812
568	Greenbush	Greenbush Township	34820	Greenbush Township-34820	596.6004361610172
569	Eaton Rapids	Eaton Rapids Township	24560	Eaton Rapids Township-24560	39681.46886757598
570	Mt Forest	Mt Forest Township	55920	Mt Forest Township-55920	1006.1727761560182
571	Chestonia	Chestonia Township	15380	Chestonia Township-15380	448.4816507191198
572	Marlette	Marlette Township	51840	Marlette Township-51840	2865.238292920671
573	Holmes	Holmes Township	38760	Holmes Township-38760	322.373275738034
574	Interior	Interior Township	40760	Interior Township-40760	159.12894474866127
575	Clam Lake	Clam Lake Township	15860	Clam Lake Township-15860	6102.885670640947
576	Evergreen	Evergreen Township	26720	Evergreen Township-26720	2344.7313508250418
577	Stambaugh	Stambaugh Township	76080	Stambaugh Township-76080	2822.0022424044596
578	Greenwood	Greenwood Township	35220	Greenwood Township-35220	2276.646062021401
579	Moran	Moran Township	55480	Moran Township-55480	1542.7221526415628
580	Austin	Austin Township	04400	Austin Township-04400	694.7060125735775
581	Buckeye	Buckeye Township	11440	Buckeye Township-11440	1907.8995058916767
582	Koylton	Koylton Township	43880	Koylton Township-43880	1551.8172232005843
583	Ferris	Ferris Township	27900	Ferris Township-27900	1679.483493526758
584	Clay Banks	Clay Banks Township	16200	Clay Banks Township-16200	1871.259490967687
585	Midland	Midland Township	53800	Midland Township-53800	10356.339546061694
586	Bloomfield	Bloomfield Township	09060	Bloomfield Township-09060	486.06975278720967
587	Buena Vista	Buena Vista Township	11560	Buena Vista Township-11560	11489.447057840638
588	Williamstown	Williamstown Township	87440	Williamstown Township-87440	3743.798953225145
589	Belvidere	Belvidere Township	07200	Belvidere Township-07200	1963.9155752780498
590	Ely	Ely Township	25820	Ely Township-25820	7905.271789994937
591	Pere Marquette	Pere Marquette Township	63600	Pere Marquette Township-63600	6348.50668664994
592	Portsmouth	Portsmouth Township	65980	Portsmouth Township-65980	8027.361051043913
593	Deep River	Deep River Township	21120	Deep River Township-21120	857.160489805889
594	Richland	Richland Township	68260	Richland Township-68260	3109.466641461566
595	Henrietta	Henrietta Township	37700	Henrietta Township-37700	1877.8829491046447
596	Benton	Benton Township	07420	Benton Township-07420	2605.4272803813656
597	Chapin	Chapin Township	14660	Chapin Township-14660	770.4563614663213
598	Oakland	Oakland Township	59820	Oakland Township-59820	24606.27855905785
599	Adrian	Adrian Township	00460	Adrian Township-00460	18743.928640643404
600	Attica	Attica Township	04040	Attica Township-04040	5885.660540405488
601	Shelby	Shelby Township	72820	Shelby Township-72820	72875.22102804875
602	Tawas	Tawas Township	78100	Tawas Township-78100	2660.2578181592753
603	Inwood	Inwood Township	40840	Inwood Township-40840	469.1878895078035
604	Bedford	Bedford Township	06740	Bedford Township-06740	23182.91079034147
605	Rich	Rich Township	68160	Rich Township-68160	1664.6660548722368
606	Alpine	Alpine Township	01840	Alpine Township-01840	26747.113685855555
607	Adams	Adams Township	00320	Adams Township-00320	9929.399355403157
608	Richland	Richland Township	68340	Richland Township-68340	8219.92889742787
609	Wright	Wright Township	88820	Wright Township-88820	9291.459489965826
610	Bay De Noc	Bay De Noc Township	06040	Bay De Noc Township-06040	548.0283603694307
611	Garfield	Garfield Township	31540	Garfield Township-31540	1326.451558352353
612	Zilwaukee	Zilwaukee Township	89340	Zilwaukee Township-89340	5189.260560221933
613	Bethel	Bethel Township	08060	Bethel Township-08060	10180.104012169186
614	Oceola	Oceola Township	60120	Oceola Township-60120	17350.037492073578
615	Madison	Madison Township	50540	Madison Township-50540	18456.444295537014
616	Canton	Canton Township	13120	Canton Township-13120	213882.63806425224
617	Campbell	Campbell Township	12840	Campbell Township-12840	2191.250927930498
618	Coe	Coe Township	16880	Coe Township-16880	2528.664888311496
619	Swan Creek	Swan Creek Township	77660	Swan Creek Township-77660	21822.410015296104
620	Lockport	Lockport Township	49060	Lockport Township-49060	2894.412636840621
621	Algoma	Algoma Township	01160	Algoma Township-01160	14168.656542744626
622	Riley	Riley Township	68620	Riley Township-68620	2171.8859688055654
623	Sherwood	Sherwood Township	73440	Sherwood Township-73440	3724.572718459807
624	Valley	Valley Township	81580	Valley Township-81580	4584.617498687594
625	Surrey	Surrey Township	77580	Surrey Township-77580	1773.8630831030173
626	Park	Park Township	62480	Park Township-62480	8223.524303810445
627	Antwerp	Antwerp Township	03140	Antwerp Township-03140	16605.12106076133
628	Mathias	Mathias Township	52360	Mathias Township-52360	182.59780379875986
629	Manchester	Manchester Township	50680	Manchester Township-50680	4456.244279118463
630	Hamilton	Hamilton Township	36160	Hamilton Township-36160	723.7349446790769
631	Boardman	Boardman Township	09440	Boardman Township-09440	1771.6030592010839
632	Wells	Wells Township	85280	Wells Township-85280	903.9673432584217
633	Yankee Springs	Yankee Springs Township	89020	Yankee Springs Township-89020	5215.621971490291
634	Pentland	Pentland Township	63500	Pentland Township-63500	4684.745233600259
635	Onekama	Onekama Township	60760	Onekama Township-60760	1266.2124381048038
636	Troy	Troy Township	80680	Troy Township-80680	692.299605003493
637	Orient	Orient Township	61080	Orient Township-61080	782.2206305966035
638	Lake	Lake Township	44320	Lake Township-44320	755.6248709174565
639	Ontonagon	Ontonagon Township	60880	Ontonagon Township-60880	2755.0436863760006
640	Kearney	Kearney Township	42400	Kearney Township-42400	682.1351691797825
641	Clearwater	Clearwater Township	16340	Clearwater Township-16340	1504.670175279375
642	Peaine	Peaine Township	63140	Peaine Township-63140	456.58719335747605
643	Millen	Millen Township	54060	Millen Township-54060	500.07456159092186
644	Cross Village	Cross Village Township	18900	Cross Village Township-18900	132.0636285884091
645	Holly	Holly Township	38720	Holly Township-38720	21258.920418107544
646	Cumming	Cumming Township	19260	Cumming Township-19260	533.2726352405501
647	Evangeline	Evangeline Township	26580	Evangeline Township-26580	2801.757844308494
648	Milford	Milford Township	53980	Milford Township-53980	43573.84679950352
649	Emmett	Emmett Township	25960	Emmett Township-25960	2019.8314879894858
650	Monroe	Monroe Township	55060	Monroe Township-55060	247.12755993833431
651	Bessemer	Bessemer Township	07980	Bessemer Township-07980	3770.8756284242854
652	Skandia	Skandia Township	74110	Skandia Township-74110	354.4458559106901
653	Mentor	Mentor Township	53100	Mentor Township-53100	1172.9823458417723
654	Northfield	Northfield Township	58280	Northfield Township-58280	38026.88193223437
655	Lincoln	Lincoln Township	47660	Lincoln Township-47660	41228.03066417855
656	Otsego Lake	Otsego Lake Township	61680	Otsego Lake Township-61680	2526.8474680572917
657	Lincoln	Lincoln Township	47600	Lincoln Township-47600	32980.79806190329
658	Covington	Covington Township	18600	Covington Township-18600	314.71867436975595
659	Ross	Ross Township	69820	Ross Township-69820	6599.482339485317
660	Bridgeton	Bridgeton Township	10500	Bridgeton Township-10500	5339.83621571029
661	Bloomingdale	Bloomingdale Township	09240	Bloomingdale Township-09240	2215.7080160624905
662	Stockbridge	Stockbridge Township	76580	Stockbridge Township-76580	2709.946382830178
663	Dalton	Dalton Township	19660	Dalton Township-19660	4605.9230296979085
664	Saugatuck	Saugatuck Township	71720	Saugatuck Township-71720	22432.41294795541
665	Harrison	Harrison Township	36820	Harrison Township-36820	49503.461136530605
666	Otsego	Otsego Township	61640	Otsego Township-61640	6708.341992347917
667	Fairhaven	Fairhaven Township	27120	Fairhaven Township-27120	895.1188374545409
668	Cheshire	Cheshire Township	15200	Cheshire Township-15200	5536.387638985863
669	Taymouth	Taymouth Township	79100	Taymouth Township-79100	7634.559301678499
670	Grant	Grant Township	34220	Grant Township-34220	3296.1885663955395
671	Ronald	Ronald Township	69440	Ronald Township-69440	1104.5944967986138
672	Buel	Buel Township	11540	Buel Township-11540	1168.7929507357642
673	Turner	Turner Township	80840	Turner Township-80840	320.68967726589125
674	Northville	Northville Township	59000	Northville Township-59000	72798.98510899313
675	Palmyra	Palmyra Township	62240	Palmyra Township-62240	5271.734338277793
676	Geneva	Geneva Township	31840	Geneva Township-31840	2846.173130342515
677	Clark	Clark Township	16060	Clark Township-16060	1492.0682285220553
678	Elk	Elk Township	25260	Elk Township-25260	824.4545252516915
679	Garfield	Garfield Township	31620	Garfield Township-31620	580.2917160854794
680	Hopkins	Hopkins Township	39200	Hopkins Township-39200	9217.304656265824
681	Indianfields	Indianfields Township	40440	Indianfields Township-40440	3306.335471168708
682	Colfax	Colfax Township	17160	Colfax Township-17160	928.3703478765026
683	Arcadia	Arcadia Township	03320	Arcadia Township-03320	965.6485955785811
684	Holton	Holton Township	38820	Holton Township-38820	2751.154724768259
685	Marengo	Marengo Township	51520	Marengo Township-51520	1491.4330772856115
686	Bloomer	Bloomer Township	09040	Bloomer Township-09040	4157.315083090595
687	Lake	Lake Township	44240	Lake Township-44240	557.6286370254119
688	Paradise	Paradise Township	62320	Paradise Township-62320	4002.4851128380465
689	Arbela	Arbela Township	03220	Arbela Township-03220	4626.667579055362
690	Manistee	Manistee Township	50740	Manistee Township-50740	1949.9206930933292
691	Tuscarora	Tuscarora Township	80880	Tuscarora Township-80880	1463.4415256781529
692	Spalding	Spalding Township	75350	Spalding Township-75350	583.575890039396
693	Elmwood	Elmwood Township	25720	Elmwood Township-25720	1418.2001015786414
694	Cedar	Cedar Township	14040	Cedar Township-14040	1036.5079591092408
695	Hulbert	Hulbert Township	39860	Hulbert Township-39860	154.12797174225025
696	Bear Lake	Bear Lake Township	06480	Bear Lake Township-06480	804.5457800828829
697	Beaver	Beaver Township	06540	Beaver Township-06540	1789.2278483216473
698	Ossineke	Ossineke Township	61520	Ossineke Township-61520	1849.02648504349
699	Fredonia	Fredonia Township	30500	Fredonia Township-30500	13286.557463032825
700	Watertown	Watertown Township	84460	Watertown Township-84460	2701.982622171605
701	Genoa	Genoa Township	31860	Genoa Township-31860	25541.63829457426
702	Oshtemo	Oshtemo Township	61400	Oshtemo Township-61400	32276.176055117376
703	Bates	Bates Township	05860	Bates Township-05860	435.82253079155305
704	Parma	Parma Township	62760	Parma Township-62760	2410.85710936833
705	Calumet	Calumet Township	12600	Calumet Township-12600	3014.574723545047
706	Plainfield	Plainfield Township	64660	Plainfield Township-64660	26939.580531659085
707	Mundy	Mundy Township	56160	Mundy Township-56160	94957.81918006387
708	Butterfield	Butterfield Township	12200	Butterfield Township-12200	588.729750887437
709	Novi	Novi Township	59460	Novi Township-59460	436.05994346446676
710	Mt Morris	Mt Morris Township	55980	Mt Morris Township-55980	26807.71991828606
711	Sherman	Sherman Township	73280	Sherman Township-73280	1954.5943898826517
712	Springport	Springport Township	75880	Springport Township-75880	2795.358761098289
713	Blumfield	Blumfield Township	09400	Blumfield Township-09400	1928.296028073981
714	Champion	Champion Township	14540	Champion Township-14540	270.59940681138346
715	Warner	Warner Township	83300	Warner Township-83300	748.6431491897745
716	Caseville	Caseville Township	13780	Caseville Township-13780	744.071190706922
717	Ravenna	Ravenna Township	67300	Ravenna Township-67300	2322.49799766218
718	Sherman	Sherman Township	73160	Sherman Township-73160	1168.3982656336107
719	Girard	Girard Township	32280	Girard Township-32280	1338.1979428157558
720	Niles	Niles Township	57780	Niles Township-57780	15428.44184858073
721	Huron	Huron Township	40020	Huron Township-40020	91.48990589154891
722	New Field	New Field Township	57300	New Field Township-57300	831.0156976008924
723	Sage	Sage Township	70500	Sage Township-70500	1227.1350688569898
724	Erwin	Erwin Township	26340	Erwin Township-26340	2745.7971948505697
725	Beaugrand	Beaugrand Township	06500	Beaugrand Township-06500	1241.2959582134217
726	Arlington	Arlington Township	03500	Arlington Township-03500	2010.34404127518
727	Custer	Custer Township	19400	Custer Township-19400	2611.159900149585
728	Sims	Sims Township	74020	Sims Township-74020	391.40064063649226
729	Fraser	Fraser Township	30400	Fraser Township-30400	3693.95155051746
730	Sandstone	Sandstone Township	71500	Sandstone Township-71500	7606.6193081578185
731	Sands	Sands Township	71460	Sands Township-71460	21690.499988954514
732	Hill	Hill Township	38300	Hill Township-38300	964.6503572620742
733	Vienna	Vienna Township	82420	Vienna Township-82420	379.4798643371878
734	Hartford	Hartford Township	36980	Hartford Township-36980	5279.981493016384
735	Colfax	Colfax Township	17120	Colfax Township-17120	2564.203202749006
736	Castleton	Castleton Township	13960	Castleton Township-13960	3110.5462501523907
737	Gilford	Gilford Township	32160	Gilford Township-32160	842.4828520525634
738	Tittabawassee	Tittabawassee Township	79840	Tittabawassee Township-79840	5622.725253392259
739	Whitney	Whitney Township	87080	Whitney Township-87080	1238.5337974761364
740	Maple Forest	Maple Forest Township	50940	Maple Forest Township-50940	614.7949853240275
741	Garfield	Garfield Township	31580	Garfield Township-31580	26317.882118668298
742	Schoolcraft	Schoolcraft Township	71880	Schoolcraft Township-71880	30984.63637143884
743	Fremont	Fremont Township	30720	Fremont Township-30720	4545.373449407472
744	Stannard	Stannard Township	76180	Stannard Township-76180	450.65077794053997
745	Macomb	Macomb Township	50480	Macomb Township-50480	38265.41884162215
746	Onota	Onota Township	60820	Onota Township-60820	259.79495690888604
747	Hamilton	Hamilton Township	36180	Hamilton Township-36180	3373.794437072588
748	Blue Lake	Blue Lake Township	09340	Blue Lake Township-09340	888.8070299429874
749	Fayette	Fayette Township	27580	Fayette Township-27580	1840.2556809216235
750	Batavia	Batavia Township	05800	Batavia Township-05800	10951.534047615913
751	Munro	Munro Township	56280	Munro Township-56280	1022.0568731701964
752	Whiteford	Whiteford Township	86740	Whiteford Township-86740	30497.534159766616
753	Haring	Haring Township	36600	Haring Township-36600	1335.5718935969642
754	Clinton	Clinton Township	16520	Clinton Township-16520	103341.78874842034
755	Maple Grove	Maple Grove Township	50960	Maple Grove Township-50960	2318.0951059878316
756	Oneida	Oneida Township	60700	Oneida Township-60700	26509.814960802818
757	Caledonia	Caledonia Township	12500	Caledonia Township-12500	11076.149930768659
758	Elmira	Elmira Township	25620	Elmira Township-25620	1693.3763217032756
759	Lyon	Lyon Township	49840	Lyon Township-49840	1547.390785156173
760	St James	St James Township	70920	St James Township-70920	23.671034738834223
761	Bath	Bath Township	05900	Bath Township-05900	5869.5158188828445
762	Ensley	Ensley Township	26160	Ensley Township-26160	2492.4234669326133
763	Ingham	Ingham Township	40640	Ingham Township-40640	5286.0042934216945
764	Augusta	Augusta Township	04180	Augusta Township-04180	43860.86759802005
765	Burnside	Burnside Township	11900	Burnside Township-11900	3876.888329321292
766	Greenland	Greenland Township	35000	Greenland Township-35000	203.23012401016842
767	Greenleaf	Greenleaf Township	35020	Greenleaf Township-35020	863.031574943987
768	Frost	Frost Township	30900	Frost Township-30900	732.592833087779
769	Tekonsha	Tekonsha Township	79180	Tekonsha Township-79180	2596.779125133081
770	Elk	Elk Township	25280	Elk Township-25280	714.1081609986152
771	Springfield	Springfield Township	75760	Springfield Township-75760	27868.41652355351
772	Fenton	Fenton Township	27780	Fenton Township-27780	36706.644856687904
773	Brookfield	Brookfield Township	10920	Brookfield Township-10920	5372.994262384473
774	Osceola	Osceola Township	61260	Osceola Township-61260	8352.017681149726
775	Oregon	Oregon Township	61060	Oregon Township-61060	5068.880673004523
776	Grosse Ile	Grosse Ile Township	35420	Grosse Ile Township-35420	31945.247807369746
777	Essex	Essex Township	26400	Essex Township-26400	1862.3991104561574
778	Sherman	Sherman Township	73260	Sherman Township-73260	2358.1133000707573
779	Richfield	Richfield Township	68200	Richfield Township-68200	2121.7454278553646
780	Noble	Noble Township	57860	Noble Township-57860	2112.0303613879064
781	Cedarville	Cedarville Township	14240	Cedarville Township-14240	276.0475298136346
782	Pittsfield	Pittsfield Township	64560	Pittsfield Township-64560	108768.57875524653
783	Lowell	Lowell Township	49560	Lowell Township-49560	11664.72160277728
784	Gunplain	Gunplain Township	35720	Gunplain Township-35720	4082.4050551268833
785	McKinley	McKinley Township	50360	McKinley Township-50360	1178.5349444648562
786	Aloha	Aloha Township	01720	Aloha Township-01720	1092.9869258284762
787	Milton	Milton Township	54460	Milton Township-54460	2783.2008536314643
788	Alaiedon	Alaiedon Township	00800	Alaiedon Township-00800	23823.993703112526
789	Quincy	Quincy Township	66680	Quincy Township-66680	710.8866900596953
790	Greenwood	Greenwood Township	35160	Greenwood Township-35160	1994.3455709533173
791	Mills	Mills Township	54320	Mills Township-54320	1017.1316490893147
792	Green	Green Township	34760	Green Township-34760	4181.5004386217315
793	New Haven	New Haven Township	57360	New Haven Township-57360	4640.976782307057
794	Amboy	Amboy Township	02020	Amboy Township-02020	879.4092693647406
795	Lenox	Lenox Township	46900	Lenox Township-46900	15215.39536410446
796	Sherman	Sherman Township	73240	Sherman Township-73240	749.8446786661231
797	Cottrellville	Cottrellville Township	18400	Cottrellville Township-18400	7167.537662634907
