	total_area_ghs	nres_area_ghs	res_area_ghs	avgPOP2015	sumPOP2015	boundary_area	sum_population_density	region_encoded
2630	-0.38294722456966357	-0.07601460001753457	-0.4018205210876111	-0.3569315882319946	-0.4261500232570064	-0.21116634011034985	-0.36851390124110994	2
2636	-0.5566453750506042	-0.427101647419431	-0.5539965302466143	-0.39446340249033524	-0.4695755832295868	-0.21221956681916418	-0.4173542903157424	2
2643	-0.47114193361370826	-0.30837049435812186	-0.47394779168966555	-0.3560780031283995	-0.4320279026790739	-0.21521158124505943	-0.36929217891070676	2
2645	-0.4976575618851394	-0.4326716110617327	-0.4904597684811452	-0.3696301397786429	-0.44248979291522694	-0.2131859850434479	-0.38485944686019424	2
2648	-0.5870755065387561	-0.41103989008901304	-0.5880264367191584	-0.39519885922589876	-0.47044049151689227	-0.21326679399049997	-0.4181599433878029	2
2653	-0.5628397312132312	-0.43213569477078634	-0.5601346863726814	-0.3891898018012732	-0.47044724397227144	-0.23285032346735804	-0.4099392030930735	2
2654	-0.5752725703264142	-0.4272799365964582	-0.5738761323876254	-0.3944456689857201	-0.4684294510249499	-0.20740630156755394	-0.41707572875373133	2
2655	-0.5517175416637209	-0.4140424895821235	-0.549973715174545	-0.3940941458799849	-0.4691829892906809	-0.21230013401671646	-0.4168803259741767	2
2667	-0.5693362579173014	-0.4286758359765944	-0.5674026586316967	-0.39351624427291887	-0.46776249129547537	-0.21322542943220507	-0.4149724887473996	2
2669	-0.5425758332578656	-0.3627633759895158	-0.5450813661832564	-0.3890163943283467	-0.46309226385346386	-0.2121500197970431	-0.4098536233359686	2
2681	-0.5892056269378835	-0.4327890721665976	-0.5882352005927275	-0.39775782050145125	-0.4726212077914815	-0.20918565714643336	-0.4212201869311941	2
2683	-0.5931704141687562	-0.38036366404169175	-0.5974514031582583	-0.3941292299439569	-0.4741477192233668	-0.23786345481245993	-0.41701594981414786	2
2684	-0.5904728027527719	-0.4230345566634819	-0.5905155597730405	-0.3964223275982248	-0.47103937964508164	-0.2122493515458778	-0.4190492830054536	2
2686	-0.5897186358318003	-0.4325698813548407	-0.5888039949556547	-0.3974480471682599	-0.4732509800155295	-0.2164744610729291	-0.42115378086834726	2
2688	-0.46551068377653715	-0.09259339596133133	-0.4884350080290923	-0.39059302303291527	-0.4524811563716047	-0.17575632016167128	-0.41118680083909864	2
2695	-0.5779826827774567	-0.41952121111618185	-0.577508125544593	-0.394561316048415	-0.46931066301579244	-0.21332860126184833	-0.41679587498340465	2
