	region	municipality	total_area_ghs	nres_area_ghs	res_area_ghs	msft_commercial_bldg_area	msft_commercial_bldg_count	msft_residential_bldg_area	msft_residential_bldg_count	msft_building_count	msft_area_sum	avgPOP2015	sumPOP2015	boundary_area	sum_population_density	index_gt	city	year	city_id	total_area	population	city_type	wastewater	railway_length	road_length	RES-electricity	COM-electricity	MUN-electricity	IND-electricity	AFF-electricity	RES-coal	COM-coal	MUN-coal	IND-coal	AFF-coal	RES-natural_gas	COM-natural_gas	MUN-natural_gas	IND-natural_gas	AFF-natural_gas	RES-oil	COM-oil	MUN-oil	IND-oil	AFF-oil	RES-kerosene	COM-kerosene	MUN-kerosene	IND-kerosene	AFF-kerosene	RES-lpg	COM-lpg	MUN-lpg	IND-lpg	AFF-lpg	RES-biomass	COM-biomass	MUN-biomass	IND-biomass	AFF-biomass	RES-district_heating	COM-district_heating	MUN-district_heating	IND-district_heating	AFF-district_heating	gt_point_geometry	res_com_electricity	res_com_non_electricity	res_com_non_electricity_adjusted	bottom_up_emissions_estimate_ghs	bottom_up_emissions_estimate_msft	bottom_up_emissions_estimate_ghs_adjusted	absolute_percent_error_ghs	absolute_percent_error_msft	absolute_percent_error_ghs_adjusted	state_x	city_x	state_y	city_y	NAME_x	LABEL_x	FIPSCODE_x	NAME_y	LABEL_y	FIPSCODE_y	graced_emissions_2019(metric tonnes/year)	absolute_percent_error_graced (percent error)	checking_absolute_percentage_error_duke	checking_absolute_percentage_error_graced	edgar_emission_2015(tons_CO2)	absolute_percent_error_edgar (percent error)	checking_absolute_percentage_error_edgar
2028	michigan	city of warren-84000	22697209.0	4961003.0	17736206.0	6860887.046614375	3518.0	7571319.407997743	58278	61796	14432206.454612117	974.3943078432152	135440.8087902069	89087511.45285854	0.001520311955979112	62.0	Warren	2015.0	5014051.0		135125.0	URB				1584000000.0	1872000000.0		1872000000.0							3996073872.0	2188326168.0		4186363104.0		35825137.2752	102357535.072		83165497.246																						POINT (-83.01304 42.49044)	5328000000.0	10592111313.5932	552166.7627776135	855222.9063858698	564257.249248873	506463.00516171206	54.88489420909114	2.1896440145074387	8.27716564937624					Warren	City of Warren	84000	Warren	City of Warren	84000	88435.88036821557	83.98384576366954	8.27716564937624	83.98384576366954	258810.36905511364	53.12822384433339	53.12822384433339
2029	michigan	city of orchard lake village-61020	526598.0	42058.0	484540.0	257650.29399335993	432.0	114727.70041212697	515	947	372377.9944054869	135.05569887161255	2160.891181945801	10544243.542608222	0.0002049356289252859																																																			None				19438.88547700944	15003.898650926401	11511.707979484989								Orchard Lake Village	City of Orchard Lake Village	61020	Orchard Lake Village	City of Orchard Lake Village	61020	2993.0022199653667				13222.216239654314		
2030	michigan	city of grosse pointe woods-35580	1803344.0	85544.0	1717800.0	338042.01641259354	370.0	1051271.5278603414	7325	7695	1389313.5442729348	1109.2235224797175	14419.905792236328	8400663.853463572	0.0017165197945982612	155.0	Grosse Pointe Woods	2015.0	4994871.0		15639.0	URB				183600000.0	262800000.0		8280000.0							475723080.0	294948309.6		14271692.4		4606089.07824	15353630.2608		1241085.112748																						POINT (-82.90686 42.44365)	454680000.0	806143886.451788	42024.28080073171	66246.00743191392	52538.576742235506	39230.88560117942	57.63745665520224	25.0195737824994	6.647098168789245					Grosse Pointe Woods	City of Grosse Pointe Woods	35580	Grosse Pointe Woods	City of Grosse Pointe Woods	35580	7848.55642614975	81.32375789281065	6.647098168789245	81.32375789281065	7262.464623997106	82.71840829725596	82.71840829725596
2031	michigan	city of novi-59440	9262047.0	1767006.0	7495041.0	3271875.0830341806	2935.0	2996047.3152363044	15230	18165	6267922.398270485	433.53079289248586	54191.34911156073	81104199.4731348	0.0006681694593325126	105.0	Novi	2015.0	5004062.0		59211.0	URB				576000000.0	1800000000.0		273600000.0	6120000.0						1427169240.0	2093181552.0		513780926.4	1712603.088	11899063.45212	92121781.5648		25589383.768	2558938.3768																					POINT (-83.47549 42.48059)	2649600000.0	4163741947.1849203	217055.86770674988	347569.8589794178	246670.1744282837	205830.87048761122	60.12921587957113	13.64363333477987	5.171478356117987					Novi	City of Novi	59440	Novi	City of Novi	59440	29733.74633241395	86.30133953688582	5.171478356117987	86.30133953688582	120830.02485236198	44.33229281983402	44.33229281983402
2032	michigan	city of sylvan lake-77860	358335.0	55240.0	303095.0	56009.440376540784	60.0	140303.9485394829	929	989	196313.38891602366	596.239353942871	2981.1967697143555	2196668.0002015433	0.001357144898291791	466.0	Sylvan Lake	2015.0	5011761.0		1824.0	RUR				23760000.0	36000000.0		2196000.0	5760000.0						60892554.24	39009292.56		3234916.944	1522313.856	588555.826664	2303044.53912		473403.599708	2303044.53912																					POINT (-83.32855 42.61142)	61956000.0	106501767.70949201	5551.937150695819	13374.5382930042	7469.326170866949	7920.401577117086	140.89858962700941	34.53549577611529	42.66014477711496					Sylvan Lake	City of Sylvan Lake	77860	Sylvan Lake	City of Sylvan Lake	77860	903.3355150580228	83.72936345389269	42.66014477711496	83.72936345389269	2257.3867290762923	59.34055685782796	59.34055685782796
2033	michigan	city of rogers city-69260	597063.0	29776.0	567287.0	133093.4943765382	146.0	256793.58968564603	1915	2061	389887.0840621842	169.9144025683403	2548.7160385251045	11777975.350789385	0.0002163967882947118	46.0	Rogers City	2015.0	5007477.0		2695.0	URB				39600000.0	35640000.0		126000000.0	11880000.0						104659077.6	34252061.76		58989661.92	3234916.944	997985.966952	2303044.53912		3070726.05216	4861982.91592																					POINT (-83.81833 45.4214)	201240000.0	204272557.83823198	10648.728440107032	21941.18661861828	14955.044184894947	12993.570715545746	106.04513244961431	40.439717934478864	22.019927436661586					Rogers City	City of Rogers City	69260	Rogers City	City of Rogers City	69260	472.5042018940439	95.56281104780156	22.019927436661586	95.56281104780155	0.8942584227584184	99.99160220464078	99.99160220464078
2034	michigan	city of imlay city-40320	687567.0	132427.0	555140.0	307806.2912418653	190.0	168026.533464989	1190	1380	475832.8247068543	317.4060645536943	3491.466710090637	6350271.719584071	0.0005498137503822153	306.0	Imlay City	2015.0	4996956.0		3579.0	URB				39600000.0	43200000.0		64800000.0	396000.0						85630154.4	45669415.68		142716924.0	104659.0776	780476.204924	2558938.3768		2558938.3768	153536.302608																					POINT (-83.07772 43.02475)	147600000.0	279914847.03852403	14591.960976118256	25808.727266019356	19054.062001441285	15283.928286936662	76.86949210088262	30.57917323535794	4.742113222142689					Imlay City	City of Imlay City	40320	Imlay City	City of Imlay City	40320	251.34080977474505	98.2775391862266	4.742113222142689	98.27753918622659	828.9449237791995	94.3191670733229	94.3191670733229
2035	michigan	mayfield township-52500	1869351.0	36347.0	1833004.0	255698.7542625624	328.0	692337.9626774901	4041	4369	948036.7169400525	49.39612790192066	7261.230801582336	89968714.09972215	8.070839818310532e-05																																																			None				68381.96516429615	35989.28684037864	40495.79977029618								Mayfield	Mayfield Township	52500	Mayfield	Mayfield Township	52500	2319.921428667958				2479.020367538856		
2036	michigan	stronach township-76840	485204.0	166044.0	319160.0	37995.57008359751	41.0	72752.3337383529	546	587	110747.90382195041	3.6442203632672796	885.545548273949	144257382.25703382	6.1386497829005954e-06																																																			None				18613.42859724192	4249.0483937019235	11022.872415286663								Stronach	Stronach Township	76840	Stronach	Stronach Township	76840	482.3559792841971				1299.5670126512466		
2037	michigan	newark township-57040	683938.0	26807.0	657131.0	159588.9915956508	213.0	149343.41300785993	919	1132	308932.4046035107	7.001770540519997	945.2390229701996	89072858.56389734	1.0611975838769366e-05																																																			None				25093.415604895556	12148.598852248098	14860.320721219146								Newark	Newark Township	57040	Newark	Newark Township	57040	1873.3727499082893				8535.401027784093		
