	region	municipality	total_area_ghs	nres_area_ghs	res_area_ghs	msft_commercial_bldg_area	msft_commercial_bldg_count	msft_residential_bldg_area	msft_residential_bldg_count	msft_building_count	msft_area_sum	avgPOP2015	sumPOP2015	boundary_area	sum_population_density	index_gt	city	year	city_id	total_area	population	city_type	wastewater	railway_length	road_length	RES-electricity	COM-electricity	MUN-electricity	IND-electricity	AFF-electricity	RES-coal	COM-coal	MUN-coal	IND-coal	AFF-coal	RES-natural_gas	COM-natural_gas	MUN-natural_gas	IND-natural_gas	AFF-natural_gas	RES-oil	COM-oil	MUN-oil	IND-oil	AFF-oil	RES-kerosene	COM-kerosene	MUN-kerosene	IND-kerosene	AFF-kerosene	RES-lpg	COM-lpg	MUN-lpg	IND-lpg	AFF-lpg	RES-biomass	COM-biomass	MUN-biomass	IND-biomass	AFF-biomass	RES-district_heating	COM-district_heating	MUN-district_heating	IND-district_heating	AFF-district_heating	gt_point_geometry	res_com_electricity	res_com_non_electricity	res_com_non_electricity_adjusted	bottom_up_emissions_estimate_ghs	bottom_up_emissions_estimate_msft	bottom_up_emissions_estimate_ghs_adjusted	absolute_percent_error_ghs	absolute_percent_error_msft	absolute_percent_error_ghs_adjusted	state_x	city_x	state_y	city_y	NAME_x	LABEL_x	FIPSCODE_x	NAME_y	LABEL_y	FIPSCODE_y
1960	michigan	city of inkster-40680	2893074.0	234292.0	2658782.0	491523.0237509157	406.0	1115175.4756271613	10534	10940	1606698.499378077	837.7023368503736	19267.153747558594	16206593.170482658	0.0011888466345073797	393.0	Inkster	2015.0	4832554.0		24462.0	URB				291600000.0	93600000.0		19800000.0							723099081.6	95144616.0		43766523.36		7037080.5362	5885558.26664		1023575.35072																						POINT (-83.30993 42.2942)	405000000.0	875956435.1135601	45663.60896246989	106813.01746796616	61314.42832563678	63254.668944529556	133.91278064717548	34.274162114584556	38.52314869925733					Inkster	City of Inkster	40680	Inkster	City of Inkster	40680
1961	michigan	city of st joseph-70960	1366925.0	203181.0	1163744.0	456700.1238747564	342.0	520442.07872052176	3804	4146	977142.2025952782	525.6829256330218	7359.560958862305	9468834.734549817	0.0007772404065738724	442.0	Saint Joseph	2015.0	5008327.0		8288.0	URB		107.2814678301		229405965.40125	52458874.203184		14445027.80251	10885936.881081						673205786.66375	56798595.022565		35711440.971893	5018976.3925931	5423214.456071	4037075.1490212		984772.24635079	1913076.0155436	302763.70011372			564.0166244517	2972.8092229422																POINT (-86.48002 42.10976)	296309867.40694404	776464212.2263892	40477.07938336166	50977.65264272928	38160.24929717696	30188.965895024274	25.9420230395475	5.723807452217139	25.41713395597998					St Joseph	City of St Joseph	70960	St Joseph	City of St Joseph	70960
1962	michigan	city of carson city-13600	316309.0	61440.0	254869.0	71814.19328003966	68.0	88668.16984731317	585	653	160482.36312735282	177.05926068623862	1062.3555641174316	3025649.0883709327	0.000351116581298403	389.0	Carson City	2015.0	4988138.0		1106.0	RUR				14040000.0	9720000.0		720000.0							35203507.92	11417353.92		1332024.624		345456.680868	537377.059128		79327.0896808																						POINT (-84.84639 43.17698)	24480000.0	48915047.2936768	2549.9414154193714	11875.932162689398	6249.682708759602	7032.927026744661	365.73352983234105	145.09122723244053	175.80739636671237					Carson City	City of Carson City	13600	Carson City	City of Carson City	13600
1963	michigan	city of caseville-13760	186563.0	7257.0	179306.0	48672.7457030107	60.0	118310.5285620551	841	901	166983.2742650658	115.14262390136719	575.7131195068359	2989317.190560655	0.00019259017454713773	101.0	Caseville	2015.0	4988197.0		738.0	RUR				23760000.0	7920000.0		1080000.0							56135323.44	7516424.664		2283470.784		511787.67536	537377.059128		74209.2129272																						POINT (-83.27135 43.94113)	32760000.0	67058592.8354152	3495.764444510194	6844.617428416561	6359.0672745386155	4053.382441108287	95.79744393720408	81.90777369238934	15.95124629961224					Caseville	City of Caseville	13760	Caseville	City of Caseville	13760
1964	michigan	city of eaton rapids-24540	822947.0	87435.0	735512.0	241318.084551755	147.0	306003.3224543947	2244	2391	547321.4070061498	382.7453475365272	4975.6895179748535	9667881.415050924	0.0005146618275880709	115.0	Eaton Rapids	2015.0	4991753.0		5229.0	URB				57600000.0	28440000.0		27720000.0							142716924.0	29494830.96		61844000.4		1266674.496516	1791256.86376		1164316.961444																						POINT (-84.65581 42.5092)	113760000.0	238278003.68172002	12421.432331928065	30498.154283750395	21294.515365177034	18061.006966836983	145.5284822939292	71.43365431731722	45.40196721446487					Eaton Rapids	City of Eaton Rapids	24540	Eaton Rapids	City of Eaton Rapids	24540
1965	michigan	city of grand haven-33340	2747005.0	800396.0	1946609.0	925151.1255686354	542.0	629633.4425277404	4595	5137	1554784.5680963758	417.356192235289	12103.32957482338	16178402.81787427	0.0007481164680515523	30.0	Grand Haven	2015.0	4994325.0		10911.0	URB				154800000.0	158400000.0		234000000.0	684000.0						371064002.4	180774770.4		504266464.8	180774.7704	3454566.80868	9212178.15648		9596018.913	281483.221448																					POINT (-86.22839 43.06307)	547200000.0	1078368001.47816	56215.32391705647	104609.90934206746	61814.28766051383	61949.98831237235	86.08788859140138	9.959853209630905	10.201247623827896					Grand Haven	City of Grand Haven	33340	Grand Haven	City of Grand Haven	33340
1966	michigan	city of cadillac-12320	2186256.0	459569.0	1726687.0	657882.6179780434	445.0	599407.8090318129	4364	4809	1257290.4270098563	292.7788919596111	9954.482326626778	23027610.702387247	0.0004322846367033123	335.0	Cadillac	2015.0	4987617.0		10460.0	URB				129600000.0	198000000.0		151200000.0	2232000.0						313977232.8	228347078.4		333006156.0	599411.0808	2814832.21448	11259328.85792		5885558.26664	908423.123764																					POINT (-85.40116 44.25195)	478800000.0	895290186.5390401	46671.47742428016	82276.4245370605	49488.56248561244	48724.09861084723	76.28845084354967	6.035988609751479	4.3980205895501046					Cadillac	City of Cadillac	12320	Cadillac	City of Cadillac	12320
1967	michigan	city of cedar springs-14200	342231.0	31242.0	310989.0	213405.76372395168	120.0	171652.9781779344	1230	1350	385058.74190188607	447.0848982674735	3129.5942878723145	5173947.400339581	0.0006048755516275465	498.0	Cedar Springs	2015.0	4988362.0		3651.0	URB				36000000.0	24120000.0		15840000.0	5040000.0						80872923.6	26640492.48		32349169.44	1332024.624	690913.361736	1535363.02608		1202701.037096	1919203.7826																					POINT (-85.55142 43.22336)	75960000.0	143291562.94491202	7469.789176318263	12654.720117032759	15222.20751319364	7494.125253306799	69.412011749307	103.78362968332684	0.3257933579395959					Cedar Springs	City of Cedar Springs	14200	Cedar Springs	City of Cedar Springs	14200
1968	michigan	city of hudsonville-39800	1125837.0	239730.0	886107.0	505277.34872174874	410.0	360764.2348290274	2173	2583	866041.5835507761	406.17178849612964	6904.920404434204	10469136.10335609	0.0006595501611848083	376.0	Hudsonville	2015.0	4996736.0		7285.0	URB				68400000.0	61200000.0		75600000.0	900000.0						161745847.2	68504123.52		161745847.2	237861.54	1279469.1884	3454566.80868		4350195.24056	358251.372752																					POINT (-85.86504 42.87086)	205200000.0	401080049.15764	20908.30296258777	42386.109002756995	34376.15882572044	25101.05375143269	102.72381301629545	64.41391196230201	20.05304206825015					Hudsonville	City of Hudsonville	39800	Hudsonville	City of Hudsonville	39800
1969	michigan	city of st ignace-70840	506052.0	22567.0	483485.0	144675.72641676897	185.0	197141.30680877477	1389	1574	341817.03322554374	180.0723196029663	1800.723196029663	6864966.569325565	0.00026230618573960096	154.0	Saint Ignace	2015.0	5008224.0		2377.0	RUR		92.6340977229		78503293.347353	8084194.9903609		667594.16874937	34990511.403474						222604403.81747	8078685.4090524		614547.15312014	16132424.119049	2033203.6432272	750289.96356546		267302.52659085	6149172.9071044	113508.37461702			233.6616537858	9555.4582165999																POINT (-84.72751 45.86614)	87255082.50646327	234462174.54929686	12222.513159254844	18581.928566605562	13265.697960235628	11004.218097143814	52.030342078506095	8.534945206345618	9.96763142110869					St Ignace	City of St Ignace	70840	St Ignace	City of St Ignace	70840
1970	michigan	city of linden-47820	633610.0	20031.0	613579.0	81155.5800743739	100.0	278390.61712161097	1578	1678	359546.1971959849	350.8653682072957	4210.384418487549	6272992.462510184	0.0006711923286454472	161.0	Linden	2015.0	4999360.0		3862.0	URB				43200000.0	20520000.0		1008000.0	936000.0						104659077.6	19980369.36		1332024.624	247376.0016	921217.815648	1279469.1884		255893.83768	383840.75652																					POINT (-83.78245 42.81447)	64728000.0	128428052.425728	6694.9543729532	23220.389696030277	13561.750895025445	13751.114777989129	246.83417395401267	102.56674115380481	105.39519781556628					Linden	City of Linden	47820	Linden	City of Linden	47820
1971	michigan	city of albion-00980	1358874.0	349972.0	1008902.0	389912.6779009995	249.0	422355.2237107658	2988	3237	812267.9016117653	441.90451463900115	8396.185778141022	11899911.741465257	0.0007055670630635437	337.0	Albion	2015.0	4983905.0		8337.0	URB				93600000.0	64800000.0		212400000.0							237861540.0	76115692.8		228347078.4		2303044.53912	3454566.80868		6013505.18548																						POINT (-84.75303 42.2431)	370800000.0	554095427.7332801	28884.99464773589	51494.192196604556	31778.12243392549	30494.860618829214	78.2731581729438	10.016023272541528	5.57336427001731					Albion	City of Albion	00980	Albion	City of Albion	00980
