	municipality	total_area_ghs	nres_area_ghs	res_area_ghs	msft_commercial_bldg_area	msft_commercial_bldg_count	msft_residential_bldg_area	msft_residential_bldg_count	msft_building_count	msft_area_sum	avgPOP2015	sumPOP2015	boundary_area	sum_population_density	index_gt	city	year	city_id	total_area	population	city_type	wastewater	railway_length	road_length	RES-electricity	COM-electricity	MUN-electricity	IND-electricity	AFF-electricity	RES-coal	COM-coal	MUN-coal	IND-coal	AFF-coal	RES-natural_gas	COM-natural_gas	MUN-natural_gas	IND-natural_gas	AFF-natural_gas	RES-oil	COM-oil	MUN-oil	IND-oil	AFF-oil	RES-kerosene	COM-kerosene	MUN-kerosene	IND-kerosene	AFF-kerosene	RES-lpg	COM-lpg	MUN-lpg	IND-lpg	AFF-lpg	RES-biomass	COM-biomass	MUN-biomass	IND-biomass	AFF-biomass	RES-district_heating	COM-district_heating	MUN-district_heating	IND-district_heating	AFF-district_heating	gt_point_geometry	res_com_electricity	res_com_non_electricity	res_com_non_electricity_adjusted	bottom_up_emissions_estimate_ghs	bottom_up_emissions_estimate_msft	bottom_up_emissions_estimate_ghs_adjusted	absolute_percent_error_ghs	absolute_percent_error_msft	absolute_percent_error_ghs_adjusted
27	hudson	2567187.0	253440.0	2313747.0	691869.7344352753	528	886736.2052754322	6111	6639	1578605.9397107074	382.6588444519043	19132.942222595215	30760450.903605405	0.00062199810667771																																																			None				104151.292031016	63620.59496755112	61678.395140767665			
28	westwood	2297614.0	170693.0	2126921.0	645716.4327918214	650	780379.1679923079	4475	5125	1426095.6007841295	331.1153813176685	14900.192159295082	28974551.97294772	0.0005142509942244058																																																			None				93259.039085955	57457.80425782648	55228.002946702545			
29	holland	329406.0	3568.0	325838.0	21918.321177650956	42	152856.91342485408	1200	1242	174775.23460250505	45.841314608087906	2383.748359620571	33828691.35456251	7.046528447217254e-05																																																			None				13386.956030496	7086.979135125712	7927.75536125973			
30	cambridge	4886836.0	1236950.0	3649886.0	2453937.367911308	1637	1524016.0432856819	10768	12405	3977953.41119699	3554.6560673867502	110194.33808898926	18413054.242014915	0.005984576846439075	19.0	Cambridge	2015.0	4931972.0		110651.0	URB				864000000.0	2880000000.0		111600000.0							1236880008.0	3425206176.0		218832616.8		818860280.576	409430140.288		8316549.7246																						POINT (-71.10561 42.3751)	3855600000.0	6117525771.3886	356345.87618338596	197663.42733877798	159756.82997976895	117056.28167002431	44.530457471309525	55.16804300057244	67.1509369145095
31	fitchburg	4245311.0	699898.0	3545413.0	1187993.9145568362	895	1508847.1187973956	11165	12060	2696841.033354232	357.62665366289906	40769.438517570496	72857336.93397859	0.000559579038066059																																																			None				172011.13670316598	108682.6719793218	101864.99515561489			
32	leominster	5213489.0	663165.0	4550324.0	1560070.0648656858	1019	1764312.9813743278	11801	12820	3324383.0462400136	330.91471898555756	41033.42515420914	76923544.52077834	0.0005334312843985669																																																			None				211394.916126387	133897.00347944873	125188.06933004636			
33	lunenburg	1887330.0	199596.0	1687734.0	277500.00435150584	395	699901.6990764062	4570	4965	977401.703427912	95.23589525620143	10856.892059206963	71902907.80866228	0.00015099378300663122																																																			None				76558.863487716	39510.28393562006	45338.15895742541			
34	lexington	4025974.0	386360.0	3639614.0	910083.7570425945	1087	1621035.9066913219	9449	10536	2531119.6637339164	460.4418773408701	30849.605781838298	43122865.31683527	0.000715388589213123																																																			None				163343.345354712	102166.09580341143	96731.92911906043			
35	lanesborough	683461.0	73114.0	610347.0	153709.9874339542	125	257585.70174652938	1793	1918	411295.6891804836	25.25895447895779	3106.851400911808	76669678.98031184	4.052255653384988e-05																																																			None				27723.690564462002	16596.930824083538	16417.969552274397			
36	plainfield	188890.0	2188.0	186702.0	22722.13116348601	40	68924.65564586289	511	551	91646.7868093489	7.228097771091023	628.844506084919	55336124.137730286	1.136408658690551e-05																																																			None				7676.317799748	3707.317906117757	4545.915401010765			
