	municipality	state_x	city_x	total_area_ghs	nres_area_ghs	res_area_ghs	msft_commercial_bldg_area	msft_commercial_bldg_count	msft_residential_bldg_area	msft_residential_bldg_count	msft_building_count	msft_area_sum	state_y	city_y	avgPOP2015	sumPOP2015	boundary_area	sum_population_density	index_gt	city	year	city_id	total_area	population	city_type	wastewater	railway_length	road_length	RES-electricity	COM-electricity	MUN-electricity	IND-electricity	AFF-electricity	RES-coal	COM-coal	MUN-coal	IND-coal	AFF-coal	RES-natural_gas	COM-natural_gas	MUN-natural_gas	IND-natural_gas	AFF-natural_gas	RES-oil	COM-oil	MUN-oil	IND-oil	AFF-oil	RES-kerosene	COM-kerosene	MUN-kerosene	IND-kerosene	AFF-kerosene	RES-lpg	COM-lpg	MUN-lpg	IND-lpg	AFF-lpg	RES-biomass	COM-biomass	MUN-biomass	IND-biomass	AFF-biomass	RES-district_heating	COM-district_heating	MUN-district_heating	IND-district_heating	AFF-district_heating	gt_point_geometry	res_com_electricity	res_com_non_electricity	res_com_non_electricity_adjusted	bottom_up_emissions_estimate_ghs	bottom_up_emissions_estimate_msft	bottom_up_emissions_estimate_ghs_adjusted	absolute_percent_error_ghs	absolute_percent_error_msft	absolute_percent_error_ghs_adjusted
1075	tepetitladelardizábal, tlaxcala	Tlaxcala	TepetitladeLardizábal	1296995.0	97900.0	1199095.0	300013.27390778007	242.0	618932.6686685402	7733	7975	918945.9425763203	Tlaxcala	TepetitladeLardizábal	733.8315966924032	19813.453110694885	23073207.637063675	0.0008587212243029236																																																			None				28698.5537925678	19794.943880159033	16995.28355595865			
1076	tepeyanco, tlaxcala	Tlaxcala	Tepeyanco	1078558.0		1078558.0	210322.56987318853	310.0	470876.98638433416	4798	5108	681199.5562575227	Tlaxcala	Tepeyanco	715.7496425628663	14314.992851257324	16412287.560848815	0.0008722119203788176																																																			None					14701.854536054165				
1077	terrenate, tlaxcala	Tlaxcala	Terrenate	1100172.0		1100172.0	185802.1044211186	295.0	530329.9420956571	5708	6003	716132.0465167756	Tlaxcala	Terrenate	78.25646658916223	14868.728651940823	155458716.075193	9.56442265015816e-05																																																			None					15538.212720932373				
1078	tetladelasolidaridad, tlaxcala	Tlaxcala	TetladelaSolidaridad	2884009.0	239247.0	2644762.0	947382.4810312599	774.0	1126176.5583135395	11310	12084	2073559.0393447995	Tlaxcala	TetladelaSolidaridad	162.27556498635275	33753.31751716137	170634392.06245765	0.00019781075262252274																																																			None				63764.01610943436	44034.990619231234	37761.05034000702			
1079	tetlatlahuca, tlaxcala	Tlaxcala	Tetlatlahuca	1106288.0	2558.0	1103730.0	112972.19472449069	220.0	570165.701300937	6295	6515	683137.8960254277	Tlaxcala	Tetlatlahuca	410.5827189087868	13138.647005081177	26224811.580034975	0.0005010006254948145																																																			None				24667.788216748322	14972.385482042631	14608.264181958355			
1080	tlaxcala, tlaxcala	Tlaxcala	Tlaxcala	6739360.0	103991.0	6635369.0	1499495.2180993115	2217.0	3095579.012003912	30727	32944	4595074.230103224	Tlaxcala	Tlaxcala	1532.8472969688353	93503.68511509895	52453278.5709304	0.0017826089743591105	191.0	Tlaxcala	2016.0	8583522.0		99067.0	URB				180000000.0	150000000.0									33000000.0	18000000.0					2400000.0				1600000.0					200000000.0	81000000.0														POINT (-98.22958 19.32418)	330000000.0	336000000.0	19632.48	150066.4787211636	98983.73679700446	88869.36869867309	664.3786150357143	404.183561103867	352.66501582415003
1081	tlaxco, tlaxcala	Tlaxcala	Tlaxco	4607837.0	43519.0	4564318.0	883780.1395968961	1221.0	1779959.5623323526	19375	20596	2663739.7019292484	Tlaxcala	Tlaxco	60.530830760055984	43219.01316267997	578696213.2370287	7.468342141194876e-05	417.0	Tlaxco	2016.0	8583523.0		44262.0	URB				71000000.0	16000000.0									13000000.0	2000000.0					270000.0				650000.0					82000000.0	8900000.0														POINT (-98.1643 19.61678)	87000000.0	106820000.0	6241.4926000000005	102667.89209598108	57346.409793310886	60799.92569923999	1544.9253195618796	818.7932033006158	874.124774244545
1082	tocatlán, tlaxcala	Tlaxcala	Tocatlán	437461.0		437461.0	43459.37956558911	87.0	208294.35896462642	2057	2144	251753.73853021552	Tlaxcala	Tocatlán	341.8078757210782	6494.349638700485	14402176.54210298	0.00045092834542855784																																																			None					5513.441899792498				
1083	totolac, tlaxcala	Tlaxcala	Totolac	1620492.0	8067.0	1612425.0	202500.37453079625	376.0	726341.3477395786	7352	7728	928841.7222703748	Tlaxcala	Totolac	1327.2575225830078	23890.63540649414	13898433.01639378	0.0017189445298123997																																																			None				36123.31930822488	20243.330659669515	21392.229694330774			
1084	tzompantepec, tlaxcala	Tlaxcala	Tzompantepec	1372360.0	116715.0	1255645.0	354638.0003274489	382.0	532745.3588112751	5266	5648	887383.3591387239	Tlaxcala	Tzompantepec	335.1936704351547	15754.10251045227	38823233.38612639	0.0004057905830193435																																																			None				30335.5038994164	18963.456076793802	17964.68540923439			
1085	xaloztoc, tlaxcala	Tlaxcala	Xaloztoc	1604220.0	21498.0	1582722.0	313903.0014669037	450.0	748370.8212056261	7523	7973	1062273.8226725298	Tlaxcala	Xaloztoc	448.05739944121416	22850.927371501923	41499350.51802471	0.0005506333734446498																																																			None				35729.0421209424	22959.18342374939	21158.73874402209			
1086	xaltocan, tlaxcala	Tlaxcala	Xaltocan	1019143.0	1946.0	1017197.0	141422.39270464782	257.0	571564.6664229191	5893	6150	712987.059127567	Tlaxcala	Xaltocan	94.2309007534614	12250.017097949982	103597915.17849119	0.00011824578783119478																																																			None				22725.604924728123	15571.689981061067	13458.103236423993			
1087	xicohtzinco, tlaxcala	Tlaxcala	Xicohtzinco	1231585.0	87104.0	1144481.0	221167.89936448983	309.0	560308.1473484002	5475	5784	781476.04671289	Tlaxcala	Xicohtzinco	1393.9607535468208	12545.646781921387	7287906.169344775	0.0017214336313346515																																																			None				27264.9087613962	16913.018645164007	16146.278968498827			
1088	yauhquemehcan, tlaxcala	Tlaxcala	Yauhquemehcan	2411640.0	48657.0	2362983.0	627822.8566883587	915.0	1156816.9282908011	10781	11696	1784639.7849791597	Tlaxcala	Yauhquemehcan	834.4551385243734	37550.4812335968	36884641.717400305	0.0010180519447985416	205.0	Yauhquemehcan	2016.0	8583532.0		38278.0	URB				64000000.0	23000000.0									12000000.0	2800000.0					390000.0				580000.0					73000000.0	13000000.0														POINT (-98.17602 19.40037)	87000000.0	101770000.0	5946.4211000000005	53673.678066582004	38337.29503523775	31785.55215102986	802.6215460351773	544.712077912507	434.53247956203205
1089	zacatelco, tlaxcala	Tlaxcala	Zacatelco	3603576.0	125554.0	3478022.0	503359.68543089484	886.0	1540167.1057393667	15095	15981	2043526.7911702616	Tlaxcala	Zacatelco	1163.548807432777	44214.854682445526	29935987.424761143	0.0014769799991923372	599.0	Zacatelco	2016.0	8583533.0		42856.0	URB				68000000.0	41000000.0									12000000.0	5000000.0					680000.0				620000.0					78000000.0	22000000.0														POINT (-98.26094 19.18802)	109000000.0	118300000.0	6912.269	80078.11925763026	44401.90773639449	47422.262224368635	1058.4925189923924	542.363712066103	586.0592697472947
1090	ziltlaltépecdetrinidadsánchez, tlaxcala	Tlaxcala	ZiltlaltépecdeTrinidadSánchez	781083.0	312.0	780771.0	152745.98433849704	185.0	259457.95373297427	2784	2969	412203.9380714713	Tlaxcala	ZiltlaltépecdeTrinidadSánchez	83.28524970148028	8078.669221043587	77638492.00763445	0.00010405494764438734																																																			None				17419.92066991692	8836.825311876157	10316.077020724799			
1091	acajete, veracruz	Veracruz	Acajete	731842.0	5656.0	726186.0	69562.09525224086	119.0	406889.74415009934	5534	5653	476451.83940234024	Veracruz	Acajete	74.6793513711819	9036.20151591301	97977244.6479814	9.222755292189347e-05																																																			None				16309.21136872968	10463.98197279889	9658.314972561717			
1092	acatlán, veracruz	Veracruz	Acatlán	171294.0		171294.0	20600.48429483051	42.0	92247.50143080746	1127	1169	112847.98572563798	Veracruz	Acatlán	150.83973012729123	3318.4740628004074	18164510.177175798	0.00018268998340346994																																																			None					2468.7717147512076				
1093	actopan, veracruz	Veracruz	Actopan	3617621.0	30715.0	3586906.0	266013.0853660777	470.0	1601074.6388306946	18827	19297	1867087.7241967723	Veracruz	Actopan	40.76915527671716	43419.15036970377	862633724.7627367	5.033324008013482e-05	374.0	Actopan	2016.0	8583552.0		43181.0	URB				91000000.0	6000000.0									17000000.0	740000.0					100000.0				830000.0					100000000.0	3300000.0														POINT (-96.51447 19.53208)	97000000.0	121970000.0	7126.7071000000005	80612.80373280923	41020.92396031413	47738.90237056962	1031.136759258834	475.59435774081595	569.8591888330815
1094	acultzingo, veracruz	Veracruz	Acultzingo	1434590.0		1434590.0	170284.6506663519	247.0	766625.3944766726	9161	9408	936910.0451430245	Veracruz	Acultzingo	114.01877074574048	23715.90431511402	169548885.28950912	0.00013987649800597922																																																			None					20498.499361002374				
1095	álamotemapache, veracruz	Veracruz	ÁlamoTemapache	9639324.0	20805.0	9618519.0	548995.1557713285	956.0	3491541.3761226325	39301	40257	4040536.531893961	Veracruz	ÁlamoTemapache	66.73456642113729	106641.83714097738	1282379272.2864835	8.31593581131695e-05	43.0	Álamo Temapache	2016.0	8583806.0		108100.0	URB				200000000.0	44000000.0									36000000.0	5300000.0					730000.0				1800000.0					220000000.0	24000000.0														POINT (-97.70592 20.98922)	244000000.0	287830000.0	16817.9069	214939.17917890058	88835.05970830972	127286.9819097449	1178.0376324886217	428.21709762413843	656.8538859597618
