	municipality	NAME_x	LABEL_x	FIPSCODE_x	total_area_ghs	nres_area_ghs	res_area_ghs	msft_commercial_bldg_area	msft_commercial_bldg_count	msft_residential_bldg_area	msft_residential_bldg_count	msft_building_count	msft_area_sum	NAME_y	LABEL_y	FIPSCODE_y	avgPOP2015	sumPOP2015	boundary_area	sum_population_density	index_gt	city	year	city_id	total_area	population	city_type	wastewater	railway_length	road_length	RES-electricity	COM-electricity	MUN-electricity	IND-electricity	AFF-electricity	RES-coal	COM-coal	MUN-coal	IND-coal	AFF-coal	RES-natural_gas	COM-natural_gas	MUN-natural_gas	IND-natural_gas	AFF-natural_gas	RES-oil	COM-oil	MUN-oil	IND-oil	AFF-oil	RES-kerosene	COM-kerosene	MUN-kerosene	IND-kerosene	AFF-kerosene	RES-lpg	COM-lpg	MUN-lpg	IND-lpg	AFF-lpg	RES-biomass	COM-biomass	MUN-biomass	IND-biomass	AFF-biomass	RES-district_heating	COM-district_heating	MUN-district_heating	IND-district_heating	AFF-district_heating	gt_point_geometry	res_com_electricity	res_com_non_electricity	res_com_non_electricity_adjusted	bottom_up_emissions_estimate_ghs	bottom_up_emissions_estimate_msft	bottom_up_emissions_estimate_ghs_adjusted	absolute_percent_error_ghs	absolute_percent_error_msft	absolute_percent_error_ghs_adjusted
20	city of new baltimore-57100	New Baltimore	City of New Baltimore	57100	1542817.0	139435.0	1403382.0	293363.6308703936	322	738008.3147990349	3904	4226	1031371.9456694284	New Baltimore	City of New Baltimore	57100	551.6485492706299	11032.970985412598	11931892.587396324	0.000924662278393852	353.0	New Baltimore	2015.0	5003369.0		12355.0	URB				122400000.0	79200000.0		46800000.0							313977232.8	82775815.92		104659077.6		2814832.21448	4734035.99708		2558938.3768																						POINT (-82.73686 42.68114)	248400000.0	511519932.90836006	26665.534102512807	57041.1757596564	39236.679973261096	33779.78428486852	113.91349425204712	47.14379926694833	26.6795712960623
21	city of caro-13420	Caro	City of Caro	13420	793107.0	58883.0	734224.0	296485.27547920455	227	270172.98492996034	1753	1980	566658.2604091648	Caro	City of Caro	13420	314.30913947178766	4086.0188131332397	7658836.570048475	0.0005335038521532753	57.0	Caro	2015.0	4988059.0		4064.0	URB				54000000.0	57600000.0		20160000.0	576000.0						133202462.4	65649785.04		44717969.52	152231.3856	1253879.804632	3070726.05216		934012.507532	230304.453912																					POINT (-83.39885 43.49073)	131760000.0	248828835.324324	12971.44718545701	29252.204226872636	22304.278905390238	17323.155343153972	125.51226404150853	71.94903996831418	33.54836276538132
22	city of bay city-06020	Bay City	City of Bay City	06020	6137663.0	649305.0	5488358.0	1192161.860459428	833	1963951.246163239	14882	15715	3156113.106622667	Bay City	City of Bay City	06020	680.8181284250319	34040.906421251595	29442645.64346551	0.001156176888227659	528.0	Bay City	2015.0	4985180.0		33511.0	URB				432000000.0	468000000.0		345600000.0	2880000.0						1046590776.0	551838772.8		428150772.0	780185.8512	10107806.58836	26868852.9564		12154957.2898	1164316.961444																					POINT (-83.88886 43.59447)	1245600000.0	2075711937.6345599	108206.8633088896	227444.3947639188	121693.7016818074	134692.5705791927	110.19405591182438	12.463939865272675	24.47691991098238
23	city of hartford-36960	Hartford	City of Hartford	36960	231500.0	12746.0	218754.0	76099.4409923066	59	133331.58559205264	1068	1127	209431.02658435924	Hartford	City of Hartford	36960	490.6516254425049	2453.2581272125244	3534031.8918988677	0.000694181094640424	88.0	Hartford	2015.0	4995468.0		2614.0	URB				28800000.0	12600000.0		12240000.0	5400000.0						68504123.52	12368800.08		27591938.64	1427169.24	639734.5942	742092.129272		486198.291592	2175097.62028																					POINT (-86.16669 42.20671)	53640000.0	110332887.255064	5751.653412606486	8513.912547906479	8058.652446816427	5041.939010870216	48.02547958202188	40.11018864859721	12.33931099152665
24	city of chelsea-15020	Chelsea	City of Chelsea	15020	935952.0	223291.0	712661.0	431900.30022369506	287	277225.75073973555	1738	2025	709126.0509634307	Chelsea	City of Chelsea	15020	317.14624230066937	4757.19363451004	9504479.383779533	0.0005005212218807827	515.0	Chelsea	2015.0	4988628.0		5185.0	URB				61200000.0	75600000.0		50400000.0							152231385.6	90387385.2		104659077.6		1279469.1884	4222248.32172		2175097.62028																						POINT (-84.02181 42.31807)	187200000.0	354954663.5304	18503.78660983975	35369.64899372268	28247.94421935547	20945.90613408257	91.14816734275448	52.66034360952949	13.197944700379185
25	city of plymouth-65060	Plymouth	City of Plymouth	65060	1391553.0	194053.0	1197500.0	428560.03095403186	345	468582.1577906468	3655	4000	897142.1887446786	Plymouth	City of Plymouth	65060	907.1921005249023	7257.536804199219	5736547.08315411	0.0012651402836928913	44.0	Plymouth	2015.0	5006059.0		9077.0	URB				104400000.0	252000000.0		136800000.0	5040000.0						256890463.2	294948309.6		304462771.2	1332024.624	2430991.45796	12794691.884		6653239.77968	2047150.70144																					POINT (-83.47021 42.37143)	493200000.0	878180467.12164	45779.54775105109	51825.53616377904	35087.072666278196	30691.082516189945	13.206745609646475	23.35644542169466	32.95896524996736
26	city of memphis-52960	Memphis	City of Memphis	52960	162075.0	3549.0	158526.0	48618.03383714976	42	72756.65946625356	478	520	121374.69330340333	Memphis	City of Memphis	52960	232.45563793182373	929.8225517272949	2983248.4965725164	0.00031168122695631194	276.0	Memphis	2015.0	5001644.0		1178.0	RUR				12960000.0	3456000.0		5400000.0							32349169.44	3044627.712		11417353.92		319867.2971	255893.83768		230304.453912																						POINT (-82.76881 42.89642)	21816000.0	47617216.66069201	2482.2855045218744	5930.994227343119	4695.2709502072	3512.334781432595	138.9327986864878	89.1511247055999	41.496003382138085
27	city of portage-65560	Portage	City of Portage	65560	8987841.0	1578787.0	7409054.0	2446983.4462442975	1967	2835029.574266148	16579	18546	5282013.020510445	Portage	City of Portage	65560	317.6990104414523	44477.86146180332	91358905.82751158	0.000486847571771261	158.0	Portage	2015.0	5006250.0		48508.0	URB				504000000.0	1080000000.0		756000000.0							1236880008.0	1332024624.0		1712603088.0		11771116.53328	58855582.6664		37104606.4636																						POINT (-85.58 42.20115)	2340000000.0	4389239025.6632805	228811.0304078268	336529.8277997853	206157.9922692218	199292.96402303284	47.077624361012376	9.90032608927498	12.90063085340848
28	city of traverse city-80340	Traverse City	City of Traverse City	80340	3607437.0	738470.0	2868967.0	1036325.999888139	824	886632.324889068	6402	7226	1922958.3247772069	Traverse City	City of Traverse City	80340	414.55701462846054	15753.1665558815	21888336.78253001	0.0007197059654370248	479.0	Traverse City	2015.0	5012495.0		15479.0	URB				183600000.0	324000000.0		396000000.0	28440000.0						456694156.8	371064002.4		352035079.2	7706713.896	4350195.24056	17912568.6376		12794691.884	11515222.6956																					POINT (-85.62063 44.76306)	903600000.0	1214850694.1621602	63330.16668667341	135650.89383002816	75856.39987954452	80332.45932614266	114.19633158580208	19.779251892458724	26.84706756511199
29	city of adrian-00440	Adrian	City of Adrian	00440	2933897.0	402051.0	2531846.0	1037914.0164906491	676	954840.7309495896	7259	7935	1992754.7474402387	Adrian	City of Adrian	00440	616.4822536237313	20343.91436958313	21154234.657036696	0.0009616946535485262	435.0	Adrian	2015.0	4983811.0		20676.0	URB				216000000.0	277200000.0		129600000.0	19080000.0						523295388.0	323491694.4		285433848.0	5232953.88	4861982.91592	15353630.2608		6141452.10432	7804762.04924																					POINT (-84.03717 41.89755)	622800000.0	1158577995.68104	60396.67091485261	109227.88091866247	78410.86881843858	64684.75108003191	80.85083045827514	29.826474921080393	7.099861797390522
