	municipality	res_com_non_electricity	res_com_non_electricity-adjusted (metric tonnes CO2/year)	graced_emissions_2019(kgC/hr)	graced_emissions_2019(metric tonnes/year)	absolute_percent_error_graced (percent error)	region	state	city	NAME	LABEL	FIPSCODE
155	chicopee	2594690088.2692	151140.6976416809	1486553.4237163705	35677.2821691929	76.39465562493606	massachusetts					
156	hamilton			166006.396028671	3984.153504688104		massachusetts					
157	plymouth			1035891.2943510072	24861.391064424177		massachusetts					
158	barre			36731.27820075131	881.5506768180313		massachusetts					
159	bolton			188059.0180717877	4513.416433722906		massachusetts					
160	warwick			23131.519429599222	555.1564663103813		massachusetts					
161	falmouth			242152.21485775907	5811.653156586218		massachusetts					
162	seekonk			1261794.5148242498	30283.068355781998		massachusetts					
163	templeton			198639.6469727305	4767.351527345532		massachusetts					
164	palmer			161553.2076950372	3877.276984680893		massachusetts					
165	foxborough			475172.82032332703	11404.147687759849		massachusetts					
166	peabody	2737360622.66336	159451.25627014073	1043992.5008823428	25055.820021176227	84.28621974685048	massachusetts					
167	agawam			695256.5772584121	16686.15785420189		massachusetts					
168	medfield			386762.7899116828	9282.30695788039		massachusetts					
169	worcester	8808815783.382	513113.5193820015	2507192.808205842	60172.62739694021	88.2730380073765	massachusetts					
170	swampscott			0.0	0.0		massachusetts					
171	wayland			367355.3147721976	8816.527554532744		massachusetts					
172	milton			1630594.043993536	39134.25705584486		massachusetts					
173	adams			160158.91928433478	3843.814062824035		massachusetts					
174	millis			234098.47959124876	5618.363510189969		massachusetts					
175	brimfield			58014.82474643753	1392.3557939145007		massachusetts					
176	ashburnham			80665.32756414785	1935.9678615395485		massachusetts					
177	colrain			59029.67420635986	1416.7121809526366		massachusetts					
178	northfield			32593.94084713928	782.2545803313427		massachusetts					
179	plympton			105889.98775456904	2541.359706109657		massachusetts					
180	berkley			213004.67171732083	5112.1121212157		massachusetts					
181	kingston			261283.12727075853	6270.795054498205		massachusetts					
182	montague			108287.74634412875	2598.9059122590907		massachusetts					
183	west stockbridge			18265.62192085135	438.3749261004324		massachusetts					
184	danvers			924533.7748697428	22188.810596873824		massachusetts					
185	otis			9775.642518348144	234.61542044035545		massachusetts					
186	becket			11993.644883316703	287.8474771996009		massachusetts					
187	great barrington			81986.11638533736	1967.6667932480964		massachusetts					
188	rowe			6096.928878078196	146.3262930738767		massachusetts					
189	middlefield			6309.124155733551	151.4189797376052		massachusetts					
190	groton			261207.656041194	6268.983744988656		massachusetts					
191	truro			9925.46418129489	238.21114035107735		massachusetts					
192	winchendon			224865.23306618963	5396.765593588551		massachusetts					
193	wellfleet			25743.617854925757	617.8468285182181		massachusetts					
194	amesbury			241452.19420562917	5794.852660935099		massachusetts					
195	hancock			31203.666872015176	748.8880049283642		massachusetts					
196	westborough			360899.9718299752	8661.599323919405		massachusetts					
197	halifax			140343.5101973584	3368.2442447366016		massachusetts					
198	worthington			10491.880688297824	251.8051365191478		massachusetts					
199	norwell			292181.47608723433	7012.355426093624		massachusetts					
200	brewster			196074.36364256308	4705.784727421514		massachusetts					
201	edgartown			45919.1419654614	1102.0594071710736		massachusetts					
202	clinton			64111.170441421855	1538.6680905941246		massachusetts					
203	stow			240556.6105824716	5773.358653979319		massachusetts					
204	attleboro	2670943447.8756	155582.4558387537	844407.6943220062	20265.784663728147	86.97424812169588	massachusetts					
205	harwich			72281.20504120993	1734.7489209890384		massachusetts					
206	stoughton			709816.3603283297	17035.592647879912		massachusetts					
207	somerset			321707.9704651876	7720.991291164501		massachusetts					
208	newbury			121829.13632436832	2923.89927178484		massachusetts					
209	hanover			228590.70456466076	5486.176909551857		massachusetts					
210	uxbridge			316353.49202269234	7592.483808544616		massachusetts					
211	groveland			230119.0987260882	5522.858369426117		massachusetts					
212	millbury			484129.3772724506	11619.105054538815		massachusetts					
213	pelham			48216.708341184894	1157.2010001884375		massachusetts					
