	municipality	res_com_non_electricity	res_com_non_electricity-adjusted (metric tonnes CO2/year)	NAME	LABEL	FIPSCODE	graced_emissions_2019(kgC/hr)	graced_emissions_2019(metric tonnes/year)	absolute_percent_error_graced (percent error)
123	city of midland-53780	2857212425.73012	148946.48375331116	Midland	City of Midland	53780	636389.1076156198	15273.338582774873	89.74575418103124
124	city of the village of grosse pointe shores a michigan city-82453			The Village of Grosse Pointe Shores A Michigan City	City of The Village of Grosse Pointe Shores A Michigan City	82453	73298.55446107747	1759.1653070658592	
125	city of allen park-01380	1352282288.2241998	70494.47568512753	Allen Park	City of Allen Park	01380	616163.3261290655	14787.919827097572	79.02258342462225
126	city of marlette-51820	145813239.435928	7601.244171794926	Marlette	City of Marlette	51820	3212.486697827503	77.09968074786008	98.98569656486046
127	city of omer-60660	13941201.7967932	726.7548496668295	Omer	City of Omer	60660	404.28943968989427	9.702946552557464	98.66489414456531
128	city of niles-57760	631106748.96516	32899.59482355379	Niles	City of Niles	57760	73924.01589614182	1774.1763815074037	94.60730020833807
129	city of port huron-65820	2121237094.93312	110580.08975886354	Port Huron	City of Port Huron	65820	282111.48333413247	6770.675600019179	93.8771295856391
130	city of mason-52180	518980360.4666	27054.446191123858	Mason	City of Mason	52180	33291.95954319933	799.0070290367838	97.04667017246531
131	city of farmington-27380	646122928.0752801	33682.388240564345	Farmington	City of Farmington	27380	172083.711861003	4130.009084664072	87.73837218677319
132	city of ishpeming-41220	742405299.6642001	38701.58827149475	Ishpeming	City of Ishpeming	41220	41315.439654322836	991.570551703748	97.4379073418181
133	city of troy-80700	9610773466.2016	501009.6207930893	Troy	City of Troy	80700	2496218.8109115777	59909.251461877866	88.04229520242693
134	city of petersburg-63800	46799299.192344	2439.6474668968926	Petersburg	City of Petersburg	63800	799.9522404000862	19.198853769602067	99.21304803131979
135	city of rose city-69680	32368488.716923997	1687.369316813248	Rose City	City of Rose City	69680	514.0218444055665	12.336524265733596	99.2688900916468
136	city of muskegon heights-56360	769043247.3622401	40090.224484993574	Muskegon Heights	City of Muskegon Heights	56360	112443.30182666128	2698.6392438398707	93.26858535090015
137	city of lincoln park-47800	1529346597.97784	79724.8381525848	Lincoln Park	City of Lincoln Park	47800	469506.87820133794	11268.16507683211	85.86618005386721
138	city of roosevelt park-69520	242774701.683456	12655.845198758561	Roosevelt Park	City of Roosevelt Park	69520	32684.462571706874	784.427101720965	93.80185922471689
139	city of grand ledge-33420	342329969.61272	17845.661315911093	Grand Ledge	City of Grand Ledge	33420	33620.78676172844	806.8988822814827	95.47845906073508
140	city of reading-67500	35401249.5291568	1845.4671379549436	Reading	City of Reading	67500	733.813401910169	17.611521645844057	99.04568760485432
141	city of farmington hills-27440	6267101641.1876	326704.00855510955	Farmington Hills	City of Farmington Hills	27440	1942032.3153552115	46608.775568525074	85.7336382939841
142	city of belleville-07020	229441660.75157198	11960.793774979447	Belleville	City of Belleville	07020	27247.1921526114	653.9326116626735	94.53269888299035
143	city of marshall-51940	535194451.45212	27899.686754199014	Marshall	City of Marshall	51940	36204.49884319668	868.9079722367203	96.88559954134271
144	city of romulus-69420	2083691036.2084801	108622.81371754807	Romulus	City of Romulus	69420	1183803.86461878	28411.292750850724	73.8440832284748
145	city of whittemore-87140	16165911.279349599	842.7289549924946	Whittemore	City of Whittemore	87140	263.81766923614066	6.331624061667376	99.24867609874354
146	city of bridgman-10580	188956339.66432798	9850.293986701417	Bridgman	City of Bridgman	10580	11000.578874233575	264.01389298160586	97.31973590495834
147	city of zilwaukee-89320	155822055.05882	8123.003730216286	Zilwaukee	City of Zilwaukee	89320	98145.7034856267	2355.4968836550406	71.0021445036032
148	city of bad axe-04740			Bad Axe	City of Bad Axe	04740	795.4821268950933	19.09157104548224	
149	city of highland park-38180	689600934.6723999	35948.8967244722	Highland Park	City of Highland Park	38180	367433.7809552851	8818.410742926844	75.46959282084528
150	city of evart-26640	210582585.31678	10977.670172563741	Evart	City of Evart	26640	2855.881569271473	68.54115766251536	99.37563110764779
151	city of hastings-37120	456775714.113	23811.717976710686	Hastings	City of Hastings	37120	23147.26496743615	555.5343592184676	97.66697069164931
152	city of gibraltar-32020	182390418.3481	9508.012508486452	Gibraltar	City of Gibraltar	32020	100372.92542374297	2408.9502101698313	74.6639983064841
153	city of hamtramck-36280	950329805.4375999	49540.69275746208	Hamtramck	City of Hamtramck	36280	256436.4199093132	6154.474077823517	87.57693173982413
154	city of rockford-69080	267661199.18548	13953.178313539072	Rockford	City of Rockford	69080	26294.020073483756	631.0564817636101	95.47732804968685
155	city of saginaw-70520	3363653988.1503997	175347.28240228034	Saginaw	City of Saginaw	70520	658053.6915153847	15793.288596369233	90.99313751544983
156	city of ypsilanti-89140			Ypsilanti	City of Ypsilanti	89140	200028.51185117802	4800.684284428273	
157	city of norway-59220	167231253.24751997	8717.765231793215	Norway	City of Norway	59220	10727.451755468537	257.45884213124486	97.04673347714954
158	city of three rivers-79760	667517596.8828399	34797.692325502445	Three Rivers	City of Three Rivers	79760	38204.470499364055	916.9072919847374	97.36503419994676
159	city of south haven-74980	338963843.45735997	17670.185159432174	South Haven	City of South Haven	74980	14720.519358732141	353.29246460957137	98.00062952695781
160	city of allegan-01260	388511172.96808	20253.087446826008	Allegan	City of Allegan	01260	21030.009515162757	504.72022836390613	97.5079343843795
161	city of vassar-81840	101330213.330424	5282.344020915003	Vassar	City of Vassar	81840	5330.930905642109	127.94234173541062	97.5779248525118
162	city of greenville-35100	592920955.6463199	30908.969417842654	Greenville	City of Greenville	35100	56964.894253088874	1367.157462074133	95.57682611933052
163	city of clawson-16160	618882207.2665999	32262.32946480785	Clawson	City of Clawson	16160	176819.48945877946	4243.667747010707	86.84636907065328
164	city of swartz creek-77700	227620175.54346	11865.83975108057	Swartz Creek	City of Swartz Creek	77700	35988.90083026842	863.7336199264422	92.72083865916201
165	city of southfield-74900	7566117462.138	394421.7033012539	Southfield	City of Southfield	74900	2328734.2275826097	55889.621461982635	85.82998324022374
166	city of ionia-40860	611949878.8463199	31900.947184258657	Ionia	City of Ionia	40860	38459.10453004693	923.0185087211263	97.10661096239618
167	city of lowell-49540	185099376.256792	9649.230484266567	Lowell	City of Lowell	49540	16578.28938220637	397.8789451729529	95.87657330994726
168	city of dowagiac-22880	269308197.6678	14039.036344422413	Dowagiac	City of Dowagiac	22880	20058.857014466557	481.41256834719735	96.57090019188918
169	city of bessemer-07960	129886392.822308	6770.977657826916	Bessemer	City of Bessemer	07960	4298.404994288754	103.1617198629301	98.4764132289865
170	city of jackson-41420	2208146718.5215197	115110.68843652682	Jackson	City of Jackson	41420	310313.0403622083	7447.5129686929995	93.53012906981299
171	city of corunna-18300	164982904.24665198	8600.558798377968	Corunna	City of Corunna	18300	32177.76434927039	772.2663443824894	91.02074222749182
172	city of ithaca-41340	207652600.875344	10824.930083631683	Ithaca	City of Ithaca	41340	10530.15915431302	252.72381970351248	97.66535379211682
173	city of bloomfield hills-09180	222692483.74477598	11608.959177615172	Bloomfield Hills	City of Bloomfield Hills	09180	279086.1554250214	6698.067730200514	42.302598986513985
174	city of caspian-13860	63097880.204632	3289.292495067466	Caspian	City of Caspian	13860	2963.8214634986075	71.13171512396659	97.83747674520787
175	city of riverview-68880	459062447.18952	23930.925371989677	Riverview	City of Riverview	68880	192366.0576589608	4616.7853838150595	80.70786936965318
176	city of lake angelus-44440	67290064.5395288	3507.8310644456365	Lake Angelus	City of Lake Angelus	44440	67572.76391080522	1621.7463338593254	53.76783248495407
177	city of sault ste marie-71740	743442641.6955599	38755.664911589534	Sault Ste Marie	City of Sault Ste Marie	71740	114260.22181592013	2742.245323582083	92.92427228422538
178	city of keego harbor-42460	175179001.28722003	9132.08133710278	Keego Harbor	City of Keego Harbor	42460	34430.22417336696	826.325380160807	90.95140144225911
179	city of cheboygan-15000	227444566.6278	11856.685258307212	Cheboygan	City of Cheboygan	15000	48469.07394161924	1163.2577745988615	90.18901363023159
180	city of fremont-30700	237189332.681712	12364.679912697646	Fremont	City of Fremont	30700	16525.940681870325	396.6225763648878	96.79229402487334
181	city of st clair-70680	546923914.3985244	28511.143657595076	St Clair	City of St Clair	70680	36634.07957735573	879.2179098565376	96.91623064856493
182	city of menominee-53020	660289868.35936	34420.910837573436	Menominee	City of Menominee	53020	40943.17225655703	982.6361341573687	97.14523494513475
183	city of whitehall-86780	321944809.073016	16782.982896976322	Whitehall	City of Whitehall	86780	11410.913347007929	273.8619203281903	98.36821665129905
184	city of stephenson-76380	43335708.940692	2259.0905070782737	Stephenson	City of Stephenson	76380	478.46224021129876	11.483093765071171	99.49169394811355
185	city of madison heights-50560	3027914557.24892	157845.1858693862	Madison Heights	City of Madison Heights	50560	692874.4374863976	16628.98649967354	89.46500242748378
186	city of coopersville-18020	291562505.412436	15199.153407150288	Coopersville	City of Coopersville	18020	19319.96996602073	463.67927918449755	96.94930851236514
187	city of marine city-51600	211223442.100848	11011.078036717205	Marine City	City of Marine City	51600	9841.990584035413	236.20777401684992	97.8548170013036
188	city of monroe-55020	1331373667.50712	69404.50928714615	Monroe	City of Monroe	55020	135618.66792935302	3254.8480303044726	95.31032196072701
189	city of south lyon-75100	467625462.62952	24377.315366876875	South Lyon	City of South Lyon	75100	58092.19939986517	1394.212785596764	94.28069594779426
190	city of saline-71140	757097794.3042799	39467.50801708211	Saline	City of Saline	71140	50974.667130697446	1223.3920111367386	96.90025524133108
191	city of trenton-80420	1273263322.5563998	66375.21700486512	Trenton	City of Trenton	80420	302758.9592739579	7266.215022574989	89.0528191839397
192	city of owosso-61940	933859820.6144	48682.11244862867	Owosso	City of Owosso	61940	43365.248432591456	1040.7659623821949	97.8621183222473
193	city of gaylord-31720	256260156.72808	13358.84197023481	Gaylord	City of Gaylord	31720	20585.40952339278	494.04982856142675	96.30170167696997
194	city of sturgis-76960	970382303.98832	50586.029506911116	Sturgis	City of Sturgis	76960	30536.52049318102	732.8764918363445	98.55122748517708
195	city of woodhaven-88380	845542780.9187601	44078.14516929496	Woodhaven	City of Woodhaven	88380	308147.60780527245	7395.5425873265385	83.22174728786385
196	city of rochester hills-69035	4876221434.5212	254197.42338159014	Rochester Hills	City of Rochester Hills	69035	1719881.0240011471	41277.14457602753	83.76177695787888
197	city of frankenmuth-30200	374639632.7872	19529.964057196732	Frankenmuth	City of Frankenmuth	30200	14266.322502914987	342.39174006995967	98.24683886223646
198	city of east tawas-24420	256517172.75562802	13372.240215750888	East Tawas	City of East Tawas	24420	17083.766627995912	410.01039907190193	96.9338690267547
199	city of detroit-22000	36205444513.504	1887389.8224889634	Detroit	City of Detroit	22000	17046065.183690257	409105.56440856616	78.3242677514778
