	municipality	graced_emissions_2019(kgC/hr)	graced_emissions_2019(metric tonnes/year)
93	WEST BRIDGEWATER	783145.7668861997	18795.49840526879
94	CARLISLE	249298.79735515214	5983.171136523651
95	SAUGUS	1433397.0963567512	34401.53031256203
96	HUBBARDSTON	121580.64889058897	2917.9355733741354
97	FAIRHAVEN	213767.60572042293	5130.42253729015
98	SANDWICH	424088.1970835344	10178.116730004826
99	MARSHFIELD	243771.09053454088	5850.506172828982
100	GOSHEN	6713.715227325754	161.1291654558181
101	DUNSTABLE	171861.21635383755	4124.6691924921015
102	SAVOY	18827.679365277785	451.86430476666686
103	ARLINGTON	648402.8496011967	15561.668390428722
104	HARDWICK	34030.567976805825	816.7336314433398
105	MOUNT WASHINGTON	6915.629586352662	165.9751100724639
106	ASHBY	46548.464520573136	1117.1631484937552
107	HULL	36010.60935632175	864.254624551722
108	NORTHBOROUGH	245065.83175051445	5881.579962012347
109	WESTFIELD	908128.8351485579	21795.09204356539
110	SALEM	249853.12403431622	5996.474976823589
111	MARLBOROUGH	749471.4806456574	17987.315535495778
112	BELCHERTOWN	152396.38749582664	3657.5132998998392
113	FREETOWN	258981.77918335993	6215.562700400638
114	FLORIDA	17913.921052264188	429.9341052543405
115	HADLEY	504056.3000059528	12097.351200142868
116	NORTH ADAMS	126580.56122496331	3037.9334693991195
117	MANSFIELD	435600.7762945255	10454.418631068611
118	BERNARDSTON	77300.23176749644	1855.2055624199147
119	DRACUT	1236501.6255696563	29676.039013671747
120	SHUTESBURY	14422.24140314429	346.1337936754629
121	FRANKLIN	572864.8765468125	13748.7570371235
122	WESTMINSTER	402069.60522781196	9649.670525467487
123	REVERE	622197.5062774199	14932.740150658077
124	WRENTHAM	408590.4036962135	9806.169688709126
125	AVON	239891.08882478424	5757.386131794821
126	ACUSHNET	334202.2435826058	8020.853845982539
127	MARION	92199.32174430715	2212.7837218633713
128	BURLINGTON	680764.1146996462	16338.33875279151
129	HAWLEY	8412.997785856722	201.91194686056133
130	LAWRENCE	470020.8322291939	11280.499973500655
131	LUDLOW	533052.0050292198	12793.248120701275
132	NORFOLK	296275.3587186781	7110.608609248275
133	WHITMAN	220108.72324562742	5282.609357895058
134	CLARKSBURG	33896.234797337354	813.5096351360964
135	PAXTON	183465.24783082702	4403.165947939849
136	SOUTHBOROUGH	381090.7446778522	9146.177872268454
