	municipality	res_com_non_electricity	res_com_non_electricity-adjusted (metric tonnes CO2/year)	state	city	graced_emissions_2019(kgC/hr)	graced_emissions_2019(metric tonnes/year)	absolute_percent_error_graced (percent error)
124	colima, colima	645300000.0	37704.879	Colima	Colima	324679.5939122161	7792.310253893185	79.33341662787676
125	comala, colima			Colima	Comala	95510.17607294141	2292.244225750594	
126	coquimatlán, colima			Colima	Coquimatlán	121164.22955100001	2907.9415092240006	
127	cuauhtémoc, colima			Colima	Cuauhtémoc	113433.38817258534	2722.401316142048	
128	manzanillo, colima	617900000.0	36103.897	Colima	Manzanillo	407012.7255935628	9768.30541424551	72.94390294143176
129	tecomán, colima	364800000.0	21315.264	Colima	Tecomán	316850.5244178037	7604.412586027289	64.32409851443882
130	villadeálvarez, colima	425200000.0	24844.436	Colima	VilladeÁlvarez	248608.4936205017	5966.603846892041	75.98414451069833
131	álvaroobregón, distritofederal	3234000000.0	188962.62	DistritoFederal	ÁlvaroObregón	1552907.0981408332	37269.77035538	80.27664394398215
132	azcapotzalco, distritofederal	3032000000.0	177159.76	DistritoFederal	Azcapotzalco	813660.3930157116	19527.84943237708	88.97726581229446
133	benitojuárez, distritofederal	2905200000.0	169750.836	DistritoFederal	BenitoJuárez	695665.6655058783	16695.97597214108	90.16442194597435
134	coyoacán, distritofederal	2387000000.0	139472.41	DistritoFederal	Coyoacán	1402064.2875080542	33649.5429001933	75.87369222329112
135	cuajimalpademorelos, distritofederal	916200000.0	53533.566	DistritoFederal	CuajimalpadeMorelos	534694.2247570733	12832.66139416976	76.02875662314415
136	cuauhtémoc, distritofederal	39530000000.0	2309737.9	DistritoFederal	Cuauhtémoc	914664.4506624455	21951.946815898693	99.0495914356387
137	cuauhtémoc, distritofederal	4354000000.0	254404.22	DistritoFederal	Cuauhtémoc	914664.4506624455	21951.946815898693	91.37123322250758
138	gustavoa.madero, distritofederal	4061000000.0	237284.23	DistritoFederal	GustavoA.Madero	1883821.2190788607	45211.70925789265	80.9461803433407
139	iztacalco, distritofederal	1338500000.0	78208.55500000001	DistritoFederal	Iztacalco	611973.6916534076	14687.368599681784	81.22025320672172
140	iztapalapa, distritofederal	5830000000.0	340646.9	DistritoFederal	Iztapalapa	3172726.3271955573	76145.43185269338	77.64681497095867
141	lamagdalenacontreras, distritofederal	762300000.0	44541.189	DistritoFederal	LaMagdalenaContreras	476737.53588084545	11441.70086114029	74.31208928630016
142	miguelhidalgo, distritofederal	3535900000.0	206602.63700000002	DistritoFederal	MiguelHidalgo	1040588.7205263982	24974.129292633555	87.91199877442341
143	milpaalta, distritofederal	384600000.0	22472.178	DistritoFederal	MilpaAlta	481798.07952474477	11563.153908593875	48.54457850683688
144	tláhuac, distritofederal	1101500000.0	64360.645000000004	DistritoFederal	Tláhuac	1151128.2248437444	27627.077396249868	57.074579665493
145	tlalpan, distritofederal	2469000000.0	144263.67	DistritoFederal	Tlalpan	1309533.0988286047	31428.794371886514	78.21433880623825
146	venustianocarranza, distritofederal	1727300000.0	100926.139	DistritoFederal	VenustianoCarranza	825388.6745950165	19809.328190280397	80.3724502031328
147	xochimilco, distritofederal	1276000000.0	74556.68000000001	DistritoFederal	Xochimilco	1059431.5152154348	25426.356365170435	65.89660864033856
148	durango, durango	1835900000.0	107271.637	Durango	Durango	1520731.6263918267	36497.55903340384	65.97650594872171
149	gómezpalacio, durango	1107000000.0	64682.01	Durango	GómezPalacio	819577.471645682	19669.85931949637	69.58990711714684
150	lerdo, durango	399400000.0	23336.942	Durango	Lerdo	684860.5357077853	16436.652856986846	29.568094838703175
151	nuevoideal, durango			Durango	NuevoIdeal	114598.31978314115	2750.359674795388	
152	abasolo, guanajuato	222070000.0	12975.5501	Guanajuato	Abasolo	409185.2360794563	9820.445665906951	24.3157662663801
153	acámbaro, guanajuato	339300000.0	19825.299	Guanajuato	Acámbaro	403042.88641417987	9673.029273940318	51.208658825572726
154	apaseoelalto, guanajuato	178120000.0	10407.5516	Guanajuato	ApaseoelAlto	249566.3863112772	5989.593271470653	42.44954527565684
155	apaseoelgrande, guanajuato	235630000.0	13767.8609	Guanajuato	ApaseoelGrande	438357.98124111874	10520.59154978685	23.585866924419243
156	atarjea, guanajuato			Guanajuato	Atarjea	32816.61281638667	787.59870759328	
157	celaya, guanajuato	1631000000.0	95299.33	Guanajuato	Celaya	1055105.6400644763	25322.535361547434	73.42842246472516
158	comonfort, guanajuato	200430000.0	11711.1249	Guanajuato	Comonfort	309956.99033069744	7438.967767936738	36.479477151364534
159	coroneo, guanajuato			Guanajuato	Coroneo	36948.167197357456	886.7560127365789	
