	municipality	res_com_non_electricity	res_com_non_electricity-adjusted (metric tonnes CO2/year)	graced_emissions_2019(kgC/hr)	graced_emissions_2019(metric tonnes/year)	absolute_percent_error_graced (percent error)
43	greenfield			95699.22749682795	2296.781459923871	
44	grafton			620489.1022432268	14891.738453837443	
45	blackstone			328085.52850000485	7874.052684000116	
46	medford	2118027826.77872	123375.12090986043	1154472.7854495475	27707.346850789138	77.54219274805614
47	pembroke			359596.20897085377	8630.30901530049	
48	duxbury			253249.52521102192	6077.988605064526	
49	boston	34894797090.3156	2032621.9305108835	10695348.866338085	256688.37279211404	87.37156335179374
50	concord			311501.19920464227	7476.028780911414	
51	windsor			15638.954675786455	375.3349122188749	
52	taunton	2869493120.1068	167147.9742462211	658457.2082149342	15802.972997158422	90.54551928108953
53	wareham			418859.5199224982	10052.628478139957	
54	north brookfield			109084.24785765928	2618.021948583823	
55	charlton			198378.39443382775	4761.081466411866	
56	deerfield			176797.19064213726	4243.132575411294	
57	conway			91192.43723762599	2188.6184937030234	
58	dalton			94921.91012437218	2278.1258429849327	
59	wellesley			633895.6723474513	15213.496136338832	
60	needham			544552.434017979	13069.258416431494	
61	petersham			59252.97335120899	1422.0713604290156	
62	reading			404782.72082788777	9714.785299869307	
63	quincy	4414552367.99764	257147.6754358625	1699034.914675268	40776.837952206435	84.14263792854042
64	chesterfield			15634.570759638229	375.2296982313175	
65	randolph			607881.8879442048	14589.165310660917	
66	sheffield			86481.71272897131	2075.5611054953115	
67	newburyport			161010.33196870628	3864.2479672489508	
68	maynard			140622.57610660454	3374.941826558509	
69	lancaster			326703.950365488	7840.894808771713	
70	dighton			242666.46435730773	5823.995144575385	
71	athol			134795.3849772086	3235.0892394530065	
72	cheshire			24316.46850293873	583.5952440705295	
73	essex			26114.107974041766	626.7385913770024	
74	ware			134271.04476201412	3222.505074288339	
75	nantucket			83553.73917535933	2005.289740208624	
76	tewksbury			688775.6719402685	16530.616126566445	
77	egremont			8212.478614163934	197.09948673993443	
78	brookline			1955655.2948958075	46935.72707749938	
79	lenox			139279.0709381121	3342.6977025146903	
80	pittsfield			898053.859514136	21553.292628339266	
81	everett	1502313755.0995998	87509.7762345517	699890.2898297531	16797.366955914073	80.80515380259659
82	tyngsborough			554819.8407394333	13315.6761777464	
83	malden	2054550594.5770402	119677.57213411259	861952.0843015509	20686.85002323722	82.71451396084873
84	stoneham			910168.1565637	21844.035757528796	
85	northampton			501854.1020714426	12044.498449714622	
86	braintree			834315.1883052443	20023.564519325864	
87	scituate			126312.18273807935	3031.4923857139047	
88	nahant			0.0	0.0	
89	wenham			105363.57679979055	2528.725843194973	
90	bellingham			434845.4081061638	10436.28979454793	
91	sturbridge			149170.18082587904	3580.084339821097	
92	belmont			1047708.0505325843	25144.993212782025	
93	west bridgewater			783145.7668861997	18795.49840526879	
94	carlisle			249298.79735515214	5983.171136523651	
95	saugus			1433397.0963567512	34401.53031256203	
96	hubbardston			121580.64889058897	2917.9355733741354	
97	fairhaven			213767.60572042293	5130.42253729015	
98	sandwich			424088.1970835344	10178.116730004826	
99	marshfield			243771.09053454088	5850.506172828982	
100	goshen			6713.715227325754	161.1291654558181	
101	dunstable			171861.21635383755	4124.6691924921015	
102	savoy			18827.679365277785	451.86430476666686	
103	arlington			648402.8496011967	15561.668390428722	
104	hardwick			34030.567976805825	816.7336314433398	
105	mount washington			6915.629586352662	165.9751100724639	
106	ashby			46548.464520573136	1117.1631484937552	
107	hull			36010.60935632175	864.254624551722	
108	northborough			245065.83175051445	5881.579962012347	
109	westfield			908128.8351485579	21795.09204356539	
110	salem			249853.12403431622	5996.474976823589	
111	marlborough			749471.4806456574	17987.315535495778	
112	belchertown			152396.38749582664	3657.5132998998392	
113	freetown			258981.77918335993	6215.562700400638	
114	florida			17913.921052264188	429.9341052543405	
115	hadley			504056.3000059528	12097.351200142868	
116	north adams			126580.56122496331	3037.9334693991195	
117	mansfield			435600.7762945255	10454.418631068611	
118	bernardston			77300.23176749644	1855.2055624199147	
119	dracut			1236501.6255696563	29676.039013671747	
120	shutesbury			14422.24140314429	346.1337936754629	
121	franklin			572864.8765468125	13748.7570371235	
